# Region type : patch cOutlet
# Faces  :     1172
# Area   :     4.4928320e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
5.62517e-07    	(-1.3823850e-02 -1.3815085e+01 8.2649497e-02)	1.1117903e+05	2.9183858e+02
1.00486e-06    	(-5.4599615e-02 -1.5023527e+01 5.6071696e-02)	1.1189484e+05	2.9110067e+02
1.44172e-06    	(-3.3681288e-02 -1.4616462e+01 6.2425666e-02)	1.1169070e+05	2.9056585e+02
1.87835e-06    	(6.1917550e-03 -1.3962100e+01 8.4351179e-02)	1.1135636e+05	2.9031347e+02
2.31864e-06    	(9.6491684e-03 -1.3577142e+01 8.6505796e-02)	1.1125793e+05	2.9038422e+02
2.77704e-06    	(-1.7519328e-02 -1.3670195e+01 7.7663932e-02)	1.1151191e+05	2.9066063e+02
3.26432e-06    	(-4.6164826e-02 -1.4067863e+01 6.5560684e-02)	1.1198805e+05	2.9099927e+02
3.76282e-06    	(-5.9188193e-02 -1.4388764e+01 5.2314916e-02)	1.1240687e+05	2.9123480e+02
4.26106e-06    	(-6.2804651e-02 -1.4395137e+01 4.1349188e-02)	1.1263615e+05	2.9132485e+02
4.76173e-06    	(-5.8944569e-02 -1.4089597e+01 2.9320178e-02)	1.1267059e+05	2.9130082e+02
5.26405e-06    	(-4.7344517e-02 -1.3604518e+01 1.3843656e-02)	1.1258301e+05	2.9121163e+02
5.76286e-06    	(-2.7906162e-02 -1.3060466e+01 -2.0118936e-03)	1.1244082e+05	2.9110656e+02
6.26046e-06    	(-2.9541313e-03 -1.2500982e+01 -1.8305914e-02)	1.1227345e+05	2.9099752e+02
6.76084e-06    	(2.3926139e-02 -1.1924707e+01 -3.4616549e-02)	1.1208446e+05	2.9086688e+02
7.26547e-06    	(4.8322677e-02 -1.1346693e+01 -4.9592608e-02)	1.1188290e+05	2.9074062e+02
7.76906e-06    	(7.1551956e-02 -1.0802034e+01 -6.0911311e-02)	1.1168480e+05	2.9061648e+02
8.26759e-06    	(9.3661825e-02 -1.0321813e+01 -6.6352456e-02)	1.1150695e+05	2.9051115e+02
8.76244e-06    	(1.1240187e-01 -9.9125082e+00 -6.5993170e-02)	1.1135311e+05	2.9042392e+02
9.25495e-06    	(1.2597284e-01 -9.5662773e+00 -6.0408268e-02)	1.1121965e+05	2.9035088e+02
9.74585e-06    	(1.3424888e-01 -9.2749246e+00 -5.0215326e-02)	1.1110498e+05	2.9029088e+02
1.02355e-05    	(1.3634817e-01 -9.0313904e+00 -3.6793035e-02)	1.1100886e+05	2.9024336e+02
1.07232e-05    	(1.3332970e-01 -8.8287352e+00 -2.1155633e-02)	1.1093055e+05	2.9020767e+02
1.12085e-05    	(1.2575596e-01 -8.6603061e+00 -4.3653372e-03)	1.1086872e+05	2.9018225e+02
1.16911e-05    	(1.1465049e-01 -8.5204142e+00 1.2366631e-02)	1.1082109e+05	2.9016527e+02
1.21704e-05    	(1.0155225e-01 -8.4056020e+00 2.7842568e-02)	1.1078603e+05	2.9015606e+02
1.26454e-05    	(8.7590574e-02 -8.3150496e+00 4.1124711e-02)	1.1076332e+05	2.9015479e+02
1.31158e-05    	(7.3285236e-02 -8.2494965e+00 5.1755855e-02)	1.1075409e+05	2.9016214e+02
1.35844e-05    	(5.8063216e-02 -8.2092054e+00 5.8898825e-02)	1.1075952e+05	2.9017860e+02
1.4053e-05     	(4.2694904e-02 -8.1933882e+00 6.1481252e-02)	1.1077909e+05	2.9020364e+02
1.4523e-05     	(2.8547977e-02 -8.1994370e+00 5.8178765e-02)	1.1081073e+05	2.9023626e+02
1.49951e-05    	(1.7093823e-02 -8.2248969e+00 4.9012854e-02)	1.1085251e+05	2.9027528e+02
1.54694e-05    	(8.7193900e-03 -8.2666644e+00 3.5444096e-02)	1.1090241e+05	2.9031921e+02
1.59461e-05    	(3.4927943e-03 -8.3220393e+00 1.9908681e-02)	1.1095869e+05	2.9036683e+02
1.6426e-05     	(5.4834146e-04 -8.3899702e+00 4.6085319e-03)	1.1102053e+05	2.9041730e+02
1.69088e-05    	(-1.3766976e-03 -8.4702269e+00 -9.4932258e-03)	1.1108756e+05	2.9047006e+02
1.73938e-05    	(-2.4124117e-03 -8.5611957e+00 -2.3096495e-02)	1.1115874e+05	2.9052383e+02
1.78806e-05    	(-2.2843429e-03 -8.6583555e+00 -3.7340224e-02)	1.1123112e+05	2.9057202e+02
1.83691e-05    	(-9.7242746e-04 -8.7544481e+00 -5.1697910e-02)	1.1130188e+05	2.9061839e+02
1.8859e-05     	(1.8059156e-03 -8.8391784e+00 -6.5886150e-02)	1.1136545e+05	2.9065688e+02
1.93503e-05    	(5.8429221e-03 -8.9035045e+00 -7.8173008e-02)	1.1141750e+05	2.9068733e+02
1.98425e-05    	(1.0157838e-02 -8.9403452e+00 -8.6984255e-02)	1.1145493e+05	2.9070662e+02
2.03343e-05    	(1.4635515e-02 -8.9452995e+00 -9.0049046e-02)	1.1147564e+05	2.9071275e+02
2.08255e-05    	(1.8448056e-02 -8.9182361e+00 -8.6895064e-02)	1.1147976e+05	2.9070817e+02
2.13163e-05    	(2.1501170e-02 -8.8626836e+00 -7.8906301e-02)	1.1146868e+05	2.9069444e+02
2.18069e-05    	(2.3380668e-02 -8.7830514e+00 -6.7988795e-02)	1.1144413e+05	2.9067295e+02
