# Region type : patch inlet
# Faces  :     7870
# Area   :     7.0477774e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	2.0000000e+05	2.9400000e+02	2.3645360e+00
5.62517e-07    	(9.3036107e+01 1.7944769e-03 -8.0119879e+01)	1.7768430e+05	2.8420169e+02	2.1727315e+00
1.00486e-06    	(8.5191348e+01 -2.1045994e-03 -7.3387175e+01)	1.8112867e+05	2.8577082e+02	2.2027731e+00
1.44172e-06    	(8.1782451e+01 -1.6950444e-02 -7.0350959e+01)	1.8255552e+05	2.8641523e+02	2.2151765e+00
1.87835e-06    	(8.0524354e+01 -2.0638763e-02 -6.9272628e+01)	1.8306194e+05	2.8664275e+02	2.2195694e+00
2.31864e-06    	(8.0291923e+01 -1.5399336e-02 -6.9118928e+01)	1.8315349e+05	2.8668397e+02	2.2203642e+00
2.77704e-06    	(8.0238588e+01 -7.6741353e-03 -6.9125006e+01)	1.8317035e+05	2.8669178e+02	2.2205123e+00
3.26432e-06    	(8.0123993e+01 -6.1423470e-03 -6.9059970e+01)	1.8321119e+05	2.8671014e+02	2.2208667e+00
3.76282e-06    	(7.9943177e+01 -6.8895422e-03 -6.8902691e+01)	1.8328129e+05	2.8674138e+02	2.2214729e+00
4.26106e-06    	(7.9872323e+01 -6.0708224e-03 -6.8824761e+01)	1.8330794e+05	2.8675287e+02	2.2217003e+00
4.76173e-06    	(7.9975129e+01 -5.3235129e-03 -6.8906634e+01)	1.8326231e+05	2.8673179e+02	2.2213000e+00
5.26405e-06    	(8.0177099e+01 -7.1696859e-03 -6.9087408e+01)	1.8317427e+05	2.8669163e+02	2.2205315e+00
5.76286e-06    	(8.0378062e+01 -9.9920203e-03 -6.9273017e+01)	1.8308566e+05	2.8665123e+02	2.2197583e+00
6.26046e-06    	(8.0521789e+01 -1.2186949e-02 -6.9403862e+01)	1.8302202e+05	2.8662221e+02	2.2192029e+00
6.76084e-06    	(8.0648250e+01 -1.5161531e-02 -6.9517685e+01)	1.8296710e+05	2.8659729e+02	2.2187245e+00
7.26547e-06    	(8.0770883e+01 -1.7314731e-02 -6.9622904e+01)	1.8291565e+05	2.8657408e+02	2.2182774e+00
7.76906e-06    	(8.0930416e+01 -1.8121888e-02 -6.9755931e+01)	1.8285020e+05	2.8654465e+02	2.2177096e+00
8.26759e-06    	(8.1151462e+01 -1.7171891e-02 -6.9938705e+01)	1.8275957e+05	2.8650388e+02	2.2169229e+00
8.76244e-06    	(8.1461044e+01 -1.6648272e-02 -7.0197679e+01)	1.8263149e+05	2.8644620e+02	2.2158107e+00
9.25495e-06    	(8.1876073e+01 -1.5041052e-02 -7.0550911e+01)	1.8245708e+05	2.8636747e+02	2.2142948e+00
9.74585e-06    	(8.2382599e+01 -1.3053274e-02 -7.0982536e+01)	1.8224299e+05	2.8627071e+02	2.2124332e+00
1.02355e-05    	(8.2985920e+01 -1.1796902e-02 -7.1500865e+01)	1.8198512e+05	2.8615392e+02	2.2101889e+00
1.07232e-05    	(8.3671975e+01 -1.2440254e-02 -7.2092917e+01)	1.8168963e+05	2.8601991e+02	2.2076159e+00
1.12085e-05    	(8.4410615e+01 -1.2612625e-02 -7.2730650e+01)	1.8136911e+05	2.8587429e+02	2.2048228e+00
1.16911e-05    	(8.5205706e+01 -1.2924451e-02 -7.3419473e+01)	1.8102104e+05	2.8571586e+02	2.2017877e+00
1.21704e-05    	(8.6025496e+01 -1.4243460e-02 -7.4130467e+01)	1.8065953e+05	2.8555106e+02	2.1986332e+00
1.26454e-05    	(8.6858071e+01 -1.4366122e-02 -7.4852456e+01)	1.8028931e+05	2.8538193e+02	2.1954001e+00
1.31158e-05    	(8.7694098e+01 -1.4766675e-02 -7.5576793e+01)	1.7991526e+05	2.8521076e+02	2.1921314e+00
1.35844e-05    	(8.8544078e+01 -1.3995669e-02 -7.6314617e+01)	1.7953199e+05	2.8503507e+02	2.1887797e+00
1.4053e-05     	(8.9380869e+01 -1.2951574e-02 -7.7039886e+01)	1.7915261e+05	2.8486088e+02	2.1854600e+00
1.4523e-05     	(9.0227566e+01 -9.6027890e-03 -7.7774365e+01)	1.7876602e+05	2.8468304e+02	2.1820746e+00
1.49951e-05    	(9.1079399e+01 -9.1480885e-03 -7.8513755e+01)	1.7837512e+05	2.8450299e+02	2.1786497e+00
1.54694e-05    	(9.1928331e+01 -5.5233744e-03 -7.9250028e+01)	1.7798328e+05	2.8432219e+02	2.1752141e+00
1.59461e-05    	(9.2791199e+01 -3.6958238e-03 -7.9998523e+01)	1.7758323e+05	2.8413736e+02	2.1717048e+00
1.6426e-05     	(9.3656951e+01 -9.6989980e-05 -8.0748942e+01)	1.7717960e+05	2.8395052e+02	2.1681614e+00
1.69088e-05    	(9.4551614e+01 8.1029747e-04 -8.1527334e+01)	1.7675968e+05	2.8375587e+02	2.1644729e+00
1.73938e-05    	(9.5436512e+01 3.6950173e-03 -8.2295215e+01)	1.7634250e+05	2.8356215e+02	2.1608060e+00
1.78806e-05    	(9.6350052e+01 4.3538042e-03 -8.3090488e+01)	1.7590869e+05	2.8336035e+02	2.1569902e+00
1.83691e-05    	(9.7255334e+01 5.7617561e-03 -8.3876976e+01)	1.7547658e+05	2.8315901e+02	2.1531868e+00
1.8859e-05     	(9.8185147e+01 6.5191300e-03 -8.4688329e+01)	1.7502898e+05	2.8295002e+02	2.1492439e+00
1.93503e-05    	(9.9099388e+01 7.0171254e-03 -8.5483688e+01)	1.7458624e+05	2.8274289e+02	2.1453406e+00
1.98425e-05    	(1.0002224e+02 7.3154875e-03 -8.6287378e+01)	1.7413635e+05	2.8253201e+02	2.1413713e+00
2.03343e-05    	(1.0094054e+02 6.3147871e-03 -8.7087305e+01)	1.7368545e+05	2.8232024e+02	2.1373900e+00
2.08255e-05    	(1.0184115e+02 6.8059379e-03 -8.7869983e+01)	1.7324072e+05	2.8211091e+02	2.1334597e+00
2.13163e-05    	(1.0274271e+02 5.5764604e-03 -8.8655049e+01)	1.7279193e+05	2.8189923e+02	2.1294903e+00
2.18069e-05    	(1.0362043e+02 6.1435539e-03 -8.9415888e+01)	1.7235331e+05	2.8169195e+02	2.1256078e+00
2.22975e-05    	(1.0449729e+02 5.3279734e-03 -9.0176385e+01)	1.7191232e+05	2.8148317e+02	2.1217015e+00
2.27878e-05    	(1.0534824e+02 5.1536238e-03 -9.0911824e+01)	1.7148233e+05	2.8127918e+02	2.1178896e+00
2.32776e-05    	(1.0618490e+02 4.4463566e-03 -9.1633363e+01)	1.7105759e+05	2.8107731e+02	2.1141215e+00
2.3767e-05     	(1.0700312e+02 4.4307023e-03 -9.2337053e+01)	1.7064043e+05	2.8087869e+02	2.1104179e+00
2.42553e-05    	(1.0779585e+02 4.3081093e-03 -9.3016197e+01)	1.7023502e+05	2.8068537e+02	2.1068165e+00
2.47418e-05    	(1.0856662e+02 3.7535477e-03 -9.3675032e+01)	1.6983921e+05	2.8049632e+02	2.1032982e+00
2.52258e-05    	(1.0930398e+02 4.3475644e-03 -9.4302114e+01)	1.6945950e+05	2.8031464e+02	2.0999205e+00
2.57078e-05    	(1.1001142e+02 3.7818389e-03 -9.4900788e+01)	1.6909456e+05	2.8013984e+02	2.0966728e+00
2.61882e-05    	(1.1069351e+02 4.5754785e-03 -9.5476180e+01)	1.6874146e+05	2.7997036e+02	2.0935280e+00
2.66679e-05    	(1.1134183e+02 3.4919391e-03 -9.6019489e+01)	1.6840576e+05	2.7980914e+02	2.0905374e+00
2.7148e-05     	(1.1195717e+02 3.2818275e-03 -9.6532893e+01)	1.6808624e+05	2.7965539e+02	2.0876887e+00
2.76289e-05    	(1.1254492e+02 1.8240552e-03 -9.7020691e+01)	1.6778053e+05	2.7950804e+02	2.0849614e+00
2.81103e-05    	(1.1308998e+02 -2.6337626e-06 -9.7469911e+01)	1.6749677e+05	2.7937109e+02	2.0824285e+00
2.85919e-05    	(1.1360559e+02 -3.5140242e-03 -9.7893126e+01)	1.6722779e+05	2.7924107e+02	2.0800261e+00
2.90744e-05    	(1.1408266e+02 -8.3559257e-03 -9.8281559e+01)	1.6697860e+05	2.7912034e+02	2.0777985e+00
2.95579e-05    	(1.1452934e+02 -1.4013113e-02 -9.8644049e+01)	1.6674461e+05	2.7900676e+02	2.0757051e+00
3.00424e-05    	(1.1493475e+02 -2.1352878e-02 -9.8969196e+01)	1.6653247e+05	2.7890361e+02	2.0738058e+00
3.05275e-05    	(1.1531985e+02 -2.9808363e-02 -9.9278427e+01)	1.6632978e+05	2.7880477e+02	2.0719892e+00
3.1013e-05     	(1.1566970e+02 -3.9713284e-02 -9.9556014e+01)	1.6614581e+05	2.7871487e+02	2.0703390e+00
3.1499e-05     	(1.1599512e+02 -5.0553880e-02 -9.9814386e+01)	1.6597369e+05	2.7863057e+02	2.0687936e+00
3.19853e-05    	(1.1629599e+02 -6.2275134e-02 -1.0005233e+02)	1.6581385e+05	2.7855198e+02	2.0673563e+00
3.24722e-05    	(1.1658536e+02 -7.5024011e-02 -1.0028209e+02)	1.6565916e+05	2.7847577e+02	2.0659641e+00
3.29594e-05    	(1.1685595e+02 -8.7434867e-02 -1.0049723e+02)	1.6551387e+05	2.7840406e+02	2.0646556e+00
3.34468e-05    	(1.1712076e+02 -1.0051197e-01 -1.0070994e+02)	1.6537038e+05	2.7833304e+02	2.0633618e+00
3.39344e-05    	(1.1738000e+02 -1.1336871e-01 -1.0092033e+02)	1.6522882e+05	2.7826285e+02	2.0620845e+00
3.44215e-05    	(1.1763330e+02 -1.2584423e-01 -1.0112771e+02)	1.6508971e+05	2.7819381e+02	2.0608289e+00
3.49076e-05    	(1.1788711e+02 -1.3783654e-01 -1.0133877e+02)	1.6494929e+05	2.7812409e+02	2.0595613e+00
3.53922e-05    	(1.1814100e+02 -1.4850590e-01 -1.0155219e+02)	1.6480791e+05	2.7805378e+02	2.0582841e+00
3.58746e-05    	(1.1839564e+02 -1.5944996e-01 -1.0176862e+02)	1.6466538e+05	2.7798290e+02	2.0569966e+00
3.63544e-05    	(1.1864688e+02 -1.6868477e-01 -1.0198518e+02)	1.6452392e+05	2.7791255e+02	2.0557187e+00
3.68325e-05    	(1.1890395e+02 -1.7742178e-01 -1.0220843e+02)	1.6437873e+05	2.7784030e+02	2.0544068e+00
3.73099e-05    	(1.1916129e+02 -1.8489078e-01 -1.0243448e+02)	1.6423276e+05	2.7776772e+02	2.0530883e+00
3.77878e-05    	(1.1941004e+02 -1.9210246e-01 -1.0265365e+02)	1.6409127e+05	2.7769730e+02	2.0518097e+00
3.82684e-05    	(1.1967144e+02 -1.9833516e-01 -1.0288724e+02)	1.6394184e+05	2.7762294e+02	2.0504595e+00
3.8753e-05     	(1.1991978e+02 -2.0331378e-01 -1.0310917e+02)	1.6379977e+05	2.7755221e+02	2.0491756e+00
3.9241e-05     	(1.2017511e+02 -2.0927514e-01 -1.0333992e+02)	1.6365277e+05	2.7747897e+02	2.0478468e+00
3.97269e-05    	(1.2041652e+02 -2.1436822e-01 -1.0355941e+02)	1.6351313e+05	2.7740929e+02	2.0465837e+00
4.02107e-05    	(1.2065152e+02 -2.2021009e-01 -1.0377344e+02)	1.6337701e+05	2.7734136e+02	2.0453524e+00
4.0693e-05     	(1.2087121e+02 -2.2604527e-01 -1.0397518e+02)	1.6324878e+05	2.7727721e+02	2.0441913e+00
4.11743e-05    	(1.2107424e+02 -2.3377535e-01 -1.0416209e+02)	1.6312949e+05	2.7721734e+02	2.0431099e+00
4.16553e-05    	(1.2126093e+02 -2.4251923e-01 -1.0433555e+02)	1.6301901e+05	2.7716182e+02	2.0421077e+00
4.2136e-05     	(1.2142169e+02 -2.5275001e-01 -1.0448612e+02)	1.6292262e+05	2.7711310e+02	2.0412314e+00
4.26165e-05    	(1.2156241e+02 -2.6523118e-01 -1.0462029e+02)	1.6283669e+05	2.7706944e+02	2.0404483e+00
4.3097e-05     	(1.2166639e+02 -2.7989138e-01 -1.0472039e+02)	1.6277145e+05	2.7703592e+02	2.0398513e+00
4.35777e-05    	(1.2174796e+02 -2.9697394e-01 -1.0480221e+02)	1.6271803e+05	2.7700811e+02	2.0393597e+00
4.40589e-05    	(1.2179566e+02 -3.1567980e-01 -1.0485442e+02)	1.6268330e+05	2.7698949e+02	2.0390362e+00
4.45408e-05    	(1.2180621e+02 -3.3640669e-01 -1.0487291e+02)	1.6266946e+05	2.7698115e+02	2.0389006e+00
4.50233e-05    	(1.2179189e+02 -3.5847920e-01 -1.0487055e+02)	1.6266916e+05	2.7697944e+02	2.0388866e+00
4.5506e-05     	(1.2174246e+02 -3.8144330e-01 -1.0483644e+02)	1.6268909e+05	2.7698783e+02	2.0390556e+00
4.59884e-05    	(1.2167421e+02 -4.0438631e-01 -1.0478635e+02)	1.6271969e+05	2.7700152e+02	2.0393208e+00
4.64704e-05    	(1.2157999e+02 -4.2628903e-01 -1.0471218e+02)	1.6276575e+05	2.7702303e+02	2.0397267e+00
