# Region type : patch inlet
# Faces  :     7870
# Area   :     7.0477774e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.62517e-07    	-2.1755979e-02
1.00486e-06    	-2.0056701e-02
1.44172e-06    	-1.9336690e-02
1.87835e-06    	-1.9041519e-02
2.31864e-06    	-1.8991522e-02
2.77704e-06    	-1.8985084e-02
3.26432e-06    	-1.8968446e-02
3.76282e-06    	-1.8931488e-02
4.26106e-06    	-1.8911937e-02
4.76173e-06    	-1.8927977e-02
5.26405e-06    	-1.8966115e-02
5.76286e-06    	-1.9005864e-02
6.26046e-06    	-1.9034676e-02
6.76084e-06    	-1.9060260e-02
7.26547e-06    	-1.9085414e-02
7.76906e-06    	-1.9118774e-02
8.26759e-06    	-1.9163859e-02
8.76244e-06    	-1.9227471e-02
9.25495e-06    	-1.9311396e-02
9.74585e-06    	-1.9414268e-02
1.02355e-05    	-1.9536175e-02
1.07232e-05    	-1.9673971e-02
1.12085e-05    	-1.9821581e-02
1.16911e-05    	-1.9980378e-02
1.21704e-05    	-2.0142300e-02
1.26454e-05    	-2.0306413e-02
1.31158e-05    	-2.0469928e-02
1.35844e-05    	-2.0635182e-02
1.4053e-05     	-2.0796177e-02
1.4523e-05     	-2.0959203e-02
1.49951e-05    	-2.1120948e-02
1.54694e-05    	-2.1281888e-02
1.59461e-05    	-2.1443785e-02
1.6426e-05     	-2.1605804e-02
1.69088e-05    	-2.1771475e-02
1.73938e-05    	-2.1934560e-02
1.78806e-05    	-2.2101909e-02
1.83691e-05    	-2.2266549e-02
1.8859e-05     	-2.2434710e-02
1.93503e-05    	-2.2598148e-02
1.98425e-05    	-2.2762971e-02
2.03343e-05    	-2.2924957e-02
2.08255e-05    	-2.3082964e-02
2.13163e-05    	-2.3239741e-02
2.18069e-05    	-2.3391280e-02
2.22975e-05    	-2.3541690e-02
2.27878e-05    	-2.3685938e-02
2.32776e-05    	-2.3827266e-02
2.3767e-05     	-2.3964124e-02
2.42553e-05    	-2.4096029e-02
2.47418e-05    	-2.4223115e-02
2.52258e-05    	-2.4343754e-02
2.57078e-05    	-2.4458936e-02
2.61882e-05    	-2.4569139e-02
2.66679e-05    	-2.4673157e-02
2.7148e-05     	-2.4771231e-02
2.76289e-05    	-2.4864102e-02
2.81103e-05    	-2.4949699e-02
2.85919e-05    	-2.5030103e-02
2.90744e-05    	-2.5103636e-02
2.95579e-05    	-2.5171937e-02
3.00424e-05    	-2.5233369e-02
3.05275e-05    	-2.5291246e-02
3.1013e-05     	-2.5342924e-02
3.1499e-05     	-2.5390656e-02
3.19853e-05    	-2.5434059e-02
3.24722e-05    	-2.5475541e-02
3.29594e-05    	-2.5513794e-02
3.34468e-05    	-2.5551028e-02
3.39344e-05    	-2.5587143e-02
3.44215e-05    	-2.5622519e-02
3.49076e-05    	-2.5657948e-02
3.53922e-05    	-2.5693313e-02
3.58746e-05    	-2.5728812e-02
3.63544e-05    	-2.5764139e-02
3.68325e-05    	-2.5800350e-02
3.73099e-05    	-2.5836615e-02
3.77878e-05    	-2.5871704e-02
3.82684e-05    	-2.5908934e-02
3.8753e-05     	-2.5943982e-02
3.9241e-05     	-2.5980421e-02
3.97269e-05    	-2.6014491e-02
4.02107e-05    	-2.6047881e-02
4.0693e-05     	-2.6078482e-02
4.11743e-05    	-2.6106762e-02
4.16553e-05    	-2.6132488e-02
4.2136e-05     	-2.6154226e-02
4.26165e-05    	-2.6172618e-02
4.3097e-05     	-2.6185456e-02
4.35777e-05    	-2.6194959e-02
4.40589e-05    	-2.6199128e-02
4.45408e-05    	-2.6197770e-02
4.50233e-05    	-2.6192731e-02
4.5506e-05     	-2.6182600e-02
4.59884e-05    	-2.6169793e-02
4.64704e-05    	-2.6153276e-02
4.6952e-05     	-2.6134672e-02
4.74331e-05    	-2.6114499e-02
4.79138e-05    	-2.6093098e-02
4.83941e-05    	-2.6071010e-02
4.88745e-05    	-2.6047434e-02
4.93557e-05    	-2.6024069e-02
4.98383e-05    	-2.5999692e-02
5.0322e-05     	-2.5975391e-02
5.08068e-05    	-2.5949487e-02
5.12922e-05    	-2.5923007e-02
5.17774e-05    	-2.5895566e-02
5.22621e-05    	-2.5866628e-02
5.27458e-05    	-2.5836542e-02
5.32284e-05    	-2.5804450e-02
5.37098e-05    	-2.5771612e-02
5.41902e-05    	-2.5736954e-02
5.46696e-05    	-2.5701180e-02
5.51482e-05    	-2.5664875e-02
5.56261e-05    	-2.5628467e-02
5.61034e-05    	-2.5591597e-02
5.65802e-05    	-2.5556622e-02
5.70565e-05    	-2.5521590e-02
5.75316e-05    	-2.5488680e-02
5.80056e-05    	-2.5456450e-02
5.84786e-05    	-2.5426579e-02
5.89507e-05    	-2.5396161e-02
5.94222e-05    	-2.5368635e-02
5.98929e-05    	-2.5339878e-02
6.03626e-05    	-2.5313703e-02
6.08312e-05    	-2.5286433e-02
6.1299e-05     	-2.5260892e-02
6.17664e-05    	-2.5233011e-02
6.22342e-05    	-2.5205253e-02
6.27035e-05    	-2.5174454e-02
6.31751e-05    	-2.5140239e-02
6.36489e-05    	-2.5101627e-02
6.41229e-05    	-2.5058118e-02
6.45953e-05    	-2.5009817e-02
6.50652e-05    	-2.4955756e-02
6.55326e-05    	-2.4899173e-02
6.5997e-05     	-2.4836961e-02
6.6459e-05     	-2.4772706e-02
6.69191e-05    	-2.4704343e-02
6.73783e-05    	-2.4633831e-02
6.78374e-05    	-2.4560264e-02
6.82972e-05    	-2.4483858e-02
6.87583e-05    	-2.4406688e-02
6.92211e-05    	-2.4326784e-02
6.96856e-05    	-2.4247249e-02
7.01513e-05    	-2.4167151e-02
7.06181e-05    	-2.4090315e-02
7.10858e-05    	-2.4014190e-02
7.15539e-05    	-2.3943279e-02
7.20226e-05    	-2.3874834e-02
7.24918e-05    	-2.3809145e-02
7.29617e-05    	-2.3746607e-02
7.34318e-05    	-2.3683390e-02
7.39023e-05    	-2.3623052e-02
7.43731e-05    	-2.3561344e-02
7.48438e-05    	-2.3500984e-02
7.53144e-05    	-2.3439651e-02
7.57848e-05    	-2.3378832e-02
7.62549e-05    	-2.3317263e-02
7.67244e-05    	-2.3255619e-02
7.71934e-05    	-2.3192209e-02
7.76619e-05    	-2.3127604e-02
7.81299e-05    	-2.3060347e-02
7.8597e-05     	-2.2989746e-02
7.9063e-05     	-2.2913937e-02
7.95277e-05    	-2.2833038e-02
7.99912e-05    	-2.2744643e-02
8.04544e-05    	-2.2649197e-02
8.09181e-05    	-2.2545933e-02
8.13829e-05    	-2.2434625e-02
8.1849e-05     	-2.2315723e-02
8.23163e-05    	-2.2189139e-02
8.27849e-05    	-2.2055567e-02
8.32549e-05    	-2.1914277e-02
8.37264e-05    	-2.1766559e-02
8.41995e-05    	-2.1610865e-02
8.46742e-05    	-2.1447193e-02
8.51507e-05    	-2.1274190e-02
8.56287e-05    	-2.1091037e-02
8.61082e-05    	-2.0897870e-02
8.65881e-05    	-2.0692936e-02
8.70678e-05    	-2.0475551e-02
8.75474e-05    	-2.0245467e-02
8.80273e-05    	-2.0002973e-02
8.85079e-05    	-1.9747975e-02
8.8989e-05     	-1.9480350e-02
8.94696e-05    	-1.9200263e-02
8.99499e-05    	-1.8911602e-02
9.04303e-05    	-1.8620501e-02
9.09111e-05    	-1.8334642e-02
9.13927e-05    	-1.8069495e-02
9.18752e-05    	-1.7835617e-02
9.23592e-05    	-1.7635790e-02
9.28443e-05    	-1.7468771e-02
9.3329e-05     	-1.7331047e-02
9.38132e-05    	-1.7220254e-02
9.42958e-05    	-1.7133321e-02
9.47756e-05    	-1.7068523e-02
9.52521e-05    	-1.7021856e-02
9.5725e-05     	-1.6992284e-02
9.61947e-05    	-1.6976727e-02
9.66624e-05    	-1.6973475e-02
9.71304e-05    	-1.6980364e-02
9.75995e-05    	-1.6993990e-02
9.80709e-05    	-1.7014043e-02
9.85453e-05    	-1.7036994e-02
9.90222e-05    	-1.7062388e-02
9.94992e-05    	-1.7087196e-02
9.99748e-05    	-1.7109360e-02
0.00010045     	-1.7128342e-02
0.000100924    	-1.7139359e-02
0.0001014      	-1.7143553e-02
0.000101876    	-1.7136259e-02
0.000102354    	-1.7120998e-02
0.000102834    	-1.7094368e-02
0.000103314    	-1.7059352e-02
0.000103793    	-1.7015702e-02
0.000104271    	-1.6964246e-02
0.000104747    	-1.6906995e-02
0.000105221    	-1.6843007e-02
0.000105694    	-1.6772424e-02
0.000106166    	-1.6694873e-02
0.000106638    	-1.6609630e-02
0.00010711     	-1.6516119e-02
0.000107583    	-1.6414384e-02
0.000108056    	-1.6304892e-02
0.000108531    	-1.6188384e-02
0.000109006    	-1.6068209e-02
0.000109483    	-1.5949490e-02
0.000109962    	-1.5836292e-02
0.000110442    	-1.5736944e-02
0.000110925    	-1.5654595e-02
0.000111408    	-1.5595180e-02
0.000111891    	-1.5560461e-02
0.000112371    	-1.5551985e-02
0.000112848    	-1.5567674e-02
0.000113324    	-1.5606744e-02
0.0001138      	-1.5665887e-02
0.000114276    	-1.5742825e-02
0.000114752    	-1.5835704e-02
0.000115229    	-1.5945697e-02
0.000115707    	-1.6067310e-02
0.000116183    	-1.6202647e-02
0.000116658    	-1.6346940e-02
0.000117133    	-1.6498458e-02
0.000117609    	-1.6656541e-02
0.000118086    	-1.6818168e-02
0.000118563    	-1.6981529e-02
0.000119038    	-1.7143977e-02
0.000119509    	-1.7307129e-02
0.00011998     	-1.7465866e-02
0.00012045     	-1.7626249e-02
0.00012092     	-1.7780151e-02
0.00012139     	-1.7934924e-02
0.00012186     	-1.8082774e-02
0.000122331    	-1.8230655e-02
0.000122801    	-1.8370494e-02
0.000123273    	-1.8510035e-02
0.000123745    	-1.8641828e-02
0.000124218    	-1.8772926e-02
0.000124692    	-1.8896537e-02
0.000125167    	-1.9018867e-02
0.000125645    	-1.9135356e-02
0.000126121    	-1.9249185e-02
0.000126587    	-1.9355040e-02
0.000127044    	-1.9456359e-02
