# Region type : patch wOutlet
# Faces  :     940
# Area   :     7.7273522e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.62517e-07    	6.7588450e-04
1.00486e-06    	5.9402750e-04
1.44172e-06    	4.1040708e-04
1.87835e-06    	2.8997298e-04
2.31864e-06    	2.2927703e-04
2.77704e-06    	2.0005033e-04
3.26432e-06    	1.8414945e-04
3.76282e-06    	1.7516767e-04
4.26106e-06    	1.7117948e-04
4.76173e-06    	1.7234652e-04
5.26405e-06    	1.8022156e-04
5.76286e-06    	1.9560194e-04
6.26046e-06    	2.1563062e-04
6.76084e-06    	2.3592492e-04
7.26547e-06    	2.5318913e-04
7.76906e-06    	2.6601786e-04
8.26759e-06    	2.7430032e-04
8.76244e-06    	2.7887209e-04
9.25495e-06    	2.8088638e-04
9.74585e-06    	2.8110264e-04
1.02355e-05    	2.7998269e-04
1.07232e-05    	2.7777507e-04
1.12085e-05    	2.7455635e-04
1.16911e-05    	2.7046019e-04
1.21704e-05    	2.6581022e-04
1.26454e-05    	2.6106603e-04
1.31158e-05    	2.5667489e-04
1.35844e-05    	2.5282975e-04
1.4053e-05     	2.4965300e-04
1.4523e-05     	2.4735854e-04
1.49951e-05    	2.4611253e-04
1.54694e-05    	2.4599006e-04
1.59461e-05    	2.4698380e-04
1.6426e-05     	2.4901558e-04
1.69088e-05    	2.5217820e-04
1.73938e-05    	2.5662871e-04
1.78806e-05    	2.6250646e-04
1.83691e-05    	2.6989834e-04
1.8859e-05     	2.7880586e-04
1.93503e-05    	2.8909469e-04
1.98425e-05    	3.0054694e-04
2.03343e-05    	3.1294012e-04
2.08255e-05    	3.2605147e-04
2.13163e-05    	3.3967532e-04
2.18069e-05    	3.5359072e-04
2.22975e-05    	3.6757471e-04
2.27878e-05    	3.8143351e-04
2.32776e-05    	3.9495401e-04
2.3767e-05     	4.0797156e-04
2.42553e-05    	4.2037774e-04
2.47418e-05    	4.3210852e-04
2.52258e-05    	4.4314629e-04
2.57078e-05    	4.5356599e-04
2.61882e-05    	4.6348305e-04
2.66679e-05    	4.7303847e-04
2.7148e-05     	4.8237158e-04
2.76289e-05    	4.9157480e-04
2.81103e-05    	5.0070491e-04
2.85919e-05    	5.0981299e-04
2.90744e-05    	5.1895887e-04
2.95579e-05    	5.2816867e-04
3.00424e-05    	5.3742985e-04
3.05275e-05    	5.4671103e-04
3.1013e-05     	5.5599413e-04
3.1499e-05     	5.6524923e-04
3.19853e-05    	5.7442249e-04
3.24722e-05    	5.8346810e-04
3.29594e-05    	5.9235059e-04
3.34468e-05    	6.0099122e-04
3.39344e-05    	6.0927841e-04
3.44215e-05    	6.1704462e-04
3.49076e-05    	6.2410577e-04
3.53922e-05    	6.3034834e-04
3.58746e-05    	6.3574475e-04
3.63544e-05    	6.4032941e-04
3.68325e-05    	6.4418183e-04
3.73099e-05    	6.4740070e-04
3.77878e-05    	6.5008046e-04
3.82684e-05    	6.5233529e-04
3.8753e-05     	6.5425058e-04
3.9241e-05     	6.5585021e-04
3.97269e-05    	6.5712687e-04
4.02107e-05    	6.5808782e-04
4.0693e-05     	6.5874231e-04
4.11743e-05    	6.5909104e-04
4.16553e-05    	6.5914789e-04
4.2136e-05     	6.5893236e-04
4.26165e-05    	6.5845101e-04
4.3097e-05     	6.5769539e-04
4.35777e-05    	6.5665415e-04
4.40589e-05    	6.5535858e-04
