# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84226e-07    	-1.2992633e-03
9.11553e-07    	-1.2628240e-03
1.34502e-06    	-1.2648287e-03
1.77906e-06    	-1.3143738e-03
2.21287e-06    	-1.3808547e-03
2.64549e-06    	-1.4504475e-03
3.07543e-06    	-1.5202743e-03
3.50377e-06    	-1.5915471e-03
3.93083e-06    	-1.6607989e-03
4.35662e-06    	-1.7249061e-03
4.78118e-06    	-1.7819464e-03
5.20455e-06    	-1.8318889e-03
5.62692e-06    	-1.8765516e-03
6.04855e-06    	-1.9142157e-03
6.46975e-06    	-1.9455946e-03
6.89092e-06    	-1.9695465e-03
7.31239e-06    	-1.9845890e-03
7.73458e-06    	-1.9906712e-03
8.15777e-06    	-1.9866476e-03
8.58227e-06    	-1.9713111e-03
9.00825e-06    	-1.9441536e-03
9.4358e-06     	-1.9056409e-03
9.86479e-06    	-1.8567283e-03
1.02951e-05    	-1.7982276e-03
1.07265e-05    	-1.7312147e-03
1.11588e-05    	-1.6568094e-03
1.15919e-05    	-1.5799930e-03
1.20257e-05    	-1.5071894e-03
1.24603e-05    	-1.4413683e-03
1.28952e-05    	-1.3832417e-03
1.333e-05      	-1.3337436e-03
1.37645e-05    	-1.2929286e-03
1.4197e-05     	-1.2607087e-03
1.46269e-05    	-1.2359545e-03
1.50544e-05    	-1.2171561e-03
1.54806e-05    	-1.2020891e-03
1.59055e-05    	-1.1889934e-03
1.63294e-05    	-1.1731496e-03
1.67524e-05    	-1.1514789e-03
1.7175e-05     	-1.1243315e-03
1.75975e-05    	-1.0899725e-03
1.802e-05      	-1.0494238e-03
1.84427e-05    	-1.0045330e-03
1.8866e-05     	-9.5731628e-04
1.929e-05      	-9.1394889e-04
1.97149e-05    	-8.7670441e-04
2.0141e-05     	-8.4906649e-04
2.05682e-05    	-8.3468260e-04
2.09964e-05    	-8.3743110e-04
2.14256e-05    	-8.5874646e-04
2.18555e-05    	-8.9901923e-04
2.2286e-05     	-9.6008050e-04
2.27172e-05    	-1.0401054e-03
2.3149e-05     	-1.1365620e-03
2.35812e-05    	-1.2478250e-03
