# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84226e-07    	3.9185070e-04
9.11553e-07    	4.6500385e-04
1.34502e-06    	4.5334384e-04
1.77906e-06    	4.2975094e-04
2.21287e-06    	4.1173890e-04
2.64549e-06    	4.0028963e-04
3.07543e-06    	3.9353095e-04
3.50377e-06    	3.9007806e-04
3.93083e-06    	3.8860877e-04
4.35662e-06    	3.8798053e-04
4.78118e-06    	3.8766578e-04
5.20455e-06    	3.8725016e-04
5.62692e-06    	3.8648043e-04
6.04855e-06    	3.8539616e-04
6.46975e-06    	3.8406392e-04
6.89092e-06    	3.8254108e-04
7.31239e-06    	3.8114246e-04
7.73458e-06    	3.7994426e-04
8.15777e-06    	3.7894941e-04
8.58227e-06    	3.7825360e-04
9.00825e-06    	3.7786936e-04
9.4358e-06     	3.7780932e-04
9.86479e-06    	3.7801780e-04
1.02951e-05    	3.7842770e-04
1.07265e-05    	3.7904162e-04
1.11588e-05    	3.7985200e-04
1.15919e-05    	3.8075907e-04
1.20257e-05    	3.8167081e-04
1.24603e-05    	3.8254417e-04
1.28952e-05    	3.8335001e-04
1.333e-05      	3.8409674e-04
1.37645e-05    	3.8479891e-04
1.4197e-05     	3.8546299e-04
1.46269e-05    	3.8609026e-04
1.50544e-05    	3.8668082e-04
1.54806e-05    	3.8724649e-04
1.59055e-05    	3.8780367e-04
1.63294e-05    	3.8837703e-04
1.67524e-05    	3.8898462e-04
1.7175e-05     	3.8964153e-04
1.75975e-05    	3.9035447e-04
1.802e-05      	3.9111585e-04
1.84427e-05    	3.9190921e-04
1.8866e-05     	3.9270909e-04
1.929e-05      	3.9348275e-04
1.97149e-05    	3.9419975e-04
2.0141e-05     	3.9483883e-04
2.05682e-05    	3.9539281e-04
2.09964e-05    	3.9586251e-04
2.14256e-05    	3.9625120e-04
2.18555e-05    	3.9655452e-04
2.2286e-05     	3.9676833e-04
2.27172e-05    	3.9688809e-04
2.3149e-05     	3.9691135e-04
2.35812e-05    	3.9684279e-04
2.40137e-05    	3.9668675e-04
2.44461e-05    	3.9644716e-04
2.48778e-05    	3.9612955e-04
2.53088e-05    	3.9573848e-04
2.57389e-05    	3.9527571e-04
2.61682e-05    	3.9474218e-04
2.65963e-05    	3.9414659e-04
2.70233e-05    	3.9350642e-04
2.7449e-05     	3.9284554e-04
2.78734e-05    	3.9219289e-04
2.82966e-05    	3.9157975e-04
2.87189e-05    	3.9102920e-04
2.91407e-05    	3.9055944e-04
2.95624e-05    	3.9017829e-04
2.99844e-05    	3.8988945e-04
3.04069e-05    	3.8969366e-04
3.08304e-05    	3.8958568e-04
3.12553e-05    	3.8956004e-04
3.16817e-05    	3.8960978e-04
3.21097e-05    	3.8972718e-04
3.25391e-05    	3.8990383e-04
3.29699e-05    	3.9013324e-04
3.34017e-05    	3.9041037e-04
3.38345e-05    	3.9073550e-04
3.42677e-05    	3.9111220e-04
3.47007e-05    	3.9154793e-04
3.51333e-05    	3.9205146e-04
3.55651e-05    	3.9263426e-04
3.59963e-05    	3.9330929e-04
3.64268e-05    	3.9408324e-04
3.68566e-05    	3.9496685e-04
3.72856e-05    	3.9597566e-04
3.77135e-05    	3.9712859e-04
3.81408e-05    	3.9844828e-04
3.85677e-05    	3.9996044e-04
3.89944e-05    	4.0169167e-04
3.94213e-05    	4.0367938e-04
3.98486e-05    	4.0599441e-04
4.02764e-05    	4.0873209e-04
4.07049e-05    	4.1201173e-04
