# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.5717e-07     	-1.1549821e-03
8.49646e-07    	-1.2211366e-03
1.24364e-06    	-1.3125816e-03
1.63803e-06    	-1.4093672e-03
2.03291e-06    	-1.5027604e-03
2.42816e-06    	-1.5963561e-03
2.82371e-06    	-1.6862542e-03
3.21946e-06    	-1.7744816e-03
3.61505e-06    	-1.8575903e-03
4.00998e-06    	-1.9329727e-03
4.40387e-06    	-1.9974654e-03
4.7967e-06     	-2.0498559e-03
5.18864e-06    	-2.0905356e-03
5.58023e-06    	-2.1192674e-03
5.97185e-06    	-2.1358665e-03
6.36351e-06    	-2.1390532e-03
6.75527e-06    	-2.1265733e-03
7.14718e-06    	-2.0962933e-03
7.53882e-06    	-2.0496476e-03
7.92949e-06    	-1.9899258e-03
8.31874e-06    	-1.9224060e-03
8.70593e-06    	-1.8527860e-03
9.0899e-06     	-1.7836683e-03
9.47011e-06    	-1.7174330e-03
9.84648e-06    	-1.6570963e-03
1.02199e-05    	-1.6070625e-03
1.05917e-05    	-1.5717757e-03
1.0963e-05     	-1.5512879e-03
1.13346e-05    	-1.5471933e-03
1.17062e-05    	-1.5575752e-03
1.20774e-05    	-1.5813928e-03
1.24478e-05    	-1.6182915e-03
1.28173e-05    	-1.6667313e-03
1.31859e-05    	-1.7249535e-03
1.35534e-05    	-1.7920780e-03
1.39201e-05    	-1.8647630e-03
1.42865e-05    	-1.9398584e-03
1.46533e-05    	-2.0150834e-03
1.50207e-05    	-2.0876532e-03
1.53888e-05    	-2.1536685e-03
1.57572e-05    	-2.2134843e-03
1.61256e-05    	-2.2666729e-03
1.6494e-05     	-2.3150791e-03
1.68601e-05    	-2.3595421e-03
1.72211e-05    	-2.4005533e-03
1.75788e-05    	-2.4386190e-03
1.79345e-05    	-2.4766085e-03
1.82901e-05    	-2.5154873e-03
1.86477e-05    	-2.5575169e-03
1.90072e-05    	-2.6041053e-03
1.9367e-05     	-2.6545273e-03
1.97243e-05    	-2.7077910e-03
2.00795e-05    	-2.7634540e-03
2.04346e-05    	-2.8219790e-03
2.07905e-05    	-2.8811340e-03
2.1148e-05     	-2.9418268e-03
2.15071e-05    	-3.0034772e-03
2.1868e-05     	-3.0662142e-03
2.22303e-05    	-3.1315660e-03
2.2579e-05     	-3.1972648e-03
2.29133e-05    	-3.2621220e-03
2.3245e-05     	-3.3284611e-03
2.35788e-05    	-3.3963496e-03
2.39155e-05    	-3.4662664e-03
2.42542e-05    	-3.5377495e-03
2.45977e-05    	-3.6122391e-03
2.49471e-05    	-3.6880499e-03
2.53016e-05    	-3.7651203e-03
2.56602e-05    	-3.8404179e-03
2.6023e-05     	-3.9137932e-03
2.63904e-05    	-3.9850859e-03
2.67625e-05    	-4.0541941e-03
2.71381e-05    	-4.1194437e-03
2.7516e-05     	-4.1800161e-03
2.78955e-05    	-4.2348072e-03
2.8276e-05     	-4.2821082e-03
2.86575e-05    	-4.3219707e-03
2.90394e-05    	-4.3548309e-03
2.94213e-05    	-4.3793465e-03
2.98032e-05    	-4.3948275e-03
3.01853e-05    	-4.3996184e-03
3.05675e-05    	-4.3937214e-03
3.09501e-05    	-4.3775138e-03
3.13328e-05    	-4.3528977e-03
3.17152e-05    	-4.3216122e-03
3.2097e-05     	-4.2850239e-03
3.24781e-05    	-4.2430909e-03
3.28581e-05    	-4.1957303e-03
3.32368e-05    	-4.1425403e-03
3.36142e-05    	-4.0841090e-03
3.39907e-05    	-4.0201277e-03
3.43668e-05    	-3.9503753e-03
3.47427e-05    	-3.8748295e-03
3.51186e-05    	-3.7934731e-03
3.54949e-05    	-3.7068523e-03
3.58718e-05    	-3.6171167e-03
3.62501e-05    	-3.5261432e-03
3.663e-05      	-3.4358783e-03
3.70114e-05    	-3.3482621e-03
3.73945e-05    	-3.2631625e-03
3.77803e-05    	-3.1831086e-03
3.8169e-05     	-3.1065983e-03
3.85599e-05    	-3.0349898e-03
3.89524e-05    	-2.9680492e-03
3.93459e-05    	-2.9066035e-03
3.97404e-05    	-2.8519414e-03
4.01358e-05    	-2.8051231e-03
4.05319e-05    	-2.7700513e-03
4.09283e-05    	-2.7486245e-03
4.1325e-05     	-2.7409300e-03
4.17217e-05    	-2.7479584e-03
4.2118e-05     	-2.7695612e-03
4.25138e-05    	-2.8044663e-03
4.29094e-05    	-2.8509237e-03
4.33049e-05    	-2.9071967e-03
4.37004e-05    	-2.9712581e-03
4.40961e-05    	-3.0414107e-03
4.44919e-05    	-3.1185146e-03
4.48874e-05    	-3.2025425e-03
4.52825e-05    	-3.2937249e-03
4.5677e-05     	-3.3917428e-03
4.60708e-05    	-3.4955574e-03
4.64642e-05    	-3.6050854e-03
4.68577e-05    	-3.7178528e-03
4.72515e-05    	-3.8324544e-03
4.76456e-05    	-3.9465731e-03
4.80396e-05    	-4.0567481e-03
4.84329e-05    	-4.1597560e-03
4.88202e-05    	-4.2500516e-03
4.92012e-05    	-4.3246893e-03
4.95796e-05    	-4.3789274e-03
4.99576e-05    	-4.4088482e-03
5.03377e-05    	-4.4106834e-03
5.07205e-05    	-4.3798978e-03
5.11062e-05    	-4.3161116e-03
5.14941e-05    	-4.2252899e-03
5.18825e-05    	-4.1145739e-03
5.22699e-05    	-3.9914944e-03
5.26565e-05    	-3.8637511e-03
5.30426e-05    	-3.7339510e-03
5.34287e-05    	-3.6044632e-03
5.38142e-05    	-3.4815384e-03
5.4197e-05     	-3.3720768e-03
5.45768e-05    	-3.2821034e-03
5.49545e-05    	-3.2152058e-03
5.53316e-05    	-3.1742743e-03
5.57078e-05    	-3.1582679e-03
5.6084e-05     	-3.1642228e-03
5.64617e-05    	-3.1859340e-03
5.68408e-05    	-3.2160286e-03
5.7221e-05     	-3.2493350e-03
5.76022e-05    	-3.2776683e-03
5.79838e-05    	-3.2957522e-03
5.83641e-05    	-3.3007809e-03
5.87426e-05    	-3.2907910e-03
5.91196e-05    	-3.2683285e-03
5.94938e-05    	-3.2343239e-03
5.98657e-05    	-3.1914250e-03
6.02358e-05    	-3.1407040e-03
6.06031e-05    	-3.0850355e-03
6.09647e-05    	-3.0271240e-03
6.13185e-05    	-2.9680260e-03
6.16687e-05    	-2.9102672e-03
6.20184e-05    	-2.8530989e-03
6.23694e-05    	-2.7962059e-03
6.27218e-05    	-2.7426974e-03
6.30767e-05    	-2.6900037e-03
6.34343e-05    	-2.6415844e-03
6.3794e-05     	-2.5979192e-03
6.41548e-05    	-2.5589339e-03
6.45156e-05    	-2.5261408e-03
6.48767e-05    	-2.4980363e-03
6.52378e-05    	-2.4729620e-03
6.55989e-05    	-2.4466605e-03
6.59602e-05    	-2.4193140e-03
6.63225e-05    	-2.3895402e-03
6.66864e-05    	-2.3566134e-03
6.70519e-05    	-2.3207472e-03
6.74189e-05    	-2.2818801e-03
6.77871e-05    	-2.2404497e-03
6.81553e-05    	-2.1990123e-03
6.85248e-05    	-2.1608862e-03
6.88936e-05    	-2.1265481e-03
6.92595e-05    	-2.0976228e-03
6.96229e-05    	-2.0756428e-03
6.99863e-05    	-2.0602644e-03
7.0348e-05     	-2.0509702e-03
7.07052e-05    	-2.0460551e-03
7.10593e-05    	-2.0466168e-03
7.1417e-05     	-2.0498298e-03
7.17797e-05    	-2.0545392e-03
7.21478e-05    	-2.0612585e-03
7.25236e-05    	-2.0689962e-03
7.29055e-05    	-2.0798637e-03
7.32923e-05    	-2.0960134e-03
7.36829e-05    	-2.1188880e-03
7.40759e-05    	-2.1501517e-03
7.4471e-05     	-2.1891993e-03
7.48651e-05    	-2.2370154e-03
