# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.088          	(1.1052736e+01 6.4988767e-01 -9.4282587e+00)	1.9957006e+05	2.9381921e+02	2.3609035e+00
0.0880001      	(1.1134671e+01 6.5221917e-01 -9.4939224e+00)	1.9956632e+05	2.9381763e+02	2.3608719e+00
0.0880005      	(1.1392818e+01 6.5901010e-01 -9.6588889e+00)	1.9955724e+05	2.9381380e+02	2.3607951e+00
0.0880009      	(1.1594140e+01 6.4083139e-01 -9.7954813e+00)	1.9955257e+05	2.9381184e+02	2.3607556e+00
0.0880013      	(1.1754758e+01 5.7668750e-01 -9.8891485e+00)	1.9955317e+05	2.9381208e+02	2.3607607e+00
0.0880016      	(1.1848540e+01 5.2747685e-01 -9.9101010e+00)	1.9955943e+05	2.9381472e+02	2.3608136e+00
0.088002       	(1.1873227e+01 4.7644798e-01 -9.8835396e+00)	1.9957157e+05	2.9381983e+02	2.3609162e+00
0.0880024      	(1.1823201e+01 4.2979799e-01 -9.8093457e+00)	1.9958924e+05	2.9382727e+02	2.3610655e+00
0.0880028      	(1.1693605e+01 3.8675334e-01 -9.6703723e+00)	1.9961201e+05	2.9383686e+02	2.3612580e+00
0.0880032      	(1.1480231e+01 3.3585000e-01 -9.4472349e+00)	1.9964004e+05	2.9384866e+02	2.3614950e+00
0.0880035      	(1.1164382e+01 2.9781201e-01 -9.1501914e+00)	1.9967287e+05	2.9386248e+02	2.3617725e+00
0.0880039      	(1.0735522e+01 2.4898726e-01 -8.7846595e+00)	1.9970882e+05	2.9387761e+02	2.3620763e+00
0.0880043      	(1.0230578e+01 2.0923316e-01 -8.3357276e+00)	1.9974568e+05	2.9389312e+02	2.3623878e+00
0.0880047      	(9.6540515e+00 1.7007464e-01 -7.8225391e+00)	1.9978090e+05	2.9390793e+02	2.3626854e+00
0.0880051      	(9.0193109e+00 1.3171501e-01 -7.2720860e+00)	1.9981145e+05	2.9392077e+02	2.3629435e+00
0.0880055      	(8.3646864e+00 9.9766988e-02 -6.6904376e+00)	1.9983492e+05	2.9393064e+02	2.3631417e+00
0.0880058      	(7.6982986e+00 7.6977716e-02 -6.1087113e+00)	1.9984982e+05	2.9393690e+02	2.3632676e+00
0.0880062      	(7.0707675e+00 6.9878888e-02 -5.5358255e+00)	1.9985634e+05	2.9393963e+02	2.3633226e+00
0.0880066      	(6.4393427e+00 5.7181228e-02 -5.0153165e+00)	1.9985588e+05	2.9393943e+02	2.3633187e+00
0.088007       	(5.8137226e+00 3.3540303e-02 -4.5255972e+00)	1.9985051e+05	2.9393717e+02	2.3632733e+00
0.0880074      	(5.2524653e+00 7.0788613e-04 -4.0691014e+00)	1.9984229e+05	2.9393370e+02	2.3632037e+00
0.0880077      	(4.7268104e+00 -3.7854115e-02 -3.6659381e+00)	1.9983293e+05	2.9392976e+02	2.3631246e+00
0.0880081      	(4.2676224e+00 -9.0496992e-02 -3.3119841e+00)	1.9982345e+05	2.9392577e+02	2.3630445e+00
0.0880085      	(3.8723562e+00 -1.3522720e-01 -3.0030849e+00)	1.9981456e+05	2.9392203e+02	2.3629693e+00
0.0880089      	(3.5299493e+00 -1.8679678e-01 -2.7533966e+00)	1.9980669e+05	2.9391871e+02	2.3629027e+00
0.0880093      	(3.2541205e+00 -2.4242509e-01 -2.5421610e+00)	1.9980031e+05	2.9391602e+02	2.3628488e+00
0.0880096      	(3.0203987e+00 -2.7441468e-01 -2.3782752e+00)	1.9979568e+05	2.9391407e+02	2.3628097e+00
0.08801        	(2.8306970e+00 -3.0738786e-01 -2.2449117e+00)	1.9979317e+05	2.9391301e+02	2.3627884e+00
0.0880104      	(2.6813812e+00 -3.5467619e-01 -2.1207810e+00)	1.9979329e+05	2.9391305e+02	2.3627893e+00
0.0880108      	(2.5299214e+00 -3.5098459e-01 -2.0280432e+00)	1.9979645e+05	2.9391438e+02	2.3628161e+00
0.0880112      	(2.3945453e+00 -3.4870183e-01 -1.9347902e+00)	1.9980287e+05	2.9391708e+02	2.3628703e+00
0.0880115      	(2.2640523e+00 -3.4559165e-01 -1.8504971e+00)	1.9981242e+05	2.9392110e+02	2.3629510e+00
0.0880119      	(2.1344622e+00 -3.2166306e-01 -1.7797186e+00)	1.9982458e+05	2.9392622e+02	2.3630537e+00
0.0880123      	(2.0108875e+00 -3.1553169e-01 -1.7154294e+00)	1.9983896e+05	2.9393227e+02	2.3631753e+00
0.0880127      	(1.9189557e+00 -3.1011181e-01 -1.6565948e+00)	1.9985507e+05	2.9393905e+02	2.3633115e+00
0.0880131      	(1.8472021e+00 -2.8135947e-01 -1.6291201e+00)	1.9987266e+05	2.9394646e+02	2.3634602e+00
0.0880134      	(1.8235965e+00 -2.6613482e-01 -1.6219471e+00)	1.9989104e+05	2.9395419e+02	2.3636155e+00
0.0880138      	(1.8535942e+00 -2.3875136e-01 -1.6394356e+00)	1.9990971e+05	2.9396204e+02	2.3637733e+00
0.0880142      	(1.9383212e+00 -2.2589622e-01 -1.6953380e+00)	1.9992785e+05	2.9396968e+02	2.3639266e+00
0.0880146      	(2.0961608e+00 -1.9799416e-01 -1.7908247e+00)	1.9994439e+05	2.9397663e+02	2.3640663e+00
0.088015       	(2.3212798e+00 -2.1419716e-01 -1.9360719e+00)	1.9995783e+05	2.9398228e+02	2.3641798e+00
0.0880154      	(2.5490062e+00 -1.4866171e-01 -2.1854858e+00)	1.9996628e+05	2.9398584e+02	2.3642513e+00
0.0880157      	(2.8036700e+00 -1.8130154e-01 -2.5344410e+00)	1.9996825e+05	2.9398667e+02	2.3642679e+00
0.0880161      	(3.1436331e+00 -1.6164712e-01 -2.9118953e+00)	1.9996326e+05	2.9398457e+02	2.3642258e+00
0.0880165      	(3.5445318e+00 -1.3046329e-01 -3.2915775e+00)	1.9995170e+05	2.9397971e+02	2.3641281e+00
0.0880169      	(3.9814828e+00 -5.3628727e-02 -3.6896928e+00)	1.9993483e+05	2.9397262e+02	2.3639856e+00
0.0880173      	(4.4527774e+00 2.4763449e-02 -4.1162194e+00)	1.9991379e+05	2.9396378e+02	2.3638079e+00
0.0880176      	(4.9502606e+00 9.3751373e-02 -4.5440087e+00)	1.9988953e+05	2.9395359e+02	2.3636030e+00
