# Region type : patch cOutlet
# Faces  :     1612
# Area   :     4.2541269e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84226e-07    	7.0324404e-04
9.11553e-07    	6.6151186e-04
1.34502e-06    	6.4156171e-04
1.77906e-06    	6.2654645e-04
2.21287e-06    	6.0910023e-04
2.64549e-06    	5.9760384e-04
3.07543e-06    	5.9293137e-04
3.50377e-06    	5.9132115e-04
3.93083e-06    	5.9030894e-04
4.35662e-06    	5.8870071e-04
4.78118e-06    	5.8685116e-04
5.20455e-06    	5.8611557e-04
5.62692e-06    	5.8703988e-04
6.04855e-06    	5.8939474e-04
6.46975e-06    	5.9264052e-04
6.89092e-06    	5.9603583e-04
7.31239e-06    	5.9877441e-04
7.73458e-06    	6.0052463e-04
8.15777e-06    	6.0124896e-04
8.58227e-06    	6.0149013e-04
9.00825e-06    	6.0189479e-04
9.4358e-06     	6.0282195e-04
9.86479e-06    	6.0432682e-04
1.02951e-05    	6.0611642e-04
1.07265e-05    	6.0778208e-04
1.11588e-05    	6.0903597e-04
1.15919e-05    	6.0980478e-04
1.20257e-05    	6.1005259e-04
1.24603e-05    	6.0986472e-04
1.28952e-05    	6.0938324e-04
1.333e-05      	6.0839028e-04
1.37645e-05    	6.0696487e-04
1.4197e-05     	6.0484755e-04
1.46269e-05    	6.0198322e-04
1.50544e-05    	5.9839130e-04
1.54806e-05    	5.9415794e-04
1.59055e-05    	5.8944544e-04
1.63294e-05    	5.8428594e-04
1.67524e-05    	5.7881284e-04
1.7175e-05     	5.7315588e-04
1.75975e-05    	5.6744970e-04
1.802e-05      	5.6176742e-04
1.84427e-05    	5.5613185e-04
1.8866e-05     	5.5061520e-04
1.929e-05      	5.4528068e-04
1.97149e-05    	5.4016276e-04
2.0141e-05     	5.3523060e-04
2.05682e-05    	5.3047374e-04
2.09964e-05    	5.2587435e-04
2.14256e-05    	5.2138283e-04
2.18555e-05    	5.1700701e-04
2.2286e-05     	5.1274190e-04
2.27172e-05    	5.0861699e-04
2.3149e-05     	5.0464179e-04
2.35812e-05    	5.0087794e-04
2.40137e-05    	4.9740552e-04
2.44461e-05    	4.9425435e-04
2.48778e-05    	4.9154029e-04
2.53088e-05    	4.8927727e-04
2.57389e-05    	4.8733925e-04
2.61682e-05    	4.8554375e-04
2.65963e-05    	4.8375870e-04
2.70233e-05    	4.8189547e-04
2.7449e-05     	4.7991107e-04
2.78734e-05    	4.7786291e-04
2.82966e-05    	4.7583233e-04
2.87189e-05    	4.7390477e-04
2.91407e-05    	4.7214569e-04
2.95624e-05    	4.7053711e-04
2.99844e-05    	4.6905491e-04
3.04069e-05    	4.6768728e-04
3.08304e-05    	4.6637675e-04
3.12553e-05    	4.6507558e-04
3.16817e-05    	4.6374228e-04
3.21097e-05    	4.6232211e-04
3.25391e-05    	4.6076293e-04
3.29699e-05    	4.5901132e-04
3.34017e-05    	4.5700847e-04
