# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.5717e-07     	6.6350761e-04
8.49646e-07    	7.8709636e-04
1.24364e-06    	7.4859280e-04
1.63803e-06    	6.9262723e-04
2.03291e-06    	6.5726037e-04
2.42816e-06    	6.3980532e-04
2.82371e-06    	6.3296678e-04
3.21946e-06    	6.2968946e-04
3.61505e-06    	6.2678235e-04
4.00998e-06    	6.2338059e-04
4.40387e-06    	6.2008074e-04
4.7967e-06     	6.1736660e-04
5.18864e-06    	6.1529503e-04
5.58023e-06    	6.1366273e-04
5.97185e-06    	6.1234895e-04
6.36351e-06    	6.1120250e-04
6.75527e-06    	6.1033033e-04
7.14718e-06    	6.0972053e-04
7.53882e-06    	6.0938617e-04
7.92949e-06    	6.0929984e-04
8.31874e-06    	6.0941527e-04
8.70593e-06    	6.0965754e-04
9.0899e-06     	6.1002951e-04
9.47011e-06    	6.1052667e-04
9.84648e-06    	6.1114625e-04
1.02199e-05    	6.1187823e-04
1.05917e-05    	6.1268924e-04
1.0963e-05     	6.1352270e-04
1.13346e-05    	6.1435262e-04
1.17062e-05    	6.1513094e-04
1.20774e-05    	6.1583436e-04
1.24478e-05    	6.1648180e-04
1.28173e-05    	6.1708842e-04
1.31859e-05    	6.1766464e-04
1.35534e-05    	6.1820763e-04
1.39201e-05    	6.1870200e-04
1.42865e-05    	6.1914421e-04
1.46533e-05    	6.1952852e-04
1.50207e-05    	6.1984908e-04
1.53888e-05    	6.2010909e-04
1.57572e-05    	6.2032297e-04
1.61256e-05    	6.2050565e-04
1.6494e-05     	6.2067718e-04
1.68601e-05    	6.2085273e-04
1.72211e-05    	6.2104350e-04
1.75788e-05    	6.2125386e-04
1.79345e-05    	6.2148105e-04
1.82901e-05    	6.2172259e-04
1.86477e-05    	6.2197621e-04
1.90072e-05    	6.2223080e-04
1.9367e-05     	6.2247639e-04
1.97243e-05    	6.2270447e-04
2.00795e-05    	6.2291230e-04
2.04346e-05    	6.2309698e-04
2.07905e-05    	6.2325561e-04
2.1148e-05     	6.2338511e-04
2.15071e-05    	6.2348462e-04
2.1868e-05     	6.2355650e-04
2.22303e-05    	6.2360018e-04
2.2579e-05     	6.2361631e-04
2.29133e-05    	6.2361062e-04
2.3245e-05     	6.2358567e-04
2.35788e-05    	6.2354321e-04
2.39155e-05    	6.2348750e-04
2.42542e-05    	6.2342249e-04
2.45977e-05    	6.2335276e-04
2.49471e-05    	6.2328558e-04
2.53016e-05    	6.2323012e-04
2.56602e-05    	6.2319584e-04
2.6023e-05     	6.2318643e-04
2.63904e-05    	6.2320425e-04
2.67625e-05    	6.2325337e-04
2.71381e-05    	6.2333701e-04
2.7516e-05     	6.2345531e-04
2.78955e-05    	6.2360799e-04
2.8276e-05     	6.2380649e-04
2.86575e-05    	6.2405606e-04
2.90394e-05    	6.2435978e-04
2.94213e-05    	6.2472341e-04
2.98032e-05    	6.2514785e-04
3.01853e-05    	6.2563009e-04
3.05675e-05    	6.2617061e-04
3.09501e-05    	6.2676882e-04
3.13328e-05    	6.2741698e-04
3.17152e-05    	6.2810513e-04
3.2097e-05     	6.2882499e-04
3.24781e-05    	6.2957173e-04
3.28581e-05    	6.3033887e-04
3.32368e-05    	6.3111894e-04
3.36142e-05    	6.3190972e-04
3.39907e-05    	6.3271143e-04
3.43668e-05    	6.3352495e-04
3.47427e-05    	6.3434803e-04
3.51186e-05    	6.3517886e-04
3.54949e-05    	6.3601556e-04
3.58718e-05    	6.3685393e-04
3.62501e-05    	6.3769467e-04
3.663e-05      	6.3853969e-04
3.70114e-05    	6.3939115e-04
3.73945e-05    	6.4025500e-04
3.77803e-05    	6.4114177e-04
3.8169e-05     	6.4206139e-04
3.85599e-05    	6.4301638e-04
3.89524e-05    	6.4401044e-04
3.93459e-05    	6.4504779e-04
3.97404e-05    	6.4613677e-04
4.01358e-05    	6.4729011e-04
