# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	sum(phi)
0.088          	-2.2678040e-03
0.0880001      	-2.2795355e-03
0.0880005      	-2.3272980e-03
0.0880009      	-2.3657002e-03
0.0880013      	-2.3932302e-03
0.0880016      	-2.4086598e-03
0.088002       	-2.4104878e-03
0.0880024      	-2.3982122e-03
0.0880028      	-2.3713931e-03
0.0880032      	-2.3286170e-03
0.0880035      	-2.2685674e-03
0.0880039      	-2.1920314e-03
0.0880043      	-2.0999724e-03
0.0880047      	-1.9944341e-03
0.0880051      	-1.8786626e-03
0.0880055      	-1.7570976e-03
0.0880058      	-1.6346035e-03
0.0880062      	-1.5157278e-03
0.0880066      	-1.4037549e-03
0.088007       	-1.3004468e-03
0.0880074      	-1.2078684e-03
0.0880077      	-1.1259769e-03
0.0880081      	-1.0551387e-03
0.0880085      	-9.9549526e-04
0.0880089      	-9.4505387e-04
0.0880093      	-9.0363582e-04
0.0880096      	-8.6988223e-04
0.08801        	-8.4209391e-04
0.0880104      	-8.1778764e-04
0.0880108      	-7.9523320e-04
0.0880112      	-7.7251292e-04
0.0880115      	-7.4932738e-04
0.0880119      	-7.2568397e-04
0.0880123      	-7.0084914e-04
0.0880127      	-6.7746754e-04
0.0880131      	-6.5678487e-04
0.0880134      	-6.4011358e-04
0.0880138      	-6.2835959e-04
0.0880142      	-6.2255429e-04
0.0880146      	-6.2493233e-04
0.088015       	-6.3667923e-04
0.0880154      	-6.5981028e-04
0.0880157      	-6.9502826e-04
0.0880161      	-7.4249018e-04
0.0880165      	-8.0007046e-04
0.0880169      	-8.6669440e-04
0.0880173      	-9.4108649e-04
0.0880176      	-1.0214367e-03
0.088018       	-1.1064984e-03
0.0880184      	-1.1944487e-03
0.0880188      	-1.2834193e-03
0.0880192      	-1.3712594e-03
0.0880195      	-1.4563548e-03
0.0880199      	-1.5379906e-03
0.0880203      	-1.6158092e-03
0.0880207      	-1.6891516e-03
0.0880211      	-1.7578112e-03
0.0880214      	-1.8212401e-03
0.0880218      	-1.8794605e-03
0.0880222      	-1.9316082e-03
0.0880226      	-1.9775007e-03
0.088023       	-2.0169272e-03
0.0880233      	-2.0486452e-03
0.0880237      	-2.0720102e-03
0.0880241      	-2.0860494e-03
0.0880245      	-2.0910066e-03
0.0880249      	-2.0852872e-03
0.0880253      	-2.0690584e-03
0.0880256      	-2.0421303e-03
0.088026       	-2.0038478e-03
0.0880264      	-1.9545945e-03
0.0880268      	-1.8959460e-03
0.0880272      	-1.8297316e-03
0.0880275      	-1.7583060e-03
0.0880279      	-1.6850272e-03
0.0880283      	-1.6114413e-03
0.0880287      	-1.5386513e-03
0.0880291      	-1.4696642e-03
0.0880294      	-1.4058969e-03
0.0880298      	-1.3476692e-03
0.0880302      	-1.2944455e-03
0.0880306      	-1.2452647e-03
0.088031       	-1.1998721e-03
0.0880313      	-1.1577329e-03
0.0880317      	-1.1178581e-03
0.0880321      	-1.0773728e-03
0.0880325      	-1.0354038e-03
0.0880329      	-9.9164142e-04
0.0880332      	-9.4523162e-04
0.0880336      	-8.9717629e-04
0.088034       	-8.4822921e-04
0.0880344      	-7.9822811e-04
0.0880348      	-7.5116442e-04
0.0880352      	-7.0900858e-04
0.0880355      	-6.7105677e-04
0.0880359      	-6.4003336e-04
0.0880363      	-6.1682556e-04
0.0880367      	-6.0393913e-04
0.0880371      	-6.0048343e-04
0.0880374      	-6.0859410e-04
0.0880378      	-6.2812961e-04
0.0880382      	-6.6110855e-04
0.0880386      	-7.0700904e-04
0.088039       	-7.6410193e-04
0.0880393      	-8.3008714e-04
0.0880397      	-9.0290284e-04
0.0880401      	-9.8051990e-04
0.0880405      	-1.0610618e-03
0.0880409      	-1.1435268e-03
0.0880412      	-1.2281102e-03
0.0880416      	-1.3133070e-03
0.088042       	-1.3980079e-03
0.0880424      	-1.4807629e-03
0.0880428      	-1.5617886e-03
0.0880431      	-1.6403865e-03
0.0880435      	-1.7154651e-03
0.0880439      	-1.7866172e-03
0.0880443      	-1.8517144e-03
0.0880447      	-1.9095683e-03
0.0880451      	-1.9602424e-03
0.0880454      	-2.0040801e-03
0.0880458      	-2.0390876e-03
0.0880462      	-2.0647034e-03
0.0880466      	-2.0793862e-03
0.088047       	-2.0819477e-03
0.0880473      	-2.0729838e-03
0.0880477      	-2.0516753e-03
0.0880481      	-2.0174704e-03
0.0880485      	-1.9722793e-03
0.0880489      	-1.9194202e-03
0.0880492      	-1.8608053e-03
0.0880496      	-1.7985677e-03
0.08805        	-1.7340133e-03
0.0880504      	-1.6685666e-03
0.0880508      	-1.6053083e-03
0.0880511      	-1.5470863e-03
0.0880515      	-1.4949038e-03
0.0880519      	-1.4508972e-03
0.0880523      	-1.4137804e-03
0.0880527      	-1.3823223e-03
0.088053       	-1.3556045e-03
0.0880534      	-1.3315742e-03
0.0880538      	-1.3098466e-03
0.0880542      	-1.2871228e-03
0.0880546      	-1.2625392e-03
0.088055       	-1.2348314e-03
0.0880553      	-1.2025224e-03
0.0880557      	-1.1661166e-03
0.0880561      	-1.1249413e-03
0.0880565      	-1.0800219e-03
0.0880569      	-1.0333038e-03
0.0880572      	-9.8617605e-04
0.0880576      	-9.4144315e-04
0.088058       	-9.0074462e-04
0.0880584      	-8.6487341e-04
0.0880588      	-8.3707525e-04
0.0880591      	-8.1777897e-04
0.0880595      	-8.0956326e-04
0.0880599      	-8.1182574e-04
0.0880603      	-8.2752942e-04
0.0880607      	-8.5482207e-04
0.088061       	-8.9364257e-04
0.0880614      	-9.4160736e-04
0.0880618      	-9.9705902e-04
0.0880622      	-1.0582655e-03
0.0880626      	-1.1207169e-03
0.0880629      	-1.1832977e-03
0.0880633      	-1.2445490e-03
0.0880637      	-1.3050905e-03
0.0880641      	-1.3645818e-03
0.0880645      	-1.4227293e-03
0.0880648      	-1.4780054e-03
0.0880652      	-1.5308168e-03
0.0880656      	-1.5810791e-03
0.088066       	-1.6293193e-03
0.0880664      	-1.6744080e-03
0.0880668      	-1.7169997e-03
0.0880671      	-1.7547890e-03
0.0880675      	-1.7862330e-03
0.0880679      	-1.8115934e-03
0.0880683      	-1.8318258e-03
0.0880687      	-1.8465176e-03
0.088069       	-1.8549961e-03
0.0880694      	-1.8571140e-03
0.0880698      	-1.8527273e-03
0.0880702      	-1.8412387e-03
0.0880706      	-1.8226870e-03
0.0880709      	-1.7954433e-03
0.0880713      	-1.7602189e-03
0.0880717      	-1.7189456e-03
0.0880721      	-1.6734002e-03
0.0880725      	-1.6247590e-03
0.0880728      	-1.5760659e-03
0.0880732      	-1.5295589e-03
0.0880736      	-1.4862032e-03
0.088074       	-1.4458759e-03
0.0880744      	-1.4103342e-03
0.0880747      	-1.3805827e-03
0.0880751      	-1.3569346e-03
0.0880755      	-1.3384808e-03
0.0880759      	-1.3233498e-03
0.0880763      	-1.3094351e-03
0.0880767      	-1.2948312e-03
0.088077       	-1.2774189e-03
0.0880774      	-1.2555478e-03
0.0880778      	-1.2276048e-03
0.0880782      	-1.1938501e-03
0.0880786      	-1.1533752e-03
0.0880789      	-1.1082714e-03
0.0880793      	-1.0598761e-03
0.0880797      	-1.0101978e-03
0.0880801      	-9.5948035e-04
0.0880805      	-9.1081132e-04
0.0880808      	-8.6683988e-04
0.0880812      	-8.2965821e-04
0.0880816      	-8.0222469e-04
0.088082       	-7.8418702e-04
0.0880824      	-7.7804829e-04
0.0880827      	-7.8372186e-04
0.0880831      	-8.0411946e-04
0.0880835      	-8.3762521e-04
0.0880839      	-8.8109827e-04
0.0880843      	-9.3507469e-04
0.0880846      	-9.9793618e-04
0.088085       	-1.0692566e-03
0.0880854      	-1.1472332e-03
0.0880858      	-1.2301164e-03
0.0880862      	-1.3163292e-03
0.0880866      	-1.4029926e-03
0.0880869      	-1.4888665e-03
0.0880873      	-1.5728432e-03
0.0880877      	-1.6535395e-03
0.0880881      	-1.7296023e-03
0.0880885      	-1.7995308e-03
0.0880888      	-1.8626549e-03
0.0880892      	-1.9175409e-03
0.0880896      	-1.9635238e-03
0.08809        	-2.0007003e-03
0.0880904      	-2.0281951e-03
0.0880907      	-2.0456976e-03
0.0880911      	-2.0535977e-03
0.0880915      	-2.0523039e-03
0.0880919      	-2.0411827e-03
0.0880923      	-2.0194802e-03
0.0880926      	-1.9857286e-03
0.088093       	-1.9400155e-03
0.0880934      	-1.8832784e-03
0.0880938      	-1.8165007e-03
0.0880942      	-1.7414435e-03
0.0880945      	-1.6614905e-03
0.0880949      	-1.5788733e-03
0.0880953      	-1.4953469e-03
0.0880957      	-1.4120114e-03
0.0880961      	-1.3317446e-03
0.0880965      	-1.2559029e-03
0.0880968      	-1.1863482e-03
0.0880972      	-1.1236783e-03
0.0880976      	-1.0681556e-03
0.088098       	-1.0211382e-03
0.0880984      	-9.8057984e-04
0.0880987      	-9.4610913e-04
0.0880991      	-9.1599437e-04
0.0880995      	-8.8794396e-04
0.0880999      	-8.6063506e-04
0.0881003      	-8.3226732e-04
0.0881006      	-8.0281035e-04
0.088101       	-7.7281854e-04
0.0881014      	-7.4524752e-04
0.0881018      	-7.1809039e-04
