# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	average(U)	average(p)	average(T)
0.088          	(-1.1080143e-03 5.8089517e+00 4.1328038e-02)	1.0016063e+05	2.9845846e+02
0.0880001      	(-1.0615212e-03 5.8086524e+00 4.1091501e-02)	1.0016046e+05	2.9845830e+02
0.0880005      	(-9.9863399e-04 5.8077233e+00 4.0356043e-02)	1.0015992e+05	2.9845782e+02
0.0880009      	(-1.0650520e-03 5.8067999e+00 3.9646858e-02)	1.0015940e+05	2.9845736e+02
0.0880013      	(-1.2616549e-03 5.8058818e+00 3.8990507e-02)	1.0015891e+05	2.9845692e+02
0.0880016      	(-1.5851249e-03 5.8049699e+00 3.8411454e-02)	1.0015844e+05	2.9845651e+02
0.088002       	(-2.0285218e-03 5.8040679e+00 3.7931414e-02)	1.0015800e+05	2.9845613e+02
0.0880024      	(-2.5810452e-03 5.8031783e+00 3.7568803e-02)	1.0015759e+05	2.9845577e+02
0.0880028      	(-3.2281014e-03 5.8023009e+00 3.7337671e-02)	1.0015721e+05	2.9845544e+02
0.0880032      	(-3.9506969e-03 5.8014350e+00 3.7246564e-02)	1.0015686e+05	2.9845513e+02
0.0880035      	(-4.7265878e-03 5.8005797e+00 3.7299772e-02)	1.0015653e+05	2.9845484e+02
0.0880039      	(-5.5317913e-03 5.7997331e+00 3.7497697e-02)	1.0015622e+05	2.9845458e+02
0.0880043      	(-6.3411700e-03 5.7988945e+00 3.7836120e-02)	1.0015594e+05	2.9845433e+02
0.0880047      	(-7.1287213e-03 5.7980626e+00 3.8306120e-02)	1.0015568e+05	2.9845409e+02
0.0880051      	(-7.8678191e-03 5.7972407e+00 3.8894985e-02)	1.0015544e+05	2.9845388e+02
0.0880055      	(-8.5322177e-03 5.7964366e+00 3.9586978e-02)	1.0015523e+05	2.9845368e+02
0.0880058      	(-9.0978688e-03 5.7956618e+00 4.0362124e-02)	1.0015504e+05	2.9845352e+02
0.0880062      	(-9.5441447e-03 5.7949281e+00 4.1195814e-02)	1.0015488e+05	2.9845338e+02
0.0880066      	(-9.8552155e-03 5.7942473e+00 4.2061613e-02)	1.0015476e+05	2.9845327e+02
0.088007       	(-1.0020327e-02 5.7936309e+00 4.2931308e-02)	1.0015468e+05	2.9845320e+02
