# Region type : patch cOutlet
# Faces  :     1744
# Area   :     4.2541269e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.7259e-07     	1.8266919e-08
8.64331e-07    	1.7331835e-08
1.25607e-06    	1.5480776e-08
1.64781e-06    	1.4779600e-08
2.03955e-06    	1.4359626e-08
2.4313e-06     	1.3949757e-08
2.82304e-06    	1.3685738e-08
3.21478e-06    	1.3585376e-08
3.60652e-06    	1.3593307e-08
3.99826e-06    	1.3676005e-08
4.39e-06       	1.3811118e-08
4.78174e-06    	1.3971876e-08
5.17348e-06    	1.4140567e-08
5.56522e-06    	1.4313545e-08
5.95697e-06    	1.4489334e-08
6.34871e-06    	1.4664328e-08
6.74045e-06    	1.4838999e-08
7.13219e-06    	1.5017070e-08
7.52393e-06    	1.5199259e-08
7.91567e-06    	1.5384080e-08
8.30741e-06    	1.5570888e-08
8.69915e-06    	1.5759039e-08
9.09089e-06    	1.5947184e-08
9.48263e-06    	1.6134462e-08
9.87438e-06    	1.6320742e-08
1.02661e-05    	1.6505855e-08
1.06579e-05    	1.6689609e-08
1.10496e-05    	1.6871954e-08
1.14413e-05    	1.7052619e-08
1.18331e-05    	1.7231606e-08
1.22248e-05    	1.7409072e-08
1.26166e-05    	1.7584879e-08
1.30083e-05    	1.7758881e-08
1.34e-05       	1.7931176e-08
1.37918e-05    	1.8102216e-08
1.41835e-05    	1.8272083e-08
1.45753e-05    	1.8440601e-08
1.4967e-05     	1.8607562e-08
1.53588e-05    	1.8772976e-08
1.57505e-05    	1.8937066e-08
1.61422e-05    	1.9099998e-08
1.6534e-05     	1.9261841e-08
1.69257e-05    	1.9422662e-08
1.73175e-05    	1.9582509e-08
1.77092e-05    	1.9741220e-08
1.81009e-05    	1.9898618e-08
1.84927e-05    	2.0054522e-08
1.88844e-05    	2.0208886e-08
1.92762e-05    	2.0361736e-08
1.96679e-05    	2.0513081e-08
2.00596e-05    	2.0662983e-08
2.04514e-05    	2.0811559e-08
2.08431e-05    	2.0958921e-08
2.12349e-05    	2.1105258e-08
2.16266e-05    	2.1250700e-08
2.20184e-05    	2.1395370e-08
2.24101e-05    	2.1539338e-08
2.28018e-05    	2.1682623e-08
2.31936e-05    	2.1825248e-08
2.35853e-05    	2.1967231e-08
2.39771e-05    	2.2108500e-08
2.43688e-05    	2.2249094e-08
2.47605e-05    	2.2388994e-08
2.51523e-05    	2.2528139e-08
2.5544e-05     	2.2666492e-08
2.59358e-05    	2.2804009e-08
2.63275e-05    	2.2940551e-08
2.67192e-05    	2.3076060e-08
2.7111e-05     	2.3210478e-08
2.75027e-05    	2.3343778e-08
2.78945e-05    	2.3475894e-08
2.82862e-05    	2.3606772e-08
2.86779e-05    	2.3736398e-08
2.90697e-05    	2.3864738e-08
2.94614e-05    	2.3991724e-08
2.98532e-05    	2.4117262e-08
3.02449e-05    	2.4241252e-08
3.06367e-05    	2.4363598e-08
3.10284e-05    	2.4484198e-08
3.14201e-05    	2.4602987e-08
3.18119e-05    	2.4719877e-08
3.22036e-05    	2.4834927e-08
3.25954e-05    	2.4948118e-08
3.29871e-05    	2.5059397e-08
3.33788e-05    	2.5168663e-08
3.37706e-05    	2.5276006e-08
3.41623e-05    	2.5381482e-08
3.45541e-05    	2.5485066e-08
3.49458e-05    	2.5586759e-08
3.53375e-05    	2.5686576e-08
3.57293e-05    	2.5784495e-08
3.6121e-05     	2.5880552e-08
3.65128e-05    	2.5974819e-08
3.69045e-05    	2.6067381e-08
3.72963e-05    	2.6158282e-08
3.7688e-05     	2.6247598e-08
3.80797e-05    	2.6335444e-08
3.84715e-05    	2.6421899e-08
3.88632e-05    	2.6507028e-08
3.9255e-05     	2.6590868e-08
3.96467e-05    	2.6673434e-08
4.00384e-05    	2.6754724e-08
4.04302e-05    	2.6834737e-08
4.08219e-05    	2.6913462e-08
4.12137e-05    	2.6990861e-08
4.16054e-05    	2.7066941e-08
4.19971e-05    	2.7141805e-08
4.23889e-05    	2.7215493e-08
4.27806e-05    	2.7287885e-08
4.31724e-05    	2.7358932e-08
4.35641e-05    	2.7428698e-08
4.39559e-05    	2.7497213e-08
4.43476e-05    	2.7564419e-08
4.47393e-05    	2.7630261e-08
4.51311e-05    	2.7694674e-08
4.55228e-05    	2.7757605e-08
4.59146e-05    	2.7819018e-08
4.63063e-05    	2.7878872e-08
4.6698e-05     	2.7937113e-08
4.70898e-05    	2.7993678e-08
4.74815e-05    	2.8048510e-08
4.78733e-05    	2.8101571e-08
4.8265e-05     	2.8152818e-08
4.86567e-05    	2.8202207e-08
4.90485e-05    	2.8249707e-08
4.94402e-05    	2.8295296e-08
4.9832e-05     	2.8338954e-08
5.02237e-05    	2.8380651e-08
5.06155e-05    	2.8420363e-08
5.10072e-05    	2.8458071e-08
5.13989e-05    	2.8493770e-08
5.17907e-05    	2.8527476e-08
5.21824e-05    	2.8559223e-08
5.25742e-05    	2.8589063e-08
5.29659e-05    	2.8617022e-08
5.33576e-05    	2.8643143e-08
5.37494e-05    	2.8667434e-08
5.41411e-05    	2.8689937e-08
5.45329e-05    	2.8710692e-08
5.49246e-05    	2.8729736e-08
5.53163e-05    	2.8747110e-08
5.57081e-05    	2.8762863e-08
5.60998e-05    	2.8777047e-08
5.64916e-05    	2.8789705e-08
5.68833e-05    	2.8800880e-08
5.7275e-05     	2.8810608e-08
5.76668e-05    	2.8818925e-08
5.80585e-05    	2.8825880e-08
5.84503e-05    	2.8831512e-08
5.8842e-05     	2.8835860e-08
5.92338e-05    	2.8838979e-08
5.96255e-05    	2.8840931e-08
6.00172e-05    	2.8841781e-08
6.0409e-05     	2.8841630e-08
6.08007e-05    	2.8840559e-08
6.11925e-05    	2.8838679e-08
6.15842e-05    	2.8836119e-08
6.19759e-05    	2.8833057e-08
6.23677e-05    	2.8829730e-08
6.27594e-05    	2.8826396e-08
6.31512e-05    	2.8823366e-08
6.35429e-05    	2.8820991e-08
6.39346e-05    	2.8819661e-08
6.43264e-05    	2.8819816e-08
6.47181e-05    	2.8821976e-08
6.51099e-05    	2.8826752e-08
6.55016e-05    	2.8834798e-08
6.58934e-05    	2.8846844e-08
6.62851e-05    	2.8863724e-08
6.66768e-05    	2.8886319e-08
6.70686e-05    	2.8915629e-08
6.74603e-05    	2.8952413e-08
6.78521e-05    	2.8997379e-08
6.82438e-05    	2.9051241e-08
6.86355e-05    	2.9114809e-08
6.90273e-05    	2.9188942e-08
6.9419e-05     	2.9274214e-08
6.98108e-05    	2.9371261e-08
7.02025e-05    	2.9480335e-08
7.05942e-05    	2.9601476e-08
7.0986e-05     	2.9734695e-08
7.13777e-05    	2.9879749e-08
7.17695e-05    	3.0036612e-08
7.21612e-05    	3.0205275e-08
7.2553e-05     	3.0385034e-08
7.29447e-05    	3.0575129e-08
7.33364e-05    	3.0774772e-08
7.37282e-05    	3.0983184e-08
7.41199e-05    	3.1199743e-08
7.45117e-05    	3.1423694e-08
7.49034e-05    	3.1654098e-08
7.52951e-05    	3.1890027e-08
7.56869e-05    	3.2130547e-08
7.60786e-05    	3.2374776e-08
7.64704e-05    	3.2621885e-08
7.68621e-05    	3.2871055e-08
7.72538e-05    	3.3121488e-08
7.76456e-05    	3.3372394e-08
7.80373e-05    	3.3622951e-08
7.84291e-05    	3.3872454e-08
7.88208e-05    	3.4120344e-08
7.92126e-05    	3.4366066e-08
7.96043e-05    	3.4609091e-08
7.9996e-05     	3.4848975e-08
8.03878e-05    	3.5084973e-08
8.07795e-05    	3.5315877e-08
8.11713e-05    	3.5542346e-08
8.1563e-05     	3.5764766e-08
8.19547e-05    	3.5982346e-08
8.23465e-05    	3.6194243e-08
8.27382e-05    	3.6400000e-08
8.313e-05      	3.6599351e-08
8.35217e-05    	3.6792100e-08
8.39134e-05    	3.6978075e-08
8.43052e-05    	3.7157094e-08
8.46969e-05    	3.7328970e-08
8.50887e-05    	3.7493580e-08
8.54804e-05    	3.7650831e-08
8.58721e-05    	3.7800608e-08
8.62639e-05    	3.7942811e-08
8.66556e-05    	3.8077709e-08
8.70474e-05    	3.8205656e-08
8.74391e-05    	3.8327241e-08
8.78309e-05    	3.8442869e-08
8.82226e-05    	3.8552952e-08
8.86143e-05    	3.8657940e-08
8.90061e-05    	3.8758321e-08
8.93978e-05    	3.8854602e-08
8.97896e-05    	3.8947325e-08
9.01813e-05    	3.9037050e-08
9.0573e-05     	3.9124369e-08
9.09648e-05    	3.9209897e-08
9.13565e-05    	3.9294249e-08
9.17483e-05    	3.9377983e-08
9.214e-05      	3.9461648e-08
9.25317e-05    	3.9545864e-08
9.29235e-05    	3.9631123e-08
9.33152e-05    	3.9717720e-08
9.3707e-05     	3.9805835e-08
9.40987e-05    	3.9895897e-08
9.44905e-05    	3.9988406e-08
9.48822e-05    	4.0083653e-08
9.52739e-05    	4.0181745e-08
9.56657e-05    	4.0282802e-08
9.60574e-05    	4.0386989e-08
9.64492e-05    	4.0494388e-08
9.68409e-05    	4.0605055e-08
9.72326e-05    	4.0719037e-08
9.76244e-05    	4.0836330e-08
9.80161e-05    	4.0956808e-08
9.84079e-05    	4.1080395e-08
9.87996e-05    	4.1207016e-08
9.91913e-05    	4.1336529e-08
9.95831e-05    	4.1468712e-08
9.99748e-05    	4.1603360e-08
0.000100367    	4.1740254e-08
0.000100758    	4.1879174e-08
0.00010115     	4.2019886e-08
0.000101542    	4.2162100e-08
0.000101934    	4.2305479e-08
0.000102325    	4.2449631e-08
0.000102717    	4.2594111e-08
0.000103109    	4.2738534e-08
0.0001035      	4.2882631e-08
0.000103892    	4.3026165e-08
0.000104284    	4.3168921e-08
0.000104676    	4.3310752e-08
0.000105067    	4.3451637e-08
0.000105459    	4.3591650e-08
0.000105851    	4.3731021e-08
