# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.1074e-07     	-1.8280595e-03
9.44866e-07    	-2.1622034e-03
1.37899e-06    	-2.1947444e-03
1.81312e-06    	-2.1251194e-03
2.24725e-06    	-2.0216591e-03
2.68137e-06    	-1.9346277e-03
3.1155e-06     	-1.8861506e-03
3.54962e-06    	-1.8702600e-03
3.98375e-06    	-1.8678851e-03
4.41788e-06    	-1.8713452e-03
4.852e-06      	-1.8745979e-03
5.28613e-06    	-1.8762521e-03
5.72026e-06    	-1.8775086e-03
6.15438e-06    	-1.8796830e-03
6.58851e-06    	-1.8839491e-03
7.02264e-06    	-1.8918241e-03
7.45676e-06    	-1.9044168e-03
7.89089e-06    	-1.9222039e-03
8.32502e-06    	-1.9451741e-03
8.75914e-06    	-1.9723505e-03
9.19327e-06    	-2.0030483e-03
9.62739e-06    	-2.0366358e-03
1.00615e-05    	-2.0726234e-03
1.04956e-05    	-2.1105392e-03
1.09298e-05    	-2.1499188e-03
1.13639e-05    	-2.1902463e-03
1.1798e-05     	-2.2310874e-03
1.22322e-05    	-2.2721537e-03
1.26663e-05    	-2.3133784e-03
1.31004e-05    	-2.3547131e-03
1.35345e-05    	-2.3961305e-03
1.39687e-05    	-2.4377127e-03
1.44028e-05    	-2.4794961e-03
1.48369e-05    	-2.5215120e-03
1.5271e-05     	-2.5638113e-03
1.57052e-05    	-2.6063667e-03
1.61393e-05    	-2.6490674e-03
1.65734e-05    	-2.6919810e-03
1.70075e-05    	-2.7351615e-03
1.74417e-05    	-2.7785486e-03
1.78758e-05    	-2.8221925e-03
1.83099e-05    	-2.8661097e-03
1.8744e-05     	-2.9102669e-03
1.91782e-05    	-2.9547695e-03
1.96123e-05    	-2.9996124e-03
2.00464e-05    	-3.0447476e-03
2.04806e-05    	-3.0901748e-03
2.09147e-05    	-3.1357926e-03
2.13488e-05    	-3.1815228e-03
2.17829e-05    	-3.2272754e-03
2.22171e-05    	-3.2730067e-03
2.26512e-05    	-3.3186942e-03
2.30853e-05    	-3.3642582e-03
2.35194e-05    	-3.4096637e-03
2.39536e-05    	-3.4548296e-03
2.43877e-05    	-3.4997121e-03
2.48218e-05    	-3.5442856e-03
2.52559e-05    	-3.5885204e-03
2.56901e-05    	-3.6324274e-03
2.61242e-05    	-3.6759999e-03
2.65583e-05    	-3.7192241e-03
2.69925e-05    	-3.7620669e-03
2.74266e-05    	-3.8045204e-03
2.78607e-05    	-3.8465728e-03
2.82948e-05    	-3.8882095e-03
2.8729e-05     	-3.9294140e-03
2.91631e-05    	-3.9702037e-03
2.95972e-05    	-4.0105581e-03
3.00313e-05    	-4.0504349e-03
3.04655e-05    	-4.0897690e-03
3.08996e-05    	-4.1284588e-03
3.13337e-05    	-4.1664290e-03
3.17678e-05    	-4.2036959e-03
3.2202e-05     	-4.2403918e-03
3.26361e-05    	-4.2768685e-03
3.30702e-05    	-4.3136925e-03
3.35043e-05    	-4.3515840e-03
3.39385e-05    	-4.3913075e-03
3.43726e-05    	-4.4333721e-03
3.48067e-05    	-4.4778080e-03
3.52409e-05    	-4.5237445e-03
3.5675e-05     	-4.5682548e-03
3.61091e-05    	-4.6026755e-03
3.65432e-05    	-4.6198043e-03
3.69774e-05    	-4.6136626e-03
3.74115e-05    	-4.5800811e-03
3.78456e-05    	-4.5189352e-03
3.82797e-05    	-4.4335186e-03
3.87139e-05    	-4.3315346e-03
3.9148e-05     	-4.2227402e-03
3.95821e-05    	-4.1180648e-03
4.00162e-05    	-4.0306259e-03
4.04504e-05    	-3.9688868e-03
4.08845e-05    	-3.9355632e-03
4.13186e-05    	-3.9326854e-03
4.17528e-05    	-3.9580535e-03
4.21869e-05    	-4.0045767e-03
4.2621e-05     	-4.0676330e-03
4.30551e-05    	-4.1471357e-03
4.34893e-05    	-4.2403774e-03
4.39234e-05    	-4.3411209e-03
4.43575e-05    	-4.4430824e-03
4.47916e-05    	-4.5414070e-03
4.52258e-05    	-4.6321511e-03
4.56599e-05    	-4.7126015e-03
4.6094e-05     	-4.7815159e-03
4.65281e-05    	-4.8388224e-03
4.69623e-05    	-4.8850363e-03
4.73964e-05    	-4.9210935e-03
4.78305e-05    	-4.9479200e-03
4.82646e-05    	-4.9666384e-03
4.86988e-05    	-4.9785853e-03
4.91329e-05    	-4.9850135e-03
4.9567e-05     	-4.9869874e-03
5.00012e-05    	-4.9856074e-03
5.04353e-05    	-4.9819884e-03
5.08694e-05    	-4.9769353e-03
5.13035e-05    	-4.9712102e-03
5.17377e-05    	-4.9655339e-03
5.21718e-05    	-4.9606262e-03
5.26059e-05    	-4.9569622e-03
5.304e-05      	-4.9548744e-03
5.34742e-05    	-4.9546108e-03
5.39083e-05    	-4.9562272e-03
5.43424e-05    	-4.9597400e-03
5.47765e-05    	-4.9651057e-03
5.52107e-05    	-4.9722734e-03
5.56448e-05    	-4.9810882e-03
5.60789e-05    	-4.9913333e-03
5.6513e-05     	-5.0027543e-03
5.69472e-05    	-5.0150500e-03
5.73813e-05    	-5.0279520e-03
5.78154e-05    	-5.0412502e-03
5.82496e-05    	-5.0547955e-03
5.86837e-05    	-5.0684847e-03
5.91178e-05    	-5.0822463e-03
5.95519e-05    	-5.0960332e-03
5.99861e-05    	-5.1098095e-03
6.04202e-05    	-5.1235413e-03
6.08543e-05    	-5.1372079e-03
6.12884e-05    	-5.1508251e-03
6.17226e-05    	-5.1644299e-03
6.21567e-05    	-5.1780341e-03
6.25908e-05    	-5.1916692e-03
6.30249e-05    	-5.2053362e-03
6.34591e-05    	-5.2190461e-03
6.38932e-05    	-5.2327951e-03
6.43273e-05    	-5.2465793e-03
6.47615e-05    	-5.2603943e-03
6.51956e-05    	-5.2742275e-03
6.56297e-05    	-5.2880729e-03
6.60638e-05    	-5.3019351e-03
6.6498e-05     	-5.3158357e-03
6.69321e-05    	-5.3297892e-03
6.73662e-05    	-5.3438039e-03
6.78003e-05    	-5.3578632e-03
6.82345e-05    	-5.3718857e-03
6.86686e-05    	-5.3856902e-03
6.91027e-05    	-5.3989498e-03
6.95368e-05    	-5.4111068e-03
6.9971e-05     	-5.4213373e-03
7.04051e-05    	-5.4286059e-03
7.08392e-05    	-5.4321041e-03
7.12733e-05    	-5.4313831e-03
7.17075e-05    	-5.4258491e-03
7.21416e-05    	-5.4149879e-03
7.25757e-05    	-5.3985456e-03
7.30099e-05    	-5.3768753e-03
7.3444e-05     	-5.3512613e-03
7.38781e-05    	-5.3238166e-03
7.43122e-05    	-5.2970945e-03
7.47464e-05    	-5.2736379e-03
7.51805e-05    	-5.2560015e-03
7.56146e-05    	-5.2465233e-03
7.60487e-05    	-5.2456376e-03
7.64829e-05    	-5.2529122e-03
7.6917e-05     	-5.2674265e-03
7.73511e-05    	-5.2889572e-03
7.77852e-05    	-5.3174081e-03
7.82194e-05    	-5.3517990e-03
7.86535e-05    	-5.3897292e-03
7.90876e-05    	-5.4279585e-03
7.95217e-05    	-5.4633837e-03
7.99559e-05    	-5.4933920e-03
8.039e-05      	-5.5160710e-03
8.08241e-05    	-5.5308992e-03
8.12583e-05    	-5.5378596e-03
8.16924e-05    	-5.5373135e-03
8.21265e-05    	-5.5297384e-03
8.25606e-05    	-5.5161224e-03
8.29948e-05    	-5.4980750e-03
8.34289e-05    	-5.4776209e-03
8.3863e-05     	-5.4572026e-03
8.42971e-05    	-5.4391965e-03
8.47313e-05    	-5.4253507e-03
8.51654e-05    	-5.4166706e-03
8.55995e-05    	-5.4135340e-03
8.60336e-05    	-5.4158970e-03
8.64678e-05    	-5.4232963e-03
8.69019e-05    	-5.4352123e-03
8.7336e-05     	-5.4510227e-03
8.77702e-05    	-5.4700657e-03
8.82043e-05    	-5.4916229e-03
8.86384e-05    	-5.5147658e-03
8.90725e-05    	-5.5385150e-03
8.95067e-05    	-5.5620204e-03
8.99408e-05    	-5.5846370e-03
9.03749e-05    	-5.6059178e-03
9.0809e-05     	-5.6255508e-03
9.12432e-05    	-5.6433208e-03
9.16773e-05    	-5.6590586e-03
9.21114e-05    	-5.6725919e-03
9.25455e-05    	-5.6838128e-03
9.29797e-05    	-5.6926544e-03
9.34138e-05    	-5.6992588e-03
9.38479e-05    	-5.7038332e-03
9.4282e-05     	-5.7065714e-03
9.47162e-05    	-5.7076746e-03
9.51503e-05    	-5.7072393e-03
9.55844e-05    	-5.7054181e-03
9.60186e-05    	-5.7024774e-03
9.64527e-05    	-5.6987883e-03
9.68868e-05    	-5.6947028e-03
9.73209e-05    	-5.6905552e-03
9.77551e-05    	-5.6866383e-03
9.81892e-05    	-5.6832037e-03
9.86233e-05    	-5.6804587e-03
9.90574e-05    	-5.6785568e-03
9.94916e-05    	-5.6776181e-03
9.99257e-05    	-5.6776956e-03
0.00010036     	-5.6787777e-03
0.000100794    	-5.6807791e-03
0.000101228    	-5.6835482e-03
0.000101662    	-5.6869086e-03
0.000102096    	-5.6906363e-03
0.00010253     	-5.6944722e-03
0.000102965    	-5.6981157e-03
0.000103399    	-5.7012195e-03
0.000103833    	-5.7033953e-03
0.000104267    	-5.7042380e-03
0.000104701    	-5.7033208e-03
0.000105135    	-5.7004546e-03
0.000105569    	-5.6955471e-03
0.000106003    	-5.6883479e-03
0.000106438    	-5.6786355e-03
0.000106872    	-5.6664143e-03
0.000107306    	-5.6520849e-03
0.00010774     	-5.6364703e-03
0.000108174    	-5.6206475e-03
0.000108608    	-5.6058206e-03
0.000109042    	-5.5930603e-03
0.000109476    	-5.5834955e-03
0.000109911    	-5.5780626e-03
0.000110345    	-5.5772438e-03
0.000110779    	-5.5809803e-03
0.000111213    	-5.5891953e-03
0.000111647    	-5.6018575e-03
0.000112081    	-5.6188293e-03
0.000112515    	-5.6395446e-03
0.000112949    	-5.6628368e-03
0.000113384    	-5.6871370e-03
0.000113818    	-5.7107556e-03
0.000114252    	-5.7320969e-03
0.000114686    	-5.7497055e-03
0.00011512     	-5.7622862e-03
0.000115554    	-5.7694964e-03
0.000115988    	-5.7710981e-03
0.000116422    	-5.7667504e-03
0.000116857    	-5.7563524e-03
0.000117291    	-5.7403103e-03
0.000117725    	-5.7194980e-03
0.000118159    	-5.6952733e-03
0.000118593    	-5.6693521e-03
0.000119027    	-5.6436178e-03
0.000119461    	-5.6198051e-03
0.000119896    	-5.5991923e-03
0.00012033     	-5.5826148e-03
0.000120764    	-5.5704262e-03
0.000121198    	-5.5625867e-03
0.000121632    	-5.5585347e-03
0.000122066    	-5.5576591e-03
0.0001225      	-5.5595804e-03
0.000122934    	-5.5634121e-03
0.000123369    	-5.5682015e-03
0.000123803    	-5.5731476e-03
0.000124237    	-5.5774679e-03
0.000124671    	-5.5805458e-03
0.000125105    	-5.5819395e-03
0.000125539    	-5.5813701e-03
0.000125973    	-5.5787913e-03
0.000126407    	-5.5743263e-03
0.000126842    	-5.5682204e-03
0.000127276    	-5.5608076e-03
0.00012771     	-5.5525077e-03
0.000128144    	-5.5437531e-03
0.000128578    	-5.5350025e-03
0.000129012    	-5.5266798e-03
0.000129446    	-5.5191546e-03
0.00012988     	-5.5127588e-03
0.000130315    	-5.5077313e-03
0.000130749    	-5.5042162e-03
0.000131183    	-5.5022787e-03
0.000131617    	-5.5019007e-03
0.000132051    	-5.5030644e-03
0.000132485    	-5.5057416e-03
0.000132919    	-5.5098627e-03
0.000133353    	-5.5153265e-03
0.000133788    	-5.5219679e-03
0.000134222    	-5.5295747e-03
0.000134656    	-5.5378685e-03
0.00013509     	-5.5464898e-03
0.000135524    	-5.5550508e-03
0.000135958    	-5.5631480e-03
0.000136392    	-5.5703890e-03
0.000136826    	-5.5764081e-03
0.000137261    	-5.5808737e-03
0.000137695    	-5.5835204e-03
0.000138129    	-5.5841072e-03
0.000138563    	-5.5825209e-03
0.000138997    	-5.5787871e-03
0.000139431    	-5.5728684e-03
0.000139865    	-5.5647860e-03
0.000140299    	-5.5546988e-03
0.000140734    	-5.5429920e-03
0.000141168    	-5.5303136e-03
0.000141602    	-5.5174413e-03
0.000142036    	-5.5051612e-03
0.00014247     	-5.4942525e-03
0.000142904    	-5.4854113e-03
0.000143338    	-5.4791674e-03
0.000143772    	-5.4759339e-03
0.000144207    	-5.4759615e-03
0.000144641    	-5.4790531e-03
0.000145075    	-5.4849645e-03
0.000145509    	-5.4935447e-03
0.000145943    	-5.5046105e-03
0.000146377    	-5.5177769e-03
0.000146811    	-5.5324236e-03
0.000147245    	-5.5477104e-03
0.00014768     	-5.5627327e-03
0.000148114    	-5.5766215e-03
0.000148548    	-5.5885792e-03
0.000148982    	-5.5977463e-03
0.000149416    	-5.6032839e-03
0.00014985     	-5.6049585e-03
0.000150284    	-5.6027823e-03
0.000150718    	-5.5965683e-03
0.000151153    	-5.5860113e-03
0.000151587    	-5.5712140e-03
0.000152021    	-5.5530305e-03
0.000152455    	-5.5329617e-03
0.000152889    	-5.5127438e-03
0.000153323    	-5.4939923e-03
0.000153757    	-5.4780458e-03
0.000154191    	-5.4658477e-03
0.000154626    	-5.4579821e-03
0.00015506     	-5.4547984e-03
0.000155494    	-5.4563825e-03
0.000155928    	-5.4622549e-03
0.000156362    	-5.4718846e-03
0.000156796    	-5.4848286e-03
0.00015723     	-5.5005766e-03
0.000157665    	-5.5184866e-03
0.000158099    	-5.5377185e-03
0.000158533    	-5.5573090e-03
0.000158967    	-5.5762807e-03
0.000159401    	-5.5937295e-03
0.000159835    	-5.6089049e-03
0.000160269    	-5.6212193e-03
0.000160703    	-5.6303307e-03
0.000161138    	-5.6362842e-03
0.000161572    	-5.6391985e-03
0.000162006    	-5.6392373e-03
0.00016244     	-5.6366827e-03
