# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.10704e-07    	-1.7745340e-19
9.44831e-07    	-5.2431339e-19
1.37896e-06    	-7.2209559e-19
1.81308e-06    	-9.1267800e-19
2.24721e-06    	-1.0117809e-18
2.68134e-06    	-1.1985516e-18
3.11546e-06    	-1.3611819e-18
3.54959e-06    	-1.4454617e-18
3.98372e-06    	-1.6326560e-18
4.41784e-06    	-2.0616782e-18
4.85197e-06    	-2.1069945e-18
5.2861e-06     	-2.2234615e-18
5.72022e-06    	-2.2891065e-18
6.15435e-06    	-2.3729628e-18
6.58847e-06    	-2.5648158e-18
7.0226e-06     	-2.7719153e-18
7.45673e-06    	-3.0781177e-18
7.89085e-06    	-3.2572652e-18
8.32498e-06    	-3.6596058e-18
8.75911e-06    	-3.9933368e-18
9.19323e-06    	-4.3469731e-18
9.62736e-06    	-4.4092300e-18
1.00615e-05    	-4.5134151e-18
1.04956e-05    	-4.7548194e-18
1.09297e-05    	-4.9648836e-18
1.13639e-05    	-5.3142847e-18
1.1798e-05     	-5.5946526e-18
1.22321e-05    	-5.9457478e-18
1.26662e-05    	-6.3840873e-18
1.31004e-05    	-6.6716550e-18
1.35345e-05    	-7.1523462e-18
1.39686e-05    	-7.3488579e-18
1.44028e-05    	-7.7550101e-18
1.48369e-05    	-8.1878440e-18
1.5271e-05     	-8.4631297e-18
1.57051e-05    	-8.8328596e-18
1.61393e-05    	-9.3025393e-18
1.65734e-05    	-9.5426732e-18
1.70075e-05    	-9.9284967e-18
1.74416e-05    	-1.0484574e-17
1.78758e-05    	-1.0987711e-17
1.83099e-05    	-1.1498896e-17
1.8744e-05     	-1.2197698e-17
1.91781e-05    	-2.8035438e-13
1.96123e-05    	4.0401720e-13
2.00464e-05    	1.0385414e-12
2.04805e-05    	1.2279171e-12
2.09146e-05    	1.1691342e-12
2.13488e-05    	1.0317942e-12
2.17829e-05    	9.2914972e-13
2.2217e-05     	8.5221132e-13
2.26512e-05    	7.7820186e-13
2.30853e-05    	6.9659619e-13
2.35194e-05    	6.1125665e-13
2.39535e-05    	5.2716037e-13
2.43877e-05    	4.5709941e-13
2.48218e-05    	4.0105098e-13
2.52559e-05    	3.5797585e-13
2.569e-05      	3.1557664e-13
2.61242e-05    	2.7475746e-13
2.65583e-05    	2.3725997e-13
2.69924e-05    	1.9565952e-13
2.74265e-05    	1.5121481e-13
2.78607e-05    	1.0837091e-13
2.82948e-05    	6.4880655e-14
2.87289e-05    	1.7738357e-14
2.9163e-05     	-3.2582876e-14
2.95972e-05    	-9.0695776e-14
3.00313e-05    	-1.4745585e-13
3.04654e-05    	-2.0400851e-13
3.08996e-05    	-2.7077822e-13
3.13337e-05    	-3.2758564e-13
3.17678e-05    	-3.8866998e-13
3.22019e-05    	-4.5319875e-13
3.26361e-05    	-5.1967624e-13
3.30702e-05    	-5.8941262e-13
3.35043e-05    	-6.6147478e-13
3.39384e-05    	-7.3501365e-13
3.43726e-05    	-8.1241877e-13
3.48067e-05    	-8.7636389e-13
3.52408e-05    	-9.4897998e-13
3.56749e-05    	-1.0253854e-12
3.61091e-05    	-1.1037799e-12
3.65432e-05    	-1.1784873e-12
3.69773e-05    	-1.2560340e-12
3.74115e-05    	-1.3408895e-12
3.78456e-05    	-1.4240420e-12
3.82797e-05    	-1.5245476e-12
3.87138e-05    	-1.6336901e-12
3.9148e-05     	-1.7319073e-12
3.95821e-05    	-1.8373587e-12
4.00162e-05    	-1.9347832e-12
4.04503e-05    	-2.0526531e-12
4.08845e-05    	-2.1751659e-12
4.13186e-05    	-2.3242811e-12
4.17527e-05    	-2.4507825e-12
4.21868e-05    	-2.5891306e-12
4.2621e-05     	-2.7250203e-12
4.30551e-05    	-2.8716164e-12
4.34892e-05    	-3.0265358e-12
4.39233e-05    	-3.2148733e-12
4.43575e-05    	-3.3760475e-12
4.47916e-05    	-3.5498049e-12
4.52257e-05    	-3.7246008e-12
4.56599e-05    	-3.9089655e-12
4.6094e-05     	-4.1053015e-12
4.65281e-05    	-4.3408750e-12
4.69622e-05    	-4.5467101e-12
4.73964e-05    	-4.7516944e-12
4.78305e-05    	-4.9713615e-12
4.82646e-05    	-5.2203443e-12
4.86987e-05    	-5.4913366e-12
4.91329e-05    	-5.7427411e-12
4.9567e-05     	-5.9904613e-12
5.00011e-05    	-6.2728141e-12
5.04352e-05    	-6.5508823e-12
5.08694e-05    	-6.9163952e-12
5.13035e-05    	-7.1711640e-12
5.17376e-05    	-7.4266818e-12
5.21718e-05    	-7.7379099e-12
5.26059e-05    	-8.1191649e-12
5.304e-05      	-8.5084211e-12
5.34741e-05    	-8.8095273e-12
5.39083e-05    	-9.1603931e-12
5.43424e-05    	-9.4906610e-12
5.47765e-05    	-9.9058623e-12
5.52106e-05    	-1.0382958e-11
5.56448e-05    	-1.0720716e-11
5.60789e-05    	-1.1116572e-11
5.6513e-05     	-1.1503531e-11
5.69471e-05    	-1.1930165e-11
5.73813e-05    	-1.2450416e-11
5.78154e-05    	-1.2869107e-11
5.82495e-05    	-1.3294129e-11
5.86836e-05    	-1.3718650e-11
5.91178e-05    	-1.4188817e-11
5.95519e-05    	-1.4660338e-11
5.9986e-05     	-1.5064612e-11
6.04202e-05    	-1.5567934e-11
6.08543e-05    	-1.6151057e-11
6.12884e-05    	-1.6677027e-11
6.17225e-05    	-1.7284609e-11
6.21567e-05    	-1.7762774e-11
6.25908e-05    	-1.8260192e-11
6.30249e-05    	-1.8881060e-11
6.3459e-05     	-1.9489650e-11
6.38932e-05    	-2.0061768e-11
6.43273e-05    	-2.0655237e-11
6.47614e-05    	-2.1294403e-11
6.51955e-05    	-2.1978865e-11
6.56297e-05    	-2.2586330e-11
6.60638e-05    	-2.3290553e-11
6.64979e-05    	-2.3862005e-11
6.6932e-05     	-2.4535015e-11
6.73662e-05    	-2.5095153e-11
6.78003e-05    	-2.5789627e-11
6.82344e-05    	-2.6586757e-11
6.86686e-05    	-2.7270240e-11
6.91027e-05    	-2.8063715e-11
6.95368e-05    	-2.8770179e-11
6.99709e-05    	-2.9518145e-11
7.04051e-05    	-3.0298512e-11
7.08392e-05    	-3.1135194e-11
7.12733e-05    	-3.1990077e-11
7.17074e-05    	-3.2780399e-11
7.21416e-05    	-3.3653975e-11
7.25757e-05    	-3.4403417e-11
7.30098e-05    	-3.5468637e-11
7.34439e-05    	-3.6280624e-11
7.38781e-05    	-3.7253163e-11
7.43122e-05    	-3.8154260e-11
7.47463e-05    	-3.9110209e-11
7.51805e-05    	-4.0070618e-11
7.56146e-05    	-4.1249307e-11
7.60487e-05    	-4.2126608e-11
7.64828e-05    	-4.3191798e-11
7.6917e-05     	-4.4251408e-11
7.73511e-05    	-4.5219867e-11
7.77852e-05    	-4.6232905e-11
7.82193e-05    	-4.7246972e-11
7.86535e-05    	-4.8292875e-11
7.90876e-05    	-4.9323027e-11
7.95217e-05    	-5.0562189e-11
7.99558e-05    	-5.1698154e-11
8.039e-05      	-5.2898317e-11
8.08241e-05    	-5.4130233e-11
8.12582e-05    	-5.5228811e-11
8.16923e-05    	-5.6465072e-11
8.21265e-05    	-5.7545521e-11
8.25606e-05    	-5.9019333e-11
8.29947e-05    	-6.0068084e-11
8.34289e-05    	-6.1405044e-11
8.3863e-05     	-6.2540412e-11
8.42971e-05    	-6.3701568e-11
8.47312e-05    	-6.4978793e-11
8.51654e-05    	-6.6090389e-11
8.55995e-05    	-6.7351976e-11
8.60336e-05    	-6.8560451e-11
8.64677e-05    	-7.0094170e-11
8.69019e-05    	-7.1213426e-11
8.7336e-05     	-7.2337852e-11
8.77701e-05    	-7.3462116e-11
8.82042e-05    	-7.5017543e-11
8.86384e-05    	-7.5947951e-11
8.90725e-05    	-7.7229355e-11
8.95066e-05    	-7.8657123e-11
8.99408e-05    	-7.9893720e-11
9.03749e-05    	-8.1288505e-11
9.0809e-05     	-8.2571697e-11
9.12431e-05    	-8.4112877e-11
9.16773e-05    	-8.5063904e-11
9.21114e-05    	-8.6059391e-11
9.25455e-05    	-8.7673369e-11
9.29796e-05    	-8.8619578e-11
9.34138e-05    	-8.9868827e-11
9.38479e-05    	-9.1017948e-11
9.4282e-05     	-9.2409089e-11
9.47161e-05    	-9.3879353e-11
9.51503e-05    	-9.5046469e-11
9.55844e-05    	-9.6389625e-11
9.60185e-05    	-9.7539412e-11
9.64526e-05    	-9.8745500e-11
9.68868e-05    	-1.0052548e-10
9.73209e-05    	-1.0125822e-10
9.7755e-05     	-1.0233243e-10
9.81892e-05    	-1.0363575e-10
9.86233e-05    	-1.0484124e-10
9.90574e-05    	-1.0558679e-10
9.94915e-05    	-1.0717308e-10
9.99257e-05    	-1.0829932e-10
0.00010036     	-1.0963230e-10
0.000100794    	-1.1093338e-10
0.000101228    	-1.1189088e-10
0.000101662    	-1.1317716e-10
0.000102096    	-1.1464617e-10
0.00010253     	-1.1607653e-10
0.000102965    	-1.1681216e-10
0.000103399    	-1.1830024e-10
0.000103833    	-1.1944596e-10
0.000104267    	-1.2047741e-10
0.000104701    	-1.2201724e-10
0.000105135    	-1.2273193e-10
0.000105569    	-1.2401707e-10
0.000106003    	-1.2541786e-10
0.000106438    	-1.2631397e-10
0.000106872    	-1.2737170e-10
0.000107306    	-1.2878345e-10
0.00010774     	-1.3018365e-10
0.000108174    	-1.3124572e-10
0.000108608    	-1.3244103e-10
0.000109042    	-1.3327126e-10
0.000109476    	-1.3485941e-10
0.000109911    	-1.3570353e-10
0.000110345    	-1.3628802e-10
0.000110779    	-1.3802056e-10
0.000111213    	-1.3907996e-10
0.000111647    	-1.4008849e-10
0.000112081    	-1.4157876e-10
0.000112515    	-1.4257019e-10
0.000112949    	-1.4352444e-10
0.000113384    	-1.4519233e-10
0.000113818    	-1.4599571e-10
0.000114252    	-1.4678671e-10
0.000114686    	-1.4838276e-10
0.00011512     	-1.4931971e-10
0.000115554    	-1.5082185e-10
0.000115988    	-1.5167751e-10
0.000116422    	-1.5287213e-10
0.000116857    	-1.5448029e-10
0.000117291    	-1.5536495e-10
0.000117725    	-1.5652013e-10
0.000118159    	-1.5760115e-10
0.000118593    	-1.5877703e-10
0.000119027    	-1.5992122e-10
0.000119461    	-1.6158608e-10
0.000119895    	-1.6262640e-10
0.00012033     	-1.6370718e-10
0.000120764    	-1.6539570e-10
0.000121198    	-1.6645281e-10
0.000121632    	-1.6768528e-10
0.000122066    	-1.6892510e-10
0.0001225      	-1.7046496e-10
0.000122934    	-1.7228727e-10
0.000123368    	-1.7309485e-10
0.000123803    	-1.7467992e-10
0.000124237    	-1.7667468e-10
0.000124671    	-1.7782273e-10
0.000125105    	-1.7942511e-10
0.000125539    	-1.8110794e-10
0.000125973    	-1.8265611e-10
0.000126407    	-1.8423908e-10
0.000126841    	-1.8630109e-10
0.000127276    	-1.8802410e-10
0.00012771     	-1.8977210e-10
0.000128144    	-1.9207942e-10
0.000128578    	-1.9395292e-10
0.000129012    	-1.9604309e-10
0.000129446    	-1.9810410e-10
0.00012988     	-1.9986469e-10
0.000130315    	-2.0302943e-10
0.000130749    	-2.0516563e-10
0.000131183    	-2.0758142e-10
0.000131617    	-2.1077213e-10
0.000132051    	-2.1367709e-10
0.000132485    	-2.1704193e-10
0.000132919    	-2.2025110e-10
0.000133353    	-2.2313413e-10
0.000133788    	-2.2682457e-10
0.000134222    	-2.3025524e-10
