# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9400000e+02
5.10704e-07    	(7.2563055e-17 -7.1591420e-15 1.0944620e-16)	1.0000000e+05	2.9400000e+02
9.44831e-07    	(7.5401013e-16 -7.6328706e-15 -8.6005599e-17)	1.0000000e+05	2.9400000e+02
1.37896e-06    	(1.5461408e-15 -7.7987770e-15 -6.3060109e-16)	1.0000000e+05	2.9400000e+02
1.81308e-06    	(1.9403466e-15 -8.4889183e-15 -1.1782852e-15)	1.0000000e+05	2.9400000e+02
2.24721e-06    	(2.1867470e-15 -9.9572117e-15 -3.7737459e-16)	1.0000000e+05	2.9400000e+02
2.68134e-06    	(2.1612349e-15 -1.2928452e-14 1.7830893e-16)	1.0000000e+05	2.9400000e+02
3.11546e-06    	(1.4953359e-15 -1.6010504e-14 1.0946274e-15)	1.0000000e+05	2.9400000e+02
3.54959e-06    	(1.3037424e-15 -2.0802457e-14 1.3022925e-15)	1.0000000e+05	2.9400000e+02
3.98372e-06    	(1.4383665e-15 -2.7315852e-14 1.1409052e-15)	1.0000000e+05	2.9400000e+02
4.41784e-06    	(1.4955722e-15 -3.3745568e-14 1.9589918e-15)	1.0000000e+05	2.9400000e+02
4.85197e-06    	(2.0527213e-15 -4.0849338e-14 2.1455305e-15)	1.0000000e+05	2.9400000e+02
5.2861e-06     	(2.3808847e-15 -4.8437039e-14 2.1378098e-15)	1.0000000e+05	2.9400000e+02
5.72022e-06    	(2.8023069e-15 -5.5728905e-14 2.1965751e-15)	1.0000000e+05	2.9400000e+02
6.15435e-06    	(3.2215794e-15 -6.5198764e-14 1.7412308e-15)	1.0000000e+05	2.9400000e+02
6.58847e-06    	(2.8122225e-15 -7.6580967e-14 1.1793629e-15)	1.0000000e+05	2.9400000e+02
7.0226e-06     	(2.9305155e-15 -8.9462563e-14 7.7892337e-16)	1.0000000e+05	2.9400000e+02
7.45673e-06    	(2.8623589e-15 -1.0376916e-13 1.0008694e-16)	1.0000000e+05	2.9400000e+02
7.89085e-06    	(2.3557492e-15 -1.1872795e-13 -3.8919863e-16)	1.0000000e+05	2.9400000e+02
8.32498e-06    	(2.0383893e-15 -1.3478070e-13 -1.0937144e-15)	1.0000000e+05	2.9400000e+02
8.75911e-06    	(1.9430131e-15 -1.5184101e-13 -1.6643315e-15)	1.0000000e+05	2.9400000e+02
9.19323e-06    	(1.4071377e-15 -1.6891338e-13 -1.9877494e-15)	1.0000000e+05	2.9400000e+02
9.62736e-06    	(8.9040472e-16 -1.8563646e-13 -1.9736238e-15)	1.0000000e+05	2.9400000e+02
1.00615e-05    	(6.8344399e-16 -2.0280483e-13 -1.8004659e-15)	1.0000000e+05	2.9400000e+02
1.04956e-05    	(-4.3055466e-18 -2.2141028e-13 -1.2788196e-15)	1.0000000e+05	2.9400000e+02
1.09297e-05    	(1.3149409e-16 -2.4043485e-13 -8.1811697e-16)	1.0000000e+05	2.9400000e+02
1.13639e-05    	(9.4219051e-17 -2.6112510e-13 -1.0456387e-16)	1.0000000e+05	2.9400000e+02
1.1798e-05     	(-9.8404734e-16 -2.8242452e-13 1.7450424e-15)	1.0000000e+05	2.9400000e+02
1.22321e-05    	(-1.8246490e-15 -3.0426842e-13 2.3964156e-15)	1.0000000e+05	2.9400000e+02
1.26662e-05    	(-2.5392486e-15 -3.2720042e-13 3.8433771e-15)	1.0000000e+05	2.9400000e+02
1.31004e-05    	(-3.5356524e-15 -3.5069971e-13 4.9412444e-15)	1.0000000e+05	2.9400000e+02
1.35345e-05    	(-3.9275944e-15 -3.7413120e-13 5.7524023e-15)	1.0000000e+05	2.9400000e+02
1.39686e-05    	(-3.5158772e-15 -3.9737662e-13 5.9764466e-15)	1.0000000e+05	2.9400000e+02
1.44028e-05    	(-3.3736162e-15 -4.2076497e-13 6.6357988e-15)	1.0000000e+05	2.9400000e+02
1.48369e-05    	(-3.4841578e-15 -4.4488447e-13 7.9727907e-15)	1.0000000e+05	2.9400000e+02
1.5271e-05     	(-3.4752512e-15 -4.6799528e-13 8.2385824e-15)	1.0000000e+05	2.9400000e+02
1.57051e-05    	(-2.7982540e-15 -4.9214561e-13 7.6054380e-15)	1.0000000e+05	2.9400000e+02
