# Region type : patch cOutlet
# Faces  :     1591
# Area   :     4.0504348e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.84042e-07    	(1.6626086e-07 -6.0306664e-04 5.6812908e-08)	1.0000094e+05	2.9400001e+02
8.88508e-07    	(-3.1841272e-08 -4.6758660e-04 1.2034468e-08)	1.0000042e+05	2.9399488e+02
1.29297e-06    	(6.8835792e-05 -3.7046715e-03 1.9443938e-05)	9.9998614e+04	2.9398248e+02
1.69744e-06    	(2.9623694e-04 -6.0621973e-03 -1.6659090e-05)	9.9975697e+04	2.9384327e+02
2.10191e-06    	(-4.4125858e-05 -3.3042369e-02 1.4192059e-04)	9.9952628e+04	2.9379420e+02
2.50637e-06    	(-3.3087347e-04 -6.9257028e-02 -1.5028092e-05)	9.9954030e+04	2.9383486e+02
2.91084e-06    	(-1.9058702e-04 -8.1161187e-02 -4.3379992e-04)	9.9957239e+04	2.9382603e+02
3.3153e-06     	(2.0065115e-04 -7.5653017e-02 -3.5752404e-04)	9.9945961e+04	2.9377079e+02
3.71977e-06    	(3.7456627e-04 -7.1467314e-02 3.1170381e-04)	9.9952540e+04	2.9382605e+02
4.12423e-06    	(4.1777181e-04 -6.8934436e-02 6.2832069e-04)	9.9963065e+04	2.9384924e+02
4.5287e-06     	(4.3991962e-04 -6.3755884e-02 3.8074433e-04)	9.9967718e+04	2.9385953e+02
4.93315e-06    	(9.3823775e-05 -5.9955384e-02 2.3736248e-04)	9.9965087e+04	2.9385173e+02
5.33759e-06    	(-1.0591511e-04 -5.1764887e-02 1.5397063e-04)	9.9962968e+04	2.9385277e+02
5.74206e-06    	(-5.2657514e-04 -4.7347850e-02 4.7848609e-06)	9.9955895e+04	2.9383742e+02
6.14653e-06    	(-1.9216350e-04 -4.3523778e-02 -1.2668081e-04)	9.9953760e+04	2.9384129e+02
6.55104e-06    	(-1.7929177e-04 -3.8101496e-02 -3.4727306e-04)	9.9950129e+04	2.9383625e+02
6.95558e-06    	(-6.0940400e-04 -3.4087522e-02 -3.9652769e-04)	9.9946765e+04	2.9382646e+02
7.36028e-06    	(-7.2480028e-04 -3.1259323e-02 -5.5671974e-04)	9.9945195e+04	2.9382888e+02
7.76497e-06    	(-3.1705673e-05 -2.9325749e-02 5.2579133e-04)	9.9944493e+04	2.9382702e+02
8.16964e-06    	(-7.9143367e-05 -2.7791536e-02 4.3814977e-04)	9.9945528e+04	2.9383180e+02
8.57432e-06    	(-7.3910700e-05 -2.8080431e-02 -3.6746779e-04)	9.9945795e+04	2.9383146e+02
8.979e-06      	(-5.3422749e-04 -2.6283014e-02 -2.7235409e-04)	9.9948087e+04	2.9383947e+02
9.38367e-06    	(-6.1816231e-04 -2.5316373e-02 -4.8710869e-04)	9.9949609e+04	2.9384172e+02
9.78834e-06    	(-7.7467122e-04 -2.5037021e-02 -4.9667100e-04)	9.9951014e+04	2.9384309e+02
1.0193e-05     	(-7.9609174e-04 -2.3831615e-02 -3.9839067e-04)	9.9951925e+04	2.9384561e+02
1.05977e-05    	(-4.2335926e-04 -2.3513914e-02 -3.8821747e-04)	9.9952035e+04	2.9384175e+02
1.10023e-05    	(-9.5998742e-04 -2.3975178e-02 -1.0719047e-03)	9.9952998e+04	2.9384507e+02
1.1407e-05     	(-4.8782660e-04 -2.3864328e-02 -6.1318160e-04)	9.9953292e+04	2.9384410e+02
1.18117e-05    	(-2.2882997e-04 -2.3073634e-02 -1.1056771e-03)	9.9953751e+04	2.9384326e+02
1.22164e-05    	(-1.0701437e-04 -2.2449685e-02 9.2104035e-05)	9.9955438e+04	2.9384632e+02
1.26212e-05    	(-4.7985121e-04 -2.2112839e-02 1.7383138e-04)	9.9954815e+04	2.9384313e+02
1.30259e-05    	(-1.0173200e-03 -2.1344898e-02 4.8529398e-04)	9.9956040e+04	2.9384701e+02
1.34308e-05    	(-1.0418706e-04 -2.0723640e-02 5.6796748e-04)	9.9956103e+04	2.9384311e+02
1.38357e-05    	(-3.9176248e-04 -2.0911146e-02 7.3201563e-04)	9.9955865e+04	2.9384126e+02
1.42406e-05    	(-1.7163246e-03 -2.0265056e-02 2.9087469e-04)	9.9956858e+04	2.9384340e+02
1.46455e-05    	(-8.0152102e-04 -1.9606875e-02 5.1713744e-04)	9.9956936e+04	2.9384164e+02
1.50504e-05    	(3.2208077e-04 -1.9370141e-02 5.1865052e-04)	9.9957149e+04	2.9384249e+02
1.54554e-05    	(9.3863720e-04 -1.9003119e-02 3.3766718e-04)	9.9957937e+04	2.9384499e+02
1.58603e-05    	(-2.6289245e-07 -1.7648105e-02 -1.7545580e-04)	9.9957729e+04	2.9384206e+02
1.62652e-05    	(-1.8774071e-05 -1.7251402e-02 -1.2948849e-03)	9.9958370e+04	2.9384257e+02
1.667e-05      	(-2.0192736e-03 -1.7065881e-02 -5.1594894e-04)	9.9957576e+04	2.9383930e+02
1.70749e-05    	(-1.5239470e-03 -1.7405313e-02 6.2172898e-04)	9.9957247e+04	2.9383624e+02
1.74798e-05    	(-1.5516124e-04 -1.7275659e-02 5.6338884e-04)	9.9957768e+04	2.9383858e+02
1.78846e-05    	(-1.8607189e-04 -1.6793659e-02 -1.0302409e-03)	9.9958243e+04	2.9383923e+02
1.82895e-05    	(1.1239327e-04 -1.6578465e-02 -4.4522782e-04)	9.9958525e+04	2.9383656e+02
1.86944e-05    	(-3.6503060e-04 -1.5682539e-02 3.2499286e-04)	9.9958291e+04	2.9383418e+02
1.90992e-05    	(-8.0681496e-04 -1.6132387e-02 -1.1517695e-03)	9.9958395e+04	2.9383386e+02
1.9504e-05     	(-9.1999808e-04 -1.5996219e-02 -7.9877352e-04)	9.9957615e+04	2.9383105e+02
1.99089e-05    	(-2.4894420e-04 -1.6803750e-02 -3.5099288e-04)	9.9957747e+04	2.9383065e+02
2.03138e-05    	(3.8815816e-04 -1.7515946e-02 -9.2470127e-05)	9.9957221e+04	2.9382844e+02
2.07188e-05    	(-4.7397419e-05 -1.7510673e-02 2.1472048e-05)	9.9958245e+04	2.9383137e+02
2.11238e-05    	(1.3461794e-04 -1.6457937e-02 1.1388207e-04)	9.9958391e+04	2.9383004e+02
2.15287e-05    	(-9.6574796e-04 -1.6475895e-02 2.0216818e-04)	9.9957890e+04	2.9382665e+02
2.19337e-05    	(-3.0835441e-04 -1.6697495e-02 -9.8030977e-04)	9.9957656e+04	2.9382674e+02
2.23387e-05    	(-2.1524295e-04 -1.6041937e-02 -7.0253354e-04)	9.9957454e+04	2.9382458e+02
2.27436e-05    	(1.2198167e-04 -1.6638232e-02 3.3449749e-04)	9.9956709e+04	2.9382111e+02
2.31486e-05    	(-1.8620321e-04 -1.7280311e-02 7.8102616e-04)	9.9955739e+04	2.9381558e+02
2.35535e-05    	(-8.1314130e-04 -1.9119484e-02 -5.8112192e-05)	9.9955185e+04	2.9381291e+02
2.39585e-05    	(-3.9952762e-04 -2.0781380e-02 4.0508217e-05)	9.9955259e+04	2.9381335e+02
2.43634e-05    	(9.4646298e-04 -2.2030051e-02 1.1931146e-03)	9.9955355e+04	2.9381140e+02
2.47684e-05    	(5.7119157e-04 -2.3270061e-02 9.9890696e-04)	9.9956871e+04	2.9381557e+02
2.51733e-05    	(-3.6051256e-04 -2.3421597e-02 6.2092822e-04)	9.9959290e+04	2.9381988e+02
2.55783e-05    	(-1.0365753e-04 -2.4010256e-02 3.5609552e-04)	9.9960545e+04	2.9382132e+02
2.59832e-05    	(1.2575595e-04 -2.4694869e-02 1.7545199e-04)	9.9961706e+04	2.9381927e+02
2.63881e-05    	(-1.7128424e-04 -2.6253792e-02 5.2208570e-04)	9.9963632e+04	2.9382377e+02
2.6793e-05     	(1.4929732e-04 -2.7085308e-02 1.3014120e-03)	9.9965913e+04	2.9382945e+02
2.71979e-05    	(-3.2633519e-04 -2.7557672e-02 3.0282773e-04)	9.9967980e+04	2.9383241e+02
2.76029e-05    	(5.2765293e-04 -2.8318906e-02 4.7681409e-04)	9.9969698e+04	2.9383295e+02
2.80079e-05    	(4.0851662e-04 -2.9026292e-02 1.1251082e-05)	9.9971288e+04	2.9383606e+02
2.84129e-05    	(1.4785818e-04 -2.9637314e-02 1.0118070e-03)	9.9972284e+04	2.9383694e+02
2.88179e-05    	(4.7037354e-04 -2.9801742e-02 7.9865693e-04)	9.9973567e+04	2.9383842e+02
2.92229e-05    	(1.6969424e-03 -3.0242752e-02 -1.1002154e-04)	9.9973847e+04	2.9383523e+02
2.96279e-05    	(4.1366918e-04 -3.0928516e-02 -5.7341379e-04)	9.9974658e+04	2.9383668e+02
3.0033e-05     	(-3.0983428e-05 -3.1223326e-02 -2.4679770e-04)	9.9975338e+04	2.9383844e+02
3.0438e-05     	(-1.1493481e-04 -3.0332469e-02 1.1223021e-04)	9.9975841e+04	2.9383898e+02
3.0843e-05     	(2.9450830e-04 -2.9924791e-02 1.4448797e-05)	9.9976002e+04	2.9383813e+02
3.1248e-05     	(9.1062753e-04 -2.9340940e-02 1.3197482e-03)	9.9975714e+04	2.9383476e+02
3.1653e-05     	(1.6193594e-03 -2.9162466e-02 1.1447007e-03)	9.9976060e+04	2.9383657e+02
3.20581e-05    	(9.5263352e-04 -2.8811189e-02 3.7117007e-04)	9.9974841e+04	2.9383080e+02
3.24631e-05    	(-3.2674164e-04 -2.9366141e-02 3.4604831e-04)	9.9975011e+04	2.9383325e+02
3.28682e-05    	(-9.6234212e-04 -2.9022563e-02 1.2531004e-04)	9.9974965e+04	2.9383245e+02
3.32733e-05    	(-1.7205217e-04 -2.8366031e-02 -5.0106734e-04)	9.9974939e+04	2.9383192e+02
3.36783e-05    	(1.0399359e-03 -2.8155975e-02 -3.1742517e-04)	9.9974924e+04	2.9383051e+02
