# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721142e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
4.84042e-07    	(1.7384877e+01 -7.2466114e-02 -1.4945529e+01)	1.0957707e+05	2.9367316e+02	1.2969355e+00
8.88508e-07    	(1.7609728e+01 -7.3967461e-02 -1.5038142e+01)	1.0959417e+05	2.9368355e+02	1.2970926e+00
1.29297e-06    	(1.7288406e+01 -5.0666199e-02 -1.4731687e+01)	1.0961579e+05	2.9369733e+02	1.2972877e+00
1.69744e-06    	(1.6674366e+01 -5.1910017e-02 -1.4217733e+01)	1.0964590e+05	2.9371760e+02	1.2975545e+00
2.10191e-06    	(1.6181201e+01 -2.4194839e-02 -1.3789682e+01)	1.0966950e+05	2.9373288e+02	1.2977662e+00
2.50637e-06    	(1.5851914e+01 -6.4673437e-03 -1.3471711e+01)	1.0968663e+05	2.9374321e+02	1.2979233e+00
2.91084e-06    	(1.5650053e+01 -4.0492317e-03 -1.3278232e+01)	1.0969840e+05	2.9374944e+02	1.2980350e+00
3.3153e-06     	(1.5467386e+01 -4.4934429e-04 -1.3124080e+01)	1.0970903e+05	2.9375479e+02	1.2981371e+00
3.71977e-06    	(1.5348317e+01 -8.3131709e-03 -1.3037401e+01)	1.0971699e+05	2.9375810e+02	1.2982167e+00
4.12423e-06    	(1.5319905e+01 -1.4072083e-02 -1.3031051e+01)	1.0972118e+05	2.9375853e+02	1.2982643e+00
4.5287e-06     	(1.5316869e+01 -9.5788660e-03 -1.3039151e+01)	1.0972462e+05	2.9375839e+02	1.2983057e+00
4.93315e-06    	(1.5365690e+01 -5.7179070e-03 -1.3083038e+01)	1.0972643e+05	2.9375700e+02	1.2983333e+00
5.33759e-06    	(1.5472873e+01 -1.5320295e-02 -1.3172533e+01)	1.0972613e+05	2.9375399e+02	1.2983430e+00
5.74206e-06    	(1.5615809e+01 -1.7143473e-02 -1.3295080e+01)	1.0972430e+05	2.9374981e+02	1.2983398e+00
6.14653e-06    	(1.5818852e+01 -1.3149620e-02 -1.3470917e+01)	1.0971992e+05	2.9374369e+02	1.2983151e+00
6.55104e-06    	(1.6144475e+01 -2.2990586e-02 -1.3750355e+01)	1.0971023e+05	2.9373350e+02	1.2982454e+00
6.95558e-06    	(1.6559465e+01 -2.1979241e-02 -1.4103719e+01)	1.0969631e+05	2.9372007e+02	1.2981400e+00
7.36028e-06    	(1.7074459e+01 -2.1241704e-02 -1.4539626e+01)	1.0967722e+05	2.9370268e+02	1.2979909e+00
7.76497e-06    	(1.7676516e+01 -2.6040564e-02 -1.5048142e+01)	1.0965306e+05	2.9368142e+02	1.2977989e+00
8.16964e-06    	(1.8309253e+01 -2.0046050e-02 -1.5584070e+01)	1.0962615e+05	2.9365804e+02	1.2975836e+00
8.57432e-06    	(1.9004734e+01 -2.3834698e-02 -1.6173238e+01)	1.0959478e+05	2.9363123e+02	1.2973306e+00
8.979e-06      	(1.9730772e+01 -2.3547157e-02 -1.6789476e+01)	1.0956033e+05	2.9360207e+02	1.2970515e+00
9.38367e-06    	(2.0488517e+01 -2.3880836e-02 -1.7432551e+01)	1.0952262e+05	2.9357040e+02	1.2967448e+00
9.78834e-06    	(2.1259081e+01 -2.8932599e-02 -1.8088312e+01)	1.0948253e+05	2.9353690e+02	1.2964179e+00
1.0193e-05     	(2.2014347e+01 -3.5042696e-02 -1.8732935e+01)	1.0944160e+05	2.9350274e+02	1.2960838e+00
1.05977e-05    	(2.2756486e+01 -4.4695311e-02 -1.9365926e+01)	1.0939987e+05	2.9346795e+02	1.2957429e+00
1.10023e-05    	(2.3463413e+01 -5.3982242e-02 -1.9968660e+01)	1.0935881e+05	2.9343368e+02	1.2954076e+00
1.1407e-05     	(2.4132375e+01 -6.3492821e-02 -2.0538171e+01)	1.0931885e+05	2.9340023e+02	1.2950816e+00
1.18117e-05    	(2.4757929e+01 -7.2470479e-02 -2.1069922e+01)	1.0928061e+05	2.9336809e+02	1.2947700e+00
1.22164e-05    	(2.5331454e+01 -8.1326878e-02 -2.1556632e+01)	1.0924490e+05	2.9333789e+02	1.2944799e+00
1.26212e-05    	(2.5848522e+01 -8.9047467e-02 -2.1995364e+01)	1.0921228e+05	2.9331006e+02	1.2942159e+00
1.30259e-05    	(2.6306800e+01 -9.5319724e-02 -2.2384153e+01)	1.0918320e+05	2.9328494e+02	1.2939818e+00
1.34308e-05    	(2.6710333e+01 -9.9892072e-02 -2.2726769e+01)	1.0915764e+05	2.9326252e+02	1.2937775e+00
1.38357e-05    	(2.7064330e+01 -1.0431496e-01 -2.3028118e+01)	1.0913543e+05	2.9324268e+02	1.2936016e+00
1.42406e-05    	(2.7381089e+01 -1.0846378e-01 -2.3298349e+01)	1.0911584e+05	2.9322484e+02	1.2934479e+00
1.46455e-05    	(2.7670018e+01 -1.1187512e-01 -2.3544699e+01)	1.0909832e+05	2.9320860e+02	1.2933117e+00
1.50504e-05    	(2.7941753e+01 -1.1488704e-01 -2.3776326e+01)	1.0908212e+05	2.9319337e+02	1.2931867e+00
1.54554e-05    	(2.8206884e+01 -1.1719797e-01 -2.4002768e+01)	1.0906639e+05	2.9317851e+02	1.2930657e+00
1.58603e-05    	(2.8472770e+01 -1.1807627e-01 -2.4230081e+01)	1.0905055e+05	2.9316356e+02	1.2929437e+00
1.62652e-05    	(2.8744829e+01 -1.1718765e-01 -2.4462537e+01)	1.0903413e+05	2.9314817e+02	1.2928168e+00
1.667e-05      	(2.9028307e+01 -1.1475174e-01 -2.4704279e+01)	1.0901663e+05	2.9313195e+02	1.2926808e+00
1.70749e-05    	(2.9325500e+01 -1.1115944e-01 -2.4957339e+01)	1.0899777e+05	2.9311467e+02	1.2925332e+00
1.74798e-05    	(2.9638209e+01 -1.0685561e-01 -2.5223283e+01)	1.0897730e+05	2.9309616e+02	1.2923720e+00
1.78846e-05    	(2.9966013e+01 -1.0191893e-01 -2.5501803e+01)	1.0895523e+05	2.9307640e+02	1.2921971e+00
1.82895e-05    	(3.0306440e+01 -9.6784824e-02 -2.5791098e+01)	1.0893168e+05	2.9305551e+02	1.2920097e+00
1.86944e-05    	(3.0655113e+01 -9.1936028e-02 -2.6087612e+01)	1.0890697e+05	2.9303372e+02	1.2918125e+00
1.90992e-05    	(3.1007843e+01 -8.7522097e-02 -2.6387618e+01)	1.0888148e+05	2.9301132e+02	1.2916085e+00
1.9504e-05     	(3.1360509e+01 -8.3872290e-02 -2.6687580e+01)	1.0885556e+05	2.9298858e+02	1.2914009e+00
1.99089e-05    	(3.1709433e+01 -8.0906572e-02 -2.6984360e+01)	1.0882957e+05	2.9296579e+02	1.2911927e+00
2.03138e-05    	(3.2052314e+01 -7.8667510e-02 -2.7276092e+01)	1.0880376e+05	2.9294313e+02	1.2909860e+00
2.07188e-05    	(3.2387982e+01 -7.7154235e-02 -2.7561717e+01)	1.0877831e+05	2.9292076e+02	1.2907824e+00
2.11238e-05    	(3.2715236e+01 -7.6442859e-02 -2.7840021e+01)	1.0875342e+05	2.9289880e+02	1.2905835e+00
2.15287e-05    	(3.3033381e+01 -7.6460241e-02 -2.8110552e+01)	1.0872917e+05	2.9287734e+02	1.2903899e+00
2.19337e-05    	(3.3343933e+01 -7.7001606e-02 -2.8374964e+01)	1.0870545e+05	2.9285629e+02	1.2902010e+00
2.23387e-05    	(3.3648799e+01 -7.8103241e-02 -2.8634885e+01)	1.0868213e+05	2.9283554e+02	1.2900153e+00
2.27436e-05    	(3.3951090e+01 -7.9879497e-02 -2.8892713e+01)	1.0865894e+05	2.9281489e+02	1.2898308e+00
2.31486e-05    	(3.4253792e+01 -8.2190699e-02 -2.9150777e+01)	1.0863560e+05	2.9279413e+02	1.2896449e+00
2.35535e-05    	(3.4559384e+01 -8.4829714e-02 -2.9411163e+01)	1.0861184e+05	2.9277304e+02	1.2894556e+00
2.39585e-05    	(3.4870652e+01 -8.7527513e-02 -2.9676218e+01)	1.0858737e+05	2.9275140e+02	1.2892601e+00
2.43634e-05    	(3.5187714e+01 -9.0322411e-02 -2.9946301e+01)	1.0856211e+05	2.9272915e+02	1.2890579e+00
2.47684e-05    	(3.5512148e+01 -9.2993962e-02 -3.0222655e+01)	1.0853587e+05	2.9270614e+02	1.2888474e+00
2.51733e-05    	(3.5844477e+01 -9.5458489e-02 -3.0505556e+01)	1.0850856e+05	2.9268230e+02	1.2886278e+00
2.55783e-05    	(3.6184029e+01 -9.7631500e-02 -3.0794301e+01)	1.0848020e+05	2.9265765e+02	1.2883993e+00
2.59832e-05    	(3.6529301e+01 -9.9538103e-02 -3.1087672e+01)	1.0845091e+05	2.9263227e+02	1.2881628e+00
2.63881e-05    	(3.6879336e+01 -1.0112538e-01 -3.1384862e+01)	1.0842076e+05	2.9260622e+02	1.2879190e+00
2.6793e-05     	(3.7231319e+01 -1.0227388e-01 -3.1683594e+01)	1.0839000e+05	2.9257970e+02	1.2876699e+00
2.71979e-05    	(3.7581979e+01 -1.0323320e-01 -3.1981194e+01)	1.0835894e+05	2.9255293e+02	1.2874183e+00
2.76029e-05    	(3.7927868e+01 -1.0409312e-01 -3.2274700e+01)	1.0832795e+05	2.9252621e+02	1.2871672e+00
2.80079e-05    	(3.8265595e+01 -1.0470756e-01 -3.2561244e+01)	1.0829738e+05	2.9249981e+02	1.2869197e+00
2.84129e-05    	(3.8591784e+01 -1.0522324e-01 -3.2838078e+01)	1.0826761e+05	2.9247402e+02	1.2866790e+00
2.88179e-05    	(3.8903303e+01 -1.0566256e-01 -3.3102483e+01)	1.0823904e+05	2.9244915e+02	1.2864483e+00
2.92229e-05    	(3.9196821e+01 -1.0609181e-01 -3.3351543e+01)	1.0821207e+05	2.9242552e+02	1.2862313e+00
2.96279e-05    	(3.9470255e+01 -1.0643344e-01 -3.3583544e+01)	1.0818699e+05	2.9240335e+02	1.2860303e+00
3.0033e-05     	(3.9722847e+01 -1.0692268e-01 -3.3797951e+01)	1.0816396e+05	2.9238275e+02	1.2858467e+00
3.0438e-05     	(3.9954528e+01 -1.0759306e-01 -3.3994742e+01)	1.0814305e+05	2.9236380e+02	1.2856811e+00
3.0843e-05     	(4.0165854e+01 -1.0841841e-01 -3.4174334e+01)	1.0812426e+05	2.9234649e+02	1.2855336e+00
3.1248e-05     	(4.0358880e+01 -1.0934101e-01 -3.4338412e+01)	1.0810740e+05	2.9233068e+02	1.2854024e+00
3.1653e-05     	(4.0536929e+01 -1.1030308e-01 -3.4489850e+01)	1.0809215e+05	2.9231611e+02	1.2852849e+00
3.20581e-05    	(4.0704402e+01 -1.1123009e-01 -3.4632522e+01)	1.0807806e+05	2.9230244e+02	1.2851773e+00
3.24631e-05    	(4.0867654e+01 -1.1223930e-01 -3.4771477e+01)	1.0806447e+05	2.9228916e+02	1.2850739e+00
