# Region type : patch cOutlet
# Faces  :     1591
# Area   :     4.0504348e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84042e-07    	1.7327582e-08
8.88508e-07    	1.7002445e-08
1.29297e-06    	6.9500207e-08
1.69744e-06    	6.6328413e-08
2.10191e-06    	4.3641139e-07
2.50637e-06    	1.0460514e-06
2.91084e-06    	1.3446282e-06
3.3153e-06     	1.7458422e-06
3.71977e-06    	2.6458876e-06
4.12423e-06    	3.2492409e-06
4.5287e-06     	3.4115211e-06
4.93315e-06    	3.4953210e-06
5.33759e-06    	3.4355217e-06
5.74206e-06    	3.3670657e-06
6.14653e-06    	3.2863679e-06
6.55104e-06    	3.1460781e-06
6.95558e-06    	3.0149973e-06
7.36028e-06    	2.8664573e-06
7.76497e-06    	2.6863130e-06
8.16964e-06    	2.5228124e-06
8.57432e-06    	2.3962157e-06
8.979e-06      	2.2481160e-06
9.38367e-06    	2.1119876e-06
9.78834e-06    	2.0065268e-06
1.0193e-05     	1.8979339e-06
1.05977e-05    	1.8083418e-06
1.10023e-05    	1.7359283e-06
1.1407e-05     	1.6543255e-06
1.18117e-05    	1.5738658e-06
1.22164e-05    	1.5034104e-06
1.26212e-05    	1.4300475e-06
1.30259e-05    	1.3562156e-06
1.34308e-05    	1.2894111e-06
1.38357e-05    	1.2370478e-06
1.42406e-05    	1.1657495e-06
1.46455e-05    	1.0988146e-06
1.50504e-05    	1.0497757e-06
1.54554e-05    	1.0010547e-06
1.58603e-05    	9.3735976e-07
1.62652e-05    	9.0170240e-07
1.667e-05      	8.7211886e-07
1.70749e-05    	8.5967300e-07
1.74798e-05    	8.4624136e-07
1.78846e-05    	8.3940560e-07
1.82895e-05    	8.5488451e-07
1.86944e-05    	8.6833895e-07
1.90992e-05    	9.0773188e-07
1.9504e-05     	9.3615811e-07
1.99089e-05    	9.8675725e-07
2.03138e-05    	1.0337606e-06
2.07188e-05    	1.0741901e-06
2.11238e-05    	1.0971087e-06
2.15287e-05    	1.1363847e-06
2.19337e-05    	1.1689853e-06
2.23387e-05    	1.1765435e-06
2.27436e-05    	1.2045505e-06
2.31486e-05    	1.2256081e-06
2.35535e-05    	1.2729002e-06
2.39585e-05    	1.3187606e-06
2.43634e-05    	1.3687555e-06
2.47684e-05    	1.4131389e-06
2.51733e-05    	1.4509836e-06
2.55783e-05    	1.5050772e-06
2.59832e-05    	1.5665691e-06
2.63881e-05    	1.6446919e-06
2.6793e-05     	1.7157564e-06
2.71979e-05    	1.7891013e-06
2.76029e-05    	1.8725950e-06
2.80079e-05    	1.9518710e-06
2.84129e-05    	2.0237434e-06
2.88179e-05    	2.0874733e-06
2.92229e-05    	2.1485185e-06
2.96279e-05    	2.2107372e-06
3.0033e-05     	2.2587796e-06
3.0438e-05     	2.2805326e-06
3.0843e-05     	2.3080235e-06
3.1248e-05     	2.3265447e-06
3.1653e-05     	2.3450858e-06
3.20581e-05    	2.3500989e-06
3.24631e-05    	2.3761016e-06
3.28682e-05    	2.3778998e-06
3.32733e-05    	2.3747327e-06
3.36783e-05    	2.3777169e-06
3.40834e-05    	2.3707661e-06
3.44885e-05    	2.3764696e-06
3.48935e-05    	2.3730754e-06
3.52986e-05    	2.3703424e-06
3.57037e-05    	2.3612795e-06
3.61088e-05    	2.3650017e-06
3.65139e-05    	2.3629967e-06
3.6919e-05     	2.3526694e-06
3.73241e-05    	2.3633657e-06
3.77292e-05    	2.3508360e-06
3.81343e-05    	2.3385389e-06
3.85394e-05    	2.3241645e-06
3.89445e-05    	2.3106410e-06
3.93496e-05    	2.3029495e-06
3.97547e-05    	2.2760258e-06
4.01598e-05    	2.2706582e-06
4.05649e-05    	2.2490281e-06
4.097e-05      	2.2367205e-06
4.13751e-05    	2.2082077e-06
4.17802e-05    	2.1974125e-06
4.21853e-05    	2.1864474e-06
4.25904e-05    	2.1754443e-06
4.29955e-05    	2.1666704e-06
4.34006e-05    	2.1547627e-06
4.38057e-05    	2.1527581e-06
4.42108e-05    	2.1509854e-06
4.46159e-05    	2.1556105e-06
4.5021e-05     	2.1705992e-06
4.54261e-05    	2.1808845e-06
4.58312e-05    	2.1910964e-06
4.62363e-05    	2.2099181e-06
4.66415e-05    	2.2290362e-06
4.70466e-05    	2.2388168e-06
4.74517e-05    	2.2700884e-06
4.78568e-05    	2.2842653e-06
4.82619e-05    	2.3178001e-06
4.8667e-05     	2.3398564e-06
4.90721e-05    	2.3595983e-06
4.94772e-05    	2.3890424e-06
4.98823e-05    	2.4036484e-06
5.02874e-05    	2.4301262e-06
5.06925e-05    	2.4509866e-06
5.10977e-05    	2.4645505e-06
5.15028e-05    	2.4918505e-06
5.19079e-05    	2.5019232e-06
5.2313e-05     	2.5244337e-06
5.27181e-05    	2.5349803e-06
5.31232e-05    	2.5523997e-06
5.35284e-05    	2.5566693e-06
5.39335e-05    	2.5726617e-06
5.43386e-05    	2.5917185e-06
5.47437e-05    	2.6137751e-06
5.51488e-05    	2.6379931e-06
5.55539e-05    	2.6687272e-06
5.59591e-05    	2.7052121e-06
5.63642e-05    	2.7403234e-06
5.67693e-05    	2.7828539e-06
5.71744e-05    	2.8432834e-06
5.75795e-05    	2.8991231e-06
5.79846e-05    	2.9520280e-06
5.83898e-05    	3.0136435e-06
5.87949e-05    	3.0807531e-06
5.92e-05       	3.1425496e-06
5.96051e-05    	3.2084758e-06
6.00102e-05    	3.2708227e-06
6.04153e-05    	3.3266367e-06
6.08204e-05    	3.3810622e-06
6.12256e-05    	3.4291749e-06
6.16307e-05    	3.4818019e-06
6.20358e-05    	3.5360098e-06
6.24409e-05    	3.5748010e-06
6.2846e-05     	3.6179494e-06
6.32511e-05    	3.6577300e-06
6.36563e-05    	3.6954250e-06
6.40614e-05    	3.7312890e-06
6.44665e-05    	3.7818364e-06
6.48716e-05    	3.8373735e-06
6.52767e-05    	3.8782701e-06
6.56819e-05    	3.9374278e-06
6.6087e-05     	3.9987627e-06
6.64921e-05    	4.0529260e-06
6.68972e-05    	4.1154199e-06
6.73024e-05    	4.1862655e-06
6.77075e-05    	4.2472983e-06
6.81126e-05    	4.3114606e-06
6.85178e-05    	4.3812141e-06
6.89229e-05    	4.4524847e-06
6.9328e-05     	4.5191361e-06
6.97332e-05    	4.5915956e-06
7.01383e-05    	4.6594668e-06
7.05434e-05    	4.7230348e-06
7.09486e-05    	4.7972551e-06
7.13537e-05    	4.8545258e-06
7.17588e-05    	4.9316000e-06
7.2164e-05     	4.9859867e-06
7.25691e-05    	5.0436184e-06
7.29742e-05    	5.1050990e-06
7.33794e-05    	5.1638079e-06
7.37845e-05    	5.2317695e-06
