# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721142e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84042e-07    	-4.9783979e-04
8.88508e-07    	-5.1220585e-04
1.29297e-06    	-5.2005110e-04
1.69744e-06    	-5.0596650e-04
2.10191e-06    	-4.8938218e-04
2.50637e-06    	-4.7577554e-04
2.91084e-06    	-4.6894406e-04
3.3153e-06     	-4.6485688e-04
3.71977e-06    	-4.6227525e-04
4.12423e-06    	-4.6275318e-04
4.5287e-06     	-4.6312863e-04
4.93315e-06    	-4.6382073e-04
5.33759e-06    	-4.6601747e-04
5.74206e-06    	-4.7053813e-04
6.14653e-06    	-4.7663515e-04
6.55104e-06    	-4.8673529e-04
6.95558e-06    	-5.0002141e-04
7.36028e-06    	-5.1527467e-04
7.76497e-06    	-5.3399329e-04
8.16964e-06    	-5.5297266e-04
8.57432e-06    	-5.7356163e-04
8.979e-06      	-5.9531626e-04
9.38367e-06    	-6.1711078e-04
9.78834e-06    	-6.4018991e-04
1.0193e-05     	-6.6193993e-04
1.05977e-05    	-6.8362948e-04
1.10023e-05    	-7.0389301e-04
1.1407e-05     	-7.2330020e-04
1.18117e-05    	-7.4141401e-04
1.22164e-05    	-7.5807269e-04
1.26212e-05    	-7.7327834e-04
1.30259e-05    	-7.8694977e-04
1.34308e-05    	-7.9923428e-04
1.38357e-05    	-8.1024916e-04
1.42406e-05    	-8.2030149e-04
1.46455e-05    	-8.2963464e-04
1.50504e-05    	-8.3846378e-04
1.54554e-05    	-8.4713969e-04
1.58603e-05    	-8.5582015e-04
1.62652e-05    	-8.6458986e-04
1.667e-05      	-8.7359039e-04
1.70749e-05    	-8.8288402e-04
1.74798e-05    	-8.9248780e-04
1.78846e-05    	-9.0237629e-04
1.82895e-05    	-9.1249811e-04
1.86944e-05    	-9.2277448e-04
1.90992e-05    	-9.3311193e-04
1.9504e-05     	-9.4341508e-04
1.99089e-05    	-9.5359739e-04
2.03138e-05    	-9.6361663e-04
2.07188e-05    	-9.7345251e-04
2.11238e-05    	-9.8308639e-04
2.15287e-05    	-9.9254699e-04
2.19337e-05    	-1.0018733e-03
2.23387e-05    	-1.0111305e-03
2.27436e-05    	-1.0203785e-03
2.31486e-05    	-1.0297109e-03
2.35535e-05    	-1.0391749e-03
2.39585e-05    	-1.0488670e-03
2.43634e-05    	-1.0587640e-03
2.47684e-05    	-1.0689004e-03
2.51733e-05    	-1.0792497e-03
2.55783e-05    	-1.0897690e-03
2.59832e-05    	-1.1003668e-03
2.63881e-05    	-1.1110115e-03
2.6793e-05     	-1.1216075e-03
2.71979e-05    	-1.1320643e-03
2.76029e-05    	-1.1422895e-03
2.80079e-05    	-1.1521811e-03
2.84129e-05    	-1.1616762e-03
2.88179e-05    	-1.1706977e-03
2.92229e-05    	-1.1791600e-03
2.96279e-05    	-1.1870199e-03
3.0033e-05     	-1.1942951e-03
3.0438e-05     	-1.2010071e-03
3.0843e-05     	-1.2071912e-03
3.1248e-05     	-1.2129228e-03
3.1653e-05     	-1.2182975e-03
3.20581e-05    	-1.2234332e-03
3.24631e-05    	-1.2284976e-03
3.28682e-05    	-1.2336746e-03
3.32733e-05    	-1.2391514e-03
3.36783e-05    	-1.2450803e-03
3.40834e-05    	-1.2515767e-03
3.44885e-05    	-1.2587018e-03
3.48935e-05    	-1.2664259e-03
3.52986e-05    	-1.2746115e-03
3.57037e-05    	-1.2829545e-03
3.61088e-05    	-1.2909260e-03
3.65139e-05    	-1.2977833e-03
3.6919e-05     	-1.3027545e-03
3.73241e-05    	-1.3053618e-03
3.77292e-05    	-1.3050550e-03
3.81343e-05    	-1.3015413e-03
3.85394e-05    	-1.2948776e-03
3.89445e-05    	-1.2854976e-03
3.93496e-05    	-1.2741059e-03
3.97547e-05    	-1.2614982e-03
4.01598e-05    	-1.2486283e-03
4.05649e-05    	-1.2364409e-03
4.097e-05      	-1.2257646e-03
4.13751e-05    	-1.2171897e-03
4.17802e-05    	-1.2112418e-03
4.21853e-05    	-1.2082147e-03
4.25904e-05    	-1.2079083e-03
4.29955e-05    	-1.2099553e-03
4.34006e-05    	-1.2142734e-03
4.38057e-05    	-1.2204871e-03
4.42108e-05    	-1.2280963e-03
4.46159e-05    	-1.2364373e-03
4.5021e-05     	-1.2447048e-03
4.54261e-05    	-1.2521148e-03
4.58312e-05    	-1.2580663e-03
4.62363e-05    	-1.2623375e-03
4.66415e-05    	-1.2647900e-03
4.70466e-05    	-1.2653852e-03
4.74517e-05    	-1.2640861e-03
4.78568e-05    	-1.2611106e-03
4.82619e-05    	-1.2568841e-03
4.8667e-05     	-1.2519458e-03
4.90721e-05    	-1.2468869e-03
4.94772e-05    	-1.2422880e-03
4.98823e-05    	-1.2387096e-03
5.02874e-05    	-1.2365246e-03
5.06925e-05    	-1.2359501e-03
5.10977e-05    	-1.2370568e-03
5.15028e-05    	-1.2398915e-03
5.19079e-05    	-1.2443035e-03
5.2313e-05     	-1.2500393e-03
5.27181e-05    	-1.2567798e-03
5.31232e-05    	-1.2641540e-03
5.35284e-05    	-1.2717868e-03
5.39335e-05    	-1.2793080e-03
5.43386e-05    	-1.2863803e-03
5.47437e-05    	-1.2927803e-03
5.51488e-05    	-1.2983453e-03
5.55539e-05    	-1.3030038e-03
5.59591e-05    	-1.3067580e-03
5.63642e-05    	-1.3096520e-03
5.67693e-05    	-1.3117336e-03
5.71744e-05    	-1.3130847e-03
5.75795e-05    	-1.3137933e-03
5.79846e-05    	-1.3139613e-03
5.83898e-05    	-1.3136390e-03
5.87949e-05    	-1.3129369e-03
5.92e-05       	-1.3119892e-03
5.96051e-05    	-1.3109220e-03
6.00102e-05    	-1.3099080e-03
6.04153e-05    	-1.3091053e-03
6.08204e-05    	-1.3086822e-03
6.12256e-05    	-1.3088056e-03
6.16307e-05    	-1.3096145e-03
6.20358e-05    	-1.3111621e-03
6.24409e-05    	-1.3135030e-03
6.2846e-05     	-1.3166126e-03
6.32511e-05    	-1.3204179e-03
6.36563e-05    	-1.3248126e-03
6.40614e-05    	-1.3296425e-03
6.44665e-05    	-1.3347185e-03
6.48716e-05    	-1.3398330e-03
6.52767e-05    	-1.3447641e-03
6.56819e-05    	-1.3492842e-03
6.6087e-05     	-1.3532203e-03
6.64921e-05    	-1.3564388e-03
6.68972e-05    	-1.3588488e-03
6.73024e-05    	-1.3604213e-03
6.77075e-05    	-1.3611515e-03
6.81126e-05    	-1.3610920e-03
