# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.84042e-07    	4.3875904e-08
8.88508e-07    	5.2984799e-08
1.29297e-06    	4.5785660e-08
1.69744e-06    	3.9324933e-08
2.10191e-06    	3.4421587e-08
2.50637e-06    	3.1645285e-08
2.91084e-06    	1.6123656e-07
3.3153e-06     	3.0153928e-07
3.71977e-06    	3.7758453e-07
4.12423e-06    	9.3976798e-07
4.5287e-06     	2.9289150e-06
4.93315e-06    	5.8290682e-06
5.33759e-06    	8.3634688e-06
5.74206e-06    	9.8013761e-06
6.14653e-06    	9.9098155e-06
6.55104e-06    	8.8614338e-06
6.95558e-06    	6.9577080e-06
7.36028e-06    	4.9577831e-06
7.76497e-06    	3.9354016e-06
8.16964e-06    	4.1972296e-06
8.57432e-06    	5.7439011e-06
8.979e-06      	7.6666263e-06
9.38367e-06    	8.9769227e-06
9.78834e-06    	8.6734490e-06
1.0193e-05     	6.8636629e-06
1.05977e-05    	4.5935811e-06
1.10023e-05    	3.0849362e-06
1.1407e-05     	3.1519832e-06
1.18117e-05    	4.2567935e-06
1.22164e-05    	5.4863032e-06
1.26212e-05    	5.9130076e-06
1.30259e-05    	5.2582576e-06
1.34308e-05    	4.1160093e-06
1.38357e-05    	3.3496371e-06
1.42406e-05    	3.3631229e-06
1.46455e-05    	4.1043457e-06
1.50504e-05    	5.0396579e-06
1.54554e-05    	5.6312592e-06
1.58603e-05    	5.5787051e-06
1.62652e-05    	5.1242402e-06
1.667e-05      	4.8336656e-06
1.70749e-05    	5.0064614e-06
1.74798e-05    	5.5594516e-06
1.78846e-05    	6.1817028e-06
1.82895e-05    	6.4985941e-06
1.86944e-05    	6.5157673e-06
1.90992e-05    	6.4519316e-06
1.9504e-05     	6.5480109e-06
1.99089e-05    	6.8727644e-06
2.03138e-05    	7.3815006e-06
2.07188e-05    	7.8395286e-06
2.11238e-05    	8.0024088e-06
2.15287e-05    	7.9476303e-06
2.19337e-05    	7.9628109e-06
2.23387e-05    	8.1737175e-06
2.27436e-05    	8.5377267e-06
2.31486e-05    	9.0118352e-06
2.35535e-05    	9.3706179e-06
2.39585e-05    	9.5905327e-06
2.43634e-05    	9.7345229e-06
2.47684e-05    	9.8945628e-06
2.51733e-05    	1.0129302e-05
2.55783e-05    	1.0384552e-05
2.59832e-05    	1.0601077e-05
2.63881e-05    	1.0799758e-05
2.6793e-05     	1.1024040e-05
2.71979e-05    	1.1224085e-05
2.76029e-05    	1.1380033e-05
2.80079e-05    	1.1497101e-05
2.84129e-05    	1.1523202e-05
2.88179e-05    	1.1517692e-05
2.92229e-05    	1.1489866e-05
2.96279e-05    	1.1481869e-05
3.0033e-05     	1.1437030e-05
3.0438e-05     	1.1361124e-05
3.0843e-05     	1.1223202e-05
3.1248e-05     	1.1020605e-05
3.1653e-05     	1.0787748e-05
3.20581e-05    	1.0563834e-05
3.24631e-05    	1.0321810e-05
3.28682e-05    	1.0092337e-05
3.32733e-05    	9.8560349e-06
3.36783e-05    	9.6065193e-06
3.40834e-05    	9.3374435e-06
3.44885e-05    	9.0714286e-06
3.48935e-05    	8.8598297e-06
3.52986e-05    	8.6393564e-06
3.57037e-05    	8.4193334e-06
3.61088e-05    	8.2072615e-06
3.65139e-05    	7.9993297e-06
3.6919e-05     	7.7957570e-06
3.73241e-05    	7.6114718e-06
3.77292e-05    	7.4535111e-06
3.81343e-05    	7.2751312e-06
3.85394e-05    	7.1162004e-06
3.89445e-05    	6.9465970e-06
3.93496e-05    	6.7564606e-06
3.97547e-05    	6.5582123e-06
4.01598e-05    	6.3861084e-06
4.05649e-05    	6.2248940e-06
4.097e-05      	6.0431161e-06
4.13751e-05    	5.8567743e-06
4.17802e-05    	5.6632079e-06
4.21853e-05    	5.4617734e-06
4.25904e-05    	5.2680800e-06
4.29955e-05    	5.0887707e-06
4.34006e-05    	4.9064386e-06
