# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
1.1999e-07     	N/A	5.5616034e-01	8.0207989e-01	5.5681234e-01	3.7009875e-04	1.0000000e+00	N/A
1.56714e-07    	N/A	1.4473586e-03	4.0457908e-03	1.4585552e-03	2.5259836e-02	4.5468925e-02	N/A
1.93438e-07    	N/A	6.9754463e-04	2.0474420e-03	7.0154235e-04	1.1022743e-03	2.7874516e-02	N/A
2.2891e-07     	N/A	5.4486139e-04	1.5758678e-03	5.4861890e-04	8.1390770e-04	1.9805838e-02	N/A
2.61771e-07    	N/A	4.3748448e-04	1.2331476e-03	4.4022760e-04	6.5629970e-04	1.4602295e-02	N/A
2.95956e-07    	N/A	4.0640818e-04	1.1156202e-03	4.0882553e-04	5.9310710e-04	1.2759284e-02	N/A
3.3268e-07     	N/A	3.9296149e-04	1.0632119e-03	3.9570021e-04	5.6539308e-04	1.1747215e-02	N/A
3.69404e-07    	N/A	3.5684287e-04	9.5583795e-04	3.5972892e-04	5.1578785e-04	1.0183097e-02	N/A
4.06128e-07    	N/A	3.2873975e-04	8.7474614e-04	3.3107989e-04	4.8103318e-04	8.9847898e-03	N/A
4.42853e-07    	N/A	3.0638029e-04	8.1266222e-04	3.0770795e-04	4.5854094e-04	8.0386964e-03	N/A
4.79577e-07    	N/A	2.9142356e-04	7.8457805e-04	2.9180230e-04	4.4494686e-04	7.2716181e-03	N/A
5.16301e-07    	N/A	2.7673725e-04	7.5351106e-04	2.7423144e-04	4.3800015e-04	6.6385619e-03	N/A
5.53025e-07    	N/A	2.6365126e-04	7.2921810e-04	2.6046556e-04	4.2828779e-04	6.1068972e-03	N/A
5.89749e-07    	N/A	2.5150164e-04	7.1518779e-04	2.4869923e-04	4.1767820e-04	5.6540435e-03	N/A
6.26473e-07    	N/A	2.4065311e-04	7.1244390e-04	2.3805649e-04	4.1053250e-04	5.2632425e-03	N/A
6.63197e-07    	N/A	2.2940538e-04	7.0596701e-04	2.2673358e-04	4.0148789e-04	4.9231604e-03	N/A
6.99921e-07    	N/A	2.2055947e-04	7.0248814e-04	2.1787081e-04	3.9539064e-04	4.6244725e-03	N/A
7.36645e-07    	N/A	2.1007791e-04	7.0023784e-04	2.0844011e-04	3.8127520e-04	4.3598854e-03	N/A
7.7337e-07     	N/A	1.9883071e-04	6.9197528e-04	1.9795048e-04	3.6160458e-04	4.1239733e-03	N/A
8.10094e-07    	N/A	1.9063849e-04	6.8622555e-04	1.9001898e-04	3.4476109e-04	3.9123319e-03	N/A
8.46818e-07    	N/A	1.8446467e-04	6.8410941e-04	1.8394510e-04	3.3057629e-04	3.7213800e-03	N/A
8.83542e-07    	N/A	1.7830095e-04	6.8717836e-04	1.7800089e-04	4.5425257e-04	3.5509402e-03	N/A
9.20266e-07    	N/A	1.7358779e-04	6.9242317e-04	1.7356265e-04	3.4546339e-04	3.3908044e-03	N/A
9.5699e-07     	N/A	1.6605969e-04	6.8654096e-04	1.6667111e-04	4.1431442e-04	3.2482996e-03	N/A
9.93714e-07    	N/A	1.6116892e-04	6.8383647e-04	1.6323062e-04	2.9361873e-04	3.1131872e-03	N/A
1.03044e-06    	N/A	1.5550861e-04	6.7891395e-04	1.5693052e-04	4.7306969e-04	2.9957468e-03	N/A
1.06716e-06    	N/A	1.5216336e-04	6.7461379e-04	1.5396953e-04	2.9235267e-04	2.8782617e-03	N/A
1.10389e-06    	N/A	1.4562086e-04	6.6640841e-04	1.4684508e-04	3.8291798e-04	2.7761816e-03	N/A
1.14061e-06    	N/A	1.4286071e-04	6.6414449e-04	1.4409384e-04	2.6441957e-04	2.6756726e-03	N/A
1.17733e-06    	N/A	1.3767646e-04	6.5562930e-04	1.3853759e-04	2.5724636e-04	2.5849379e-03	N/A
1.21406e-06    	N/A	1.3401571e-04	6.5084590e-04	1.3489673e-04	2.5012861e-04	2.5001751e-03	N/A
1.25078e-06    	N/A	1.3049099e-04	6.4735062e-04	1.3155063e-04	2.4337457e-04	2.4207961e-03	N/A
1.28751e-06    	N/A	1.2724509e-04	6.4651692e-04	1.2865916e-04	2.4295746e-04	2.3464285e-03	N/A
1.32423e-06    	N/A	1.2492156e-04	6.4755442e-04	1.2577707e-04	2.6800559e-04	2.2764713e-03	N/A
1.36096e-06    	N/A	1.2162718e-04	6.4514630e-04	1.2245549e-04	3.0209406e-04	2.2117136e-03	N/A
1.39768e-06    	N/A	1.1922263e-04	6.4479158e-04	1.2035554e-04	2.6173786e-04	2.1484999e-03	N/A
1.4344e-06     	N/A	1.1620864e-04	6.4296316e-04	1.1716819e-04	2.5076098e-04	2.0893201e-03	N/A
1.47113e-06    	N/A	1.1460537e-04	6.4606027e-04	1.1580517e-04	4.9235695e-04	2.0347526e-03	N/A
1.50785e-06    	N/A	1.1263791e-04	6.4863729e-04	1.1384522e-04	4.3984909e-04	1.9823673e-03	N/A
1.54458e-06    	N/A	1.1120262e-04	6.6099890e-04	1.1249075e-04	4.2918658e-04	1.9323641e-03	N/A
1.5813e-06     	N/A	1.0966127e-04	6.5857792e-04	1.1123145e-04	3.4057009e-04	1.8839134e-03	N/A
1.61802e-06    	N/A	1.0832289e-04	6.6112489e-04	1.0996703e-04	5.6816894e-04	1.8408085e-03	N/A
1.65475e-06    	N/A	1.0641344e-04	6.5843731e-04	1.0804819e-04	4.8127879e-04	1.7991389e-03	N/A
1.69147e-06    	N/A	1.0467678e-04	6.6629301e-04	1.0639902e-04	3.2797231e-04	1.7548688e-03	N/A
1.7282e-06     	N/A	1.0262237e-04	6.6213458e-04	1.0421466e-04	2.9452318e-04	1.7156133e-03	N/A
1.76492e-06    	N/A	1.0133689e-04	6.6706001e-04	1.0313309e-04	2.7030448e-04	1.6770847e-03	N/A
1.80165e-06    	N/A	9.9307721e-05	6.6795619e-04	1.0126428e-04	3.6608752e-04	1.6419000e-03	N/A
1.83837e-06    	N/A	9.7537227e-05	6.6993060e-04	9.9544869e-05	3.2548967e-04	1.6069828e-03	N/A
1.87509e-06    	N/A	9.6495573e-05	6.8241211e-04	9.8451917e-05	4.4959053e-04	1.5748397e-03	N/A
1.91182e-06    	N/A	9.5069070e-05	6.7858890e-04	9.7025913e-05	3.5106201e-04	1.5425961e-03	N/A
1.94854e-06    	N/A	9.3818072e-05	6.7957940e-04	9.5838164e-05	2.9634598e-04	1.5114041e-03	N/A
1.98527e-06    	N/A	9.2472342e-05	6.7809528e-04	9.4347634e-05	2.4101674e-04	1.4816548e-03	N/A
2.02199e-06    	N/A	9.1229111e-05	6.7760246e-04	9.3063397e-05	2.3905854e-04	1.4540221e-03	N/A
2.05871e-06    	N/A	9.0067089e-05	6.7918660e-04	9.1852234e-05	2.2699886e-04	1.4268945e-03	N/A
2.09544e-06    	N/A	8.9218380e-05	6.8808814e-04	9.1100648e-05	3.1527702e-04	1.4018274e-03	N/A
