# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.84042e-07    	(9.9558195e-09 5.5244213e-04 2.4531020e-08)	1.0000086e+05	2.9400001e+02
8.88508e-07    	(6.2892392e-08 6.2970184e-04 1.4702354e-07)	1.0000093e+05	2.9399995e+02
1.29297e-06    	(7.0915623e-08 5.2968178e-04 3.7123863e-07)	1.0000088e+05	2.9399989e+02
1.69744e-06    	(7.7995696e-08 4.5100590e-04 4.7392351e-07)	1.0000084e+05	2.9399985e+02
2.10191e-06    	(1.3224574e-07 3.9085951e-04 3.0375222e-07)	1.0000081e+05	2.9399982e+02
2.50637e-06    	(2.0821471e-05 3.8487678e-04 -2.0757157e-05)	1.0000011e+05	2.9399427e+02
2.91084e-06    	(7.2065470e-05 2.0005974e-03 -1.8416624e-06)	9.9997697e+04	2.9398831e+02
3.3153e-06     	(3.8091027e-05 3.4933095e-03 -2.7702309e-05)	9.9996769e+04	2.9396436e+02
3.71977e-06    	(-8.9944602e-06 4.8325349e-03 3.8294564e-05)	9.9977108e+04	2.9381448e+02
4.12423e-06    	(1.1365184e-04 1.4515063e-02 4.9710502e-05)	9.9947706e+04	2.9372248e+02
4.5287e-06     	(1.3193616e-04 4.2425543e-02 9.1506580e-05)	9.9925311e+04	2.9365695e+02
4.93315e-06    	(-4.7530906e-04 8.0052533e-02 6.0097152e-04)	9.9915868e+04	2.9363513e+02
5.33759e-06    	(-9.1194027e-04 1.1282146e-01 8.9714886e-04)	9.9911588e+04	2.9361930e+02
5.74206e-06    	(-9.9133195e-04 1.3072645e-01 8.7464333e-04)	9.9906098e+04	2.9361928e+02
6.14653e-06    	(-5.4020505e-04 1.2993326e-01 3.9358149e-04)	9.9900417e+04	2.9363218e+02
6.55104e-06    	(2.8595819e-04 1.1244689e-01 -9.5630220e-04)	9.9889274e+04	2.9361629e+02
6.95558e-06    	(8.1224562e-04 8.1635806e-02 -2.1146793e-03)	9.9870600e+04	2.9354824e+02
7.36028e-06    	(1.7191651e-03 5.0476696e-02 -4.5792431e-03)	9.9843367e+04	2.9347815e+02
7.76497e-06    	(3.3788439e-03 3.5564845e-02 -7.5517633e-03)	9.9815836e+04	2.9339118e+02
8.16964e-06    	(4.2018825e-03 4.0842570e-02 -8.9076535e-03)	9.9792597e+04	2.9333090e+02
8.57432e-06    	(4.0234556e-03 6.2415192e-02 -8.9205819e-03)	9.9779835e+04	2.9330650e+02
8.979e-06      	(3.6401085e-03 8.6975505e-02 -8.7466981e-03)	9.9783286e+04	2.9334947e+02
9.38367e-06    	(3.3922241e-03 1.0162646e-01 -8.8930801e-03)	9.9794058e+04	2.9338522e+02
9.78834e-06    	(3.3993736e-03 9.4330631e-02 -9.5704719e-03)	9.9796399e+04	2.9339664e+02
1.0193e-05     	(3.5425543e-03 6.8227208e-02 -1.0854164e-02)	9.9787717e+04	2.9336076e+02
1.05977e-05    	(3.5889534e-03 3.7899093e-02 -1.1990305e-02)	9.9764653e+04	2.9327981e+02
1.10023e-05    	(3.3838999e-03 2.0238213e-02 -1.2772519e-02)	9.9738698e+04	2.9320557e+02
