# Region type : patch cOutlet
# Faces  :     1592
# Area   :     4.0504348e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.01965e-07    	(3.1542538e-08 -5.6376563e-04 3.9401532e-07)	1.0000091e+05	2.9400002e+02
7.27512e-07    	(8.2774655e-08 -5.3158802e-04 6.4100929e-08)	1.0000094e+05	2.9399994e+02
1.05663e-06    	(-2.6075058e-05 -1.3266482e-03 6.4794048e-05)	9.9998402e+04	2.9398349e+02
1.38681e-06    	(4.0525898e-04 -4.6144624e-03 6.2612990e-04)	9.9994970e+04	2.9393687e+02
1.71576e-06    	(1.1361743e-03 -1.0805322e-02 1.3556327e-03)	9.9970100e+04	2.9383416e+02
2.04805e-06    	(-4.2587744e-05 -3.4269101e-02 1.5355374e-04)	9.9951459e+04	2.9380880e+02
2.37928e-06    	(-3.1698538e-04 -6.6285596e-02 -3.1053981e-04)	9.9956801e+04	2.9384288e+02
2.71099e-06    	(6.6851373e-05 -7.7732036e-02 1.3110751e-04)	9.9961237e+04	2.9384044e+02
3.04407e-06    	(1.6621208e-04 -7.5448691e-02 -8.5240202e-04)	9.9950993e+04	2.9378331e+02
3.37601e-06    	(9.9859808e-05 -7.0555031e-02 -7.3208847e-04)	9.9944206e+04	2.9379653e+02
3.70902e-06    	(-5.6571053e-05 -6.9568652e-02 -6.4288182e-04)	9.9955645e+04	2.9383462e+02
4.04262e-06    	(-1.1008324e-05 -6.7419939e-02 -7.4282499e-04)	9.9962934e+04	2.9384924e+02
4.375e-06      	(6.4890697e-05 -6.3352519e-02 -8.5165645e-04)	9.9966289e+04	2.9385602e+02
4.70918e-06    	(-9.3881143e-05 -5.9342090e-02 -1.6618895e-04)	9.9964329e+04	2.9384766e+02
5.0423e-06     	(-1.9181401e-04 -5.4456535e-02 3.7286493e-04)	9.9962025e+04	2.9384998e+02
5.37532e-06    	(-1.4862563e-04 -4.8211826e-02 -6.7017814e-04)	9.9957447e+04	2.9384074e+02
5.70948e-06    	(-6.7063520e-04 -4.4902237e-02 -9.3441917e-04)	9.9952810e+04	2.9383600e+02
6.04158e-06    	(-1.0768150e-04 -4.1798468e-02 -6.4322934e-05)	9.9950650e+04	2.9383705e+02
6.37547e-06    	(-3.1450862e-04 -3.6853834e-02 5.9141991e-05)	9.9947234e+04	2.9383185e+02
6.7081e-06     	(-6.9414318e-04 -3.3640164e-02 -2.8257014e-04)	9.9941998e+04	2.9380626e+02
7.04004e-06    	(-1.2252293e-04 -3.3832735e-02 -1.8621234e-03)	9.9937007e+04	2.9380381e+02
7.37319e-06    	(-6.0266241e-04 -3.4988763e-02 -4.2102358e-04)	9.9936034e+04	2.9379724e+02
7.70365e-06    	(-1.5891383e-03 -3.6573684e-02 2.7539915e-03)	9.9936639e+04	2.9380461e+02
8.03561e-06    	(-5.6379202e-05 -3.7730237e-02 2.1638936e-03)	9.9937902e+04	2.9380875e+02
8.36612e-06    	(1.3689345e-03 -3.8204236e-02 5.6347227e-05)	9.9938316e+04	2.9380961e+02
8.69569e-06    	(1.8834213e-03 -3.7777992e-02 5.6672370e-04)	9.9941276e+04	2.9381874e+02
9.02641e-06    	(1.8289729e-03 -3.5065473e-02 1.0552431e-03)	9.9943495e+04	2.9382243e+02
9.35429e-06    	(2.2250535e-03 -3.3698796e-02 1.1434609e-03)	9.9945696e+04	2.9382775e+02
9.68346e-06    	(1.8901535e-03 -3.3061747e-02 1.1743944e-03)	9.9947223e+04	2.9383040e+02
1.00115e-05    	(9.2531761e-04 -3.2019272e-02 5.5537896e-04)	9.9948451e+04	2.9383218e+02
1.03379e-05    	(6.6460651e-04 -3.0481055e-02 1.3371846e-04)	9.9950020e+04	2.9383597e+02
1.06658e-05    	(1.2701326e-03 -2.9197900e-02 5.5872883e-04)	9.9950969e+04	2.9383520e+02
1.0991e-05     	(1.7440641e-03 -2.8430003e-02 1.0366098e-03)	9.9952045e+04	2.9383804e+02
1.13169e-05    	(8.7576942e-04 -2.7372339e-02 7.2388035e-04)	9.9952539e+04	2.9383920e+02
1.16423e-05    	(7.1509724e-04 -2.6164184e-02 1.1177770e-03)	9.9953472e+04	2.9384080e+02
1.19661e-05    	(6.4587495e-04 -2.5192709e-02 2.5314072e-04)	9.9953786e+04	2.9384036e+02
1.22911e-05    	(1.1293269e-03 -2.4703841e-02 1.3172633e-04)	9.9953827e+04	2.9383949e+02
1.26142e-05    	(9.7622766e-04 -2.4156754e-02 3.4154133e-04)	9.9953981e+04	2.9383930e+02
1.29377e-05    	(7.2793554e-04 -2.3656926e-02 -5.4538422e-04)	9.9954374e+04	2.9383967e+02
1.32608e-05    	(-6.1283509e-04 -2.3503817e-02 -5.0036680e-04)	9.9954254e+04	2.9383714e+02
1.3583e-05     	(8.8227201e-05 -2.3351052e-02 -2.2738679e-04)	9.9954255e+04	2.9383544e+02
1.3906e-05     	(-3.8376509e-04 -2.2879676e-02 3.9585631e-04)	9.9954983e+04	2.9383870e+02
1.42279e-05    	(1.1758667e-04 -2.1875849e-02 1.1909986e-03)	9.9955196e+04	2.9383607e+02
1.45503e-05    	(2.4859678e-04 -2.1559034e-02 1.3800537e-03)	9.9955796e+04	2.9383842e+02
1.48722e-05    	(6.1376643e-04 -2.0690239e-02 1.6577589e-03)	9.9955369e+04	2.9383526e+02
1.5194e-05     	(1.3307414e-03 -2.0456286e-02 1.1172664e-03)	9.9956024e+04	2.9383843e+02
1.55155e-05    	(8.3492324e-04 -1.9471935e-02 7.5406365e-04)	9.9956262e+04	2.9383798e+02
1.58368e-05    	(8.3293290e-04 -1.8660813e-02 -1.2129189e-04)	9.9956161e+04	2.9383477e+02
1.61578e-05    	(4.9638988e-04 -1.8449798e-02 3.8153697e-04)	9.9956160e+04	2.9383372e+02
1.64787e-05    	(1.6942481e-03 -1.8190531e-02 7.1499154e-04)	9.9955961e+04	2.9383369e+02
1.67993e-05    	(-2.0132652e-04 -1.7721669e-02 6.7872147e-04)	9.9956236e+04	2.9383545e+02
1.71197e-05    	(-5.1042790e-04 -1.7113212e-02 2.6544207e-04)	9.9955913e+04	2.9383048e+02
1.74399e-05    	(5.6862673e-05 -1.7409141e-02 1.3079264e-03)	9.9956019e+04	2.9383283e+02
1.77599e-05    	(8.8623057e-04 -1.6679722e-02 1.1734020e-03)	9.9955802e+04	2.9382989e+02
1.80798e-05    	(2.0372337e-03 -1.6980034e-02 7.4698968e-04)	9.9955746e+04	2.9382896e+02
1.83994e-05    	(2.1641709e-03 -1.6655581e-02 6.9286175e-04)	9.9956154e+04	2.9383061e+02
1.87189e-05    	(1.3482500e-03 -1.6858466e-02 3.5024809e-04)	9.9955918e+04	2.9382843e+02
1.90381e-05    	(9.0448840e-04 -1.6497699e-02 4.3113859e-04)	9.9956055e+04	2.9382754e+02
1.93572e-05    	(7.5142585e-04 -1.6476117e-02 1.5558756e-04)	9.9955973e+04	2.9382697e+02
1.9676e-05     	(1.2385948e-04 -1.6613552e-02 1.1234842e-03)	9.9955997e+04	2.9382593e+02
1.99946e-05    	(5.2910571e-04 -1.6949667e-02 1.0786767e-03)	9.9955512e+04	2.9382192e+02
2.0313e-05     	(-5.4542027e-04 -1.7112576e-02 1.3397903e-03)	9.9955086e+04	2.9381957e+02
2.06311e-05    	(-2.6282497e-04 -1.7761015e-02 1.4447091e-03)	9.9954961e+04	2.9382036e+02
2.09489e-05    	(7.3595833e-04 -1.7885763e-02 6.3168493e-04)	9.9955270e+04	2.9382377e+02
2.12665e-05    	(1.7221070e-03 -1.6957903e-02 -2.0484996e-05)	9.9955616e+04	2.9382164e+02
2.15838e-05    	(2.0557923e-03 -1.7183007e-02 -7.4251922e-06)	9.9954522e+04	2.9381706e+02
2.19008e-05    	(1.8442129e-03 -1.7148199e-02 -5.9411296e-04)	9.9954777e+04	2.9381791e+02
2.22176e-05    	(9.6346986e-04 -1.6772181e-02 3.3725621e-04)	9.9954274e+04	2.9381727e+02
2.2534e-05     	(-5.9578027e-05 -1.6573339e-02 1.0120291e-03)	9.9954052e+04	2.9381394e+02
2.28501e-05    	(7.1061896e-04 -1.7445029e-02 1.1180306e-03)	9.9953781e+04	2.9380732e+02
2.31659e-05    	(9.0793253e-04 -1.8007406e-02 7.2609520e-04)	9.9952447e+04	2.9380682e+02
2.34813e-05    	(6.5253826e-04 -1.9419508e-02 1.2809467e-03)	9.9950929e+04	2.9379951e+02
2.37964e-05    	(8.5794436e-04 -2.2543392e-02 1.6977892e-03)	9.9949856e+04	2.9379129e+02
2.41112e-05    	(1.1158466e-03 -2.5279223e-02 1.3448072e-03)	9.9949095e+04	2.9379168e+02
2.44256e-05    	(4.4379870e-04 -2.7792425e-02 1.9595645e-04)	9.9949500e+04	2.9379299e+02
2.47398e-05    	(8.9923143e-04 -2.9168601e-02 -2.1422018e-04)	9.9950822e+04	2.9379905e+02
2.50535e-05    	(1.4073486e-03 -2.9784038e-02 -6.9507345e-04)	9.9952762e+04	2.9380165e+02
2.5367e-05     	(5.9126606e-04 -2.9741116e-02 -9.5125374e-04)	9.9954515e+04	2.9380544e+02
2.56801e-05    	(5.6646656e-04 -2.9817064e-02 -1.0087692e-03)	9.9956100e+04	2.9380721e+02
2.5993e-05     	(5.9199233e-04 -2.9993332e-02 -6.6550946e-04)	9.9958009e+04	2.9381044e+02
2.63055e-05    	(2.4037149e-04 -3.0028314e-02 -7.1372267e-04)	9.9960014e+04	2.9381393e+02
2.66177e-05    	(8.6326021e-04 -3.0496662e-02 -6.1684006e-04)	9.9961365e+04	2.9381427e+02
2.69297e-05    	(1.2616030e-03 -3.1173697e-02 -1.3198842e-03)	9.9963274e+04	2.9381803e+02
2.72414e-05    	(1.5271617e-03 -3.1471404e-02 -8.7937772e-04)	9.9964684e+04	2.9382014e+02
2.75529e-05    	(9.5478776e-04 -3.1780971e-02 -8.2527284e-04)	9.9966343e+04	2.9382343e+02
2.78641e-05    	(5.0714131e-04 -3.1958356e-02 -1.3127044e-03)	9.9967789e+04	2.9382493e+02
2.81751e-05    	(-3.1520329e-04 -3.2366337e-02 -1.5046273e-03)	9.9968943e+04	2.9382646e+02
2.84858e-05    	(-1.1767797e-03 -3.2646959e-02 -1.7668368e-03)	9.9969751e+04	2.9382533e+02
2.87963e-05    	(-1.3982695e-03 -3.2974604e-02 -1.2677389e-03)	9.9970743e+04	2.9382719e+02
2.91067e-05    	(-1.6395760e-03 -3.2949907e-02 -3.6745098e-04)	9.9971346e+04	2.9382784e+02
2.94168e-05    	(-8.2067237e-04 -3.2766836e-02 1.6158542e-04)	9.9972837e+04	2.9382963e+02
2.97267e-05    	(-3.4004175e-04 -3.2560564e-02 3.2567169e-04)	9.9973109e+04	2.9382955e+02
3.00365e-05    	(-6.5968978e-04 -3.2653513e-02 3.4175694e-04)	9.9973338e+04	2.9383017e+02
3.0346e-05     	(-3.4828818e-04 -3.1732380e-02 -6.1623945e-04)	9.9973945e+04	2.9383019e+02
3.06554e-05    	(1.0246568e-04 -3.1065275e-02 -8.2444836e-04)	9.9974068e+04	2.9383019e+02
3.09646e-05    	(-8.7375719e-05 -3.0717075e-02 -9.4766086e-04)	9.9973867e+04	2.9382760e+02
3.12736e-05    	(-1.4858275e-03 -3.0697222e-02 -1.2422765e-03)	9.9973734e+04	2.9382741e+02
3.15825e-05    	(-1.8909674e-03 -3.0308505e-02 -5.7082563e-04)	9.9973753e+04	2.9382438e+02
3.18911e-05    	(-1.3591664e-03 -3.0255681e-02 -3.5700042e-04)	9.9973757e+04	2.9382714e+02
3.21996e-05    	(-1.7216208e-04 -2.9839820e-02 -5.8735826e-04)	9.9973674e+04	2.9382537e+02
3.2508e-05     	(6.4333302e-04 -3.0063157e-02 -6.8993783e-04)	9.9973428e+04	2.9382505e+02
3.28161e-05    	(-4.2956227e-05 -2.9555286e-02 -6.8255925e-04)	9.9973707e+04	2.9382594e+02
3.31241e-05    	(-1.5525774e-04 -2.8826213e-02 -4.8236689e-04)	9.9973696e+04	2.9382567e+02
3.34319e-05    	(-5.8345799e-04 -2.8689190e-02 -1.2506107e-03)	9.9973514e+04	2.9382565e+02
3.37396e-05    	(-4.6901740e-04 -2.8380671e-02 -1.5984179e-03)	9.9973266e+04	2.9382227e+02
3.40471e-05    	(-9.6350413e-04 -2.8338342e-02 -2.1201220e-03)	9.9973084e+04	2.9382049e+02
3.43545e-05    	(-8.7271960e-04 -2.8180008e-02 -1.8782746e-03)	9.9973007e+04	2.9382358e+02
3.46617e-05    	(-5.3666346e-04 -2.7885979e-02 -1.9262832e-03)	9.9972635e+04	2.9381905e+02
3.49689e-05    	(-1.0640837e-03 -2.8236462e-02 -1.4496504e-03)	9.9972312e+04	2.9381837e+02
3.52759e-05    	(1.8049696e-05 -2.8469364e-02 -6.4657528e-04)	9.9972347e+04	2.9381725e+02
3.55828e-05    	(2.8416388e-04 -2.8283393e-02 -9.3488127e-05)	9.9972541e+04	2.9382001e+02
3.58896e-05    	(5.2692820e-04 -2.7961740e-02 1.5661509e-05)	9.9972758e+04	2.9382086e+02
3.61963e-05    	(3.3235264e-04 -2.7419180e-02 -6.2819752e-04)	9.9973101e+04	2.9382007e+02
3.6503e-05     	(-1.4413335e-03 -2.7216086e-02 -1.6623577e-03)	9.9973281e+04	2.9381912e+02
3.68097e-05    	(-1.6721328e-03 -2.6860507e-02 -1.1670273e-03)	9.9972762e+04	2.9381783e+02
3.71163e-05    	(-1.5245337e-03 -2.6536176e-02 -8.7252097e-04)	9.9972571e+04	2.9381720e+02
3.7423e-05     	(-9.5839171e-04 -2.6502813e-02 -1.2709748e-03)	9.9972150e+04	2.9381682e+02
3.77297e-05    	(-5.5788324e-04 -2.6247361e-02 -9.2372938e-04)	9.9972066e+04	2.9381355e+02
3.80364e-05    	(3.1680725e-04 -2.6500735e-02 -1.1792342e-03)	9.9971449e+04	2.9381332e+02
3.83432e-05    	(1.0181223e-03 -2.6423749e-02 -6.7906498e-04)	9.9971849e+04	2.9381390e+02
3.865e-05      	(3.8531521e-04 -2.5954592e-02 -6.7976635e-04)	9.9971518e+04	2.9381391e+02
3.89569e-05    	(-9.6727157e-04 -2.5790324e-02 1.3117820e-04)	9.9971575e+04	2.9381398e+02
3.92639e-05    	(-1.1360739e-03 -2.5441293e-02 -1.5604997e-03)	9.9971030e+04	2.9381022e+02
3.9571e-05     	(-1.3280026e-03 -2.5516699e-02 -1.1609503e-03)	9.9970777e+04	2.9381258e+02
3.98783e-05    	(-4.1498012e-04 -2.4692834e-02 -4.0448466e-04)	9.9970766e+04	2.9381214e+02
4.01856e-05    	(-6.0890925e-04 -2.3987463e-02 -7.3412142e-04)	9.9970377e+04	2.9380887e+02
4.04931e-05    	(-2.1798604e-04 -2.3782353e-02 -4.1444682e-04)	9.9969486e+04	2.9380533e+02
4.08006e-05    	(1.6227626e-04 -2.4428344e-02 -9.9592752e-04)	9.9968840e+04	2.9380518e+02
4.11083e-05    	(8.2789545e-04 -2.4131588e-02 -4.1906869e-04)	9.9968561e+04	2.9380290e+02
4.1416e-05     	(8.1626481e-04 -2.3849462e-02 -7.8886949e-04)	9.9968297e+04	2.9380407e+02
4.17238e-05    	(7.6839765e-04 -2.3506436e-02 -3.1991976e-05)	9.9968097e+04	2.9380219e+02
4.20317e-05    	(2.6642760e-04 -2.3585277e-02 2.2014465e-04)	9.9967722e+04	2.9380211e+02
4.23396e-05    	(-6.1427484e-04 -2.3417590e-02 -7.1842482e-04)	9.9968202e+04	2.9380408e+02
4.26476e-05    	(-4.9347211e-04 -2.2584659e-02 -5.2054098e-04)	9.9967851e+04	2.9380266e+02
4.29556e-05    	(-7.5029604e-04 -2.2192886e-02 1.9231634e-05)	9.9967170e+04	2.9379731e+02
4.32637e-05    	(-5.9382201e-04 -2.2873127e-02 8.5861407e-04)	9.9966048e+04	2.9379504e+02
4.35718e-05    	(5.5769557e-04 -2.3435889e-02 3.2671538e-04)	9.9966130e+04	2.9379441e+02
4.38799e-05    	(1.4894612e-03 -2.3619417e-02 1.2443112e-04)	9.9966534e+04	2.9379677e+02
4.41879e-05    	(1.5205121e-03 -2.3408420e-02 -1.0686846e-05)	9.9966536e+04	2.9379693e+02
4.4496e-05     	(5.3979304e-04 -2.3471985e-02 6.9880958e-04)	9.9966768e+04	2.9379529e+02
4.48041e-05    	(-3.0238987e-04 -2.3701565e-02 3.7937790e-04)	9.9966915e+04	2.9379664e+02
4.51121e-05    	(-1.6989952e-03 -2.3465022e-02 3.9987394e-04)	9.9967121e+04	2.9379747e+02
4.54201e-05    	(-9.7098003e-04 -2.3484846e-02 9.3677593e-04)	9.9967307e+04	2.9379792e+02
4.57281e-05    	(2.2117464e-04 -2.3198884e-02 6.4160636e-04)	9.9967607e+04	2.9379612e+02
4.60361e-05    	(-6.6169361e-05 -2.3373508e-02 7.3581864e-04)	9.9967372e+04	2.9379568e+02
4.6344e-05     	(6.3419766e-04 -2.3697765e-02 1.3703050e-03)	9.9967719e+04	2.9379700e+02
4.66519e-05    	(1.2811714e-03 -2.3879651e-02 9.7396753e-04)	9.9967913e+04	2.9379645e+02
4.69597e-05    	(1.0792182e-03 -2.4234173e-02 6.1506067e-04)	9.9968240e+04	2.9379796e+02
4.72674e-05    	(5.1424370e-05 -2.4286175e-02 7.6537637e-04)	9.9968384e+04	2.9379603e+02
4.75751e-05    	(3.5925980e-04 -2.5012657e-02 1.0613060e-03)	9.9968527e+04	2.9379714e+02
4.78828e-05    	(-5.2021737e-06 -2.5215484e-02 8.4177598e-04)	9.9968974e+04	2.9379731e+02
4.81903e-05    	(6.0328307e-04 -2.5275912e-02 1.1058109e-03)	9.9969356e+04	2.9379717e+02
4.84978e-05    	(6.9347370e-04 -2.5436712e-02 1.7516939e-04)	9.9969974e+04	2.9379907e+02
4.88053e-05    	(7.9226370e-04 -2.5463898e-02 6.3426391e-05)	9.9970076e+04	2.9379784e+02
4.91126e-05    	(-1.3564249e-04 -2.6172125e-02 2.4054133e-05)	9.9970031e+04	2.9379731e+02
4.94199e-05    	(3.2842355e-04 -2.6053990e-02 2.5311790e-04)	9.9970295e+04	2.9379715e+02
4.9727e-05     	(8.6482946e-04 -2.6385114e-02 7.4992910e-04)	9.9970827e+04	2.9379990e+02
5.00341e-05    	(5.9629498e-04 -2.6154195e-02 8.9732715e-04)	9.9971155e+04	2.9379797e+02
5.03411e-05    	(4.4100472e-04 -2.6758682e-02 1.2343192e-03)	9.9970756e+04	2.9379708e+02
5.0648e-05     	(-5.0715842e-04 -2.6932636e-02 9.1209248e-04)	9.9971462e+04	2.9379960e+02
5.09548e-05    	(4.9853918e-04 -2.6446203e-02 1.1676752e-03)	9.9971625e+04	2.9379934e+02
5.12615e-05    	(1.1439077e-03 -2.6656025e-02 1.1465468e-03)	9.9972084e+04	2.9379945e+02
5.15681e-05    	(1.1842846e-03 -2.6551691e-02 2.1521176e-04)	9.9971809e+04	2.9379626e+02
5.18746e-05    	(7.8035237e-04 -2.7063497e-02 -9.0431125e-04)	9.9971643e+04	2.9379698e+02
5.2181e-05     	(3.0087679e-04 -2.6854644e-02 -5.8892203e-04)	9.9971786e+04	2.9379632e+02
5.24874e-05    	(1.1062075e-03 -2.7189126e-02 3.5598676e-04)	9.9971570e+04	2.9379651e+02
5.27936e-05    	(6.7253373e-04 -2.7262774e-02 6.7875172e-04)	9.9972131e+04	2.9379745e+02
5.30998e-05    	(8.2171990e-04 -2.7208643e-02 1.1534824e-03)	9.9971719e+04	2.9379468e+02
5.34059e-05    	(2.8277942e-04 -2.7383698e-02 1.3578502e-03)	9.9972193e+04	2.9379617e+02
5.37119e-05    	(9.2105646e-04 -2.7532938e-02 1.0678408e-03)	9.9971776e+04	2.9379391e+02
5.40178e-05    	(7.1948467e-04 -2.7882882e-02 7.8965207e-04)	9.9972220e+04	2.9379498e+02
5.43236e-05    	(-2.7267545e-04 -2.7532130e-02 2.8322871e-04)	9.9972384e+04	2.9379402e+02
5.46294e-05    	(5.8820062e-04 -2.7705747e-02 -3.3209957e-04)	9.9972715e+04	2.9379661e+02
5.4935e-05     	(8.1807234e-04 -2.7476817e-02 5.1207655e-05)	9.9972571e+04	2.9379259e+02
5.52407e-05    	(1.8876426e-03 -2.7817773e-02 -4.6585498e-04)	9.9972758e+04	2.9379576e+02
5.55462e-05    	(1.2045335e-03 -2.7935152e-02 -2.0178624e-04)	9.9973033e+04	2.9379530e+02
5.58517e-05    	(3.3792357e-04 -2.8210232e-02 -5.8190495e-05)	9.9972354e+04	2.9379237e+02
5.61571e-05    	(3.4456263e-04 -2.8623267e-02 1.0168960e-03)	9.9972730e+04	2.9379149e+02
5.64625e-05    	(3.5869119e-04 -2.9044127e-02 1.4348793e-03)	9.9973215e+04	2.9379437e+02
5.67678e-05    	(3.9473035e-04 -2.9365623e-02 9.9260043e-04)	9.9973704e+04	2.9379520e+02
5.7073e-05     	(-8.6394887e-05 -2.9501238e-02 7.9762772e-04)	9.9973673e+04	2.9379264e+02
