# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721138e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
4.01965e-07    	(1.6579731e+01 -1.4059855e-01 -1.4257196e+01)	1.0960174e+05	2.9369256e+02	1.2971413e+00
7.27512e-07    	(1.7706838e+01 -8.1791677e-02 -1.5154327e+01)	1.0958347e+05	2.9367646e+02	1.2969973e+00
1.05663e-06    	(1.7513412e+01 -6.3150828e-02 -1.4928049e+01)	1.0960221e+05	2.9368856e+02	1.2971657e+00
1.38681e-06    	(1.7152392e+01 -6.9429850e-02 -1.4613784e+01)	1.0962245e+05	2.9370178e+02	1.2973468e+00
1.71576e-06    	(1.6621505e+01 -6.0315209e-02 -1.4170581e+01)	1.0964820e+05	2.9371923e+02	1.2975745e+00
2.04805e-06    	(1.6227099e+01 -5.0979649e-02 -1.3829667e+01)	1.0966744e+05	2.9373168e+02	1.2977472e+00
2.37928e-06    	(1.5944595e+01 -2.7000904e-02 -1.3561485e+01)	1.0968221e+05	2.9374070e+02	1.2978820e+00
2.71099e-06    	(1.5761196e+01 -2.2525755e-02 -1.3381312e+01)	1.0969287e+05	2.9374658e+02	1.2979823e+00
3.04407e-06    	(1.5686326e+01 -2.9782143e-02 -1.3308213e+01)	1.0969882e+05	2.9374884e+02	1.2980426e+00
3.37601e-06    	(1.5547947e+01 -1.3730353e-02 -1.3197576e+01)	1.0970742e+05	2.9375315e+02	1.2981254e+00
3.70902e-06    	(1.5471015e+01 -1.7291301e-02 -1.3146234e+01)	1.0971330e+05	2.9375536e+02	1.2981852e+00
4.04262e-06    	(1.5444640e+01 -2.3364595e-02 -1.3140498e+01)	1.0971688e+05	2.9375580e+02	1.2982255e+00
4.375e-06      	(1.5415628e+01 -1.0024155e-02 -1.3129995e+01)	1.0972074e+05	2.9375647e+02	1.2982682e+00
4.70918e-06    	(1.5469773e+01 -1.9265925e-02 -1.3177770e+01)	1.0972146e+05	2.9375473e+02	1.2982845e+00
