# Region type : patch cOutlet
# Faces  :     1592
# Area   :     4.0504348e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.01965e-07    	1.6034570e-08
7.27512e-07    	1.7433662e-08
1.05663e-06    	2.7395520e-08
1.38681e-06    	8.2999987e-08
1.71576e-06    	1.3338609e-07
2.04805e-06    	4.5747418e-07
2.37928e-06    	9.8629069e-07
2.71099e-06    	1.2518484e-06
3.04407e-06    	1.5075008e-06
3.37601e-06    	2.1336366e-06
3.70902e-06    	3.0171165e-06
4.04262e-06    	3.3893043e-06
4.375e-06      	3.5169478e-06
4.70918e-06    	3.5843768e-06
5.0423e-06     	3.5915871e-06
5.37532e-06    	3.5194637e-06
5.70948e-06    	3.4561133e-06
6.04158e-06    	3.3831239e-06
6.37547e-06    	3.2582243e-06
6.7081e-06     	3.1476573e-06
7.04004e-06    	3.0491099e-06
7.37319e-06    	2.9386978e-06
7.70365e-06    	2.8433939e-06
8.03561e-06    	2.7423330e-06
8.36612e-06    	2.6375428e-06
8.69569e-06    	2.5312271e-06
9.02641e-06    	2.3848217e-06
9.35429e-06    	2.2713834e-06
9.68346e-06    	2.1832889e-06
1.00115e-05    	2.0991866e-06
1.03379e-05    	2.0083187e-06
1.06658e-05    	1.9235755e-06
1.0991e-05     	1.8534986e-06
1.13169e-05    	1.7864658e-06
1.16423e-05    	1.7221571e-06
1.19661e-05    	1.6568994e-06
1.22911e-05    	1.5962881e-06
1.26142e-05    	1.5395951e-06
1.29377e-05    	1.4885239e-06
1.32608e-05    	1.4421349e-06
1.3583e-05     	1.3908841e-06
1.3906e-05     	1.3381124e-06
1.42279e-05    	1.2780566e-06
1.45503e-05    	1.2346744e-06
1.48722e-05    	1.1810014e-06
1.5194e-05     	1.1399641e-06
1.55155e-05    	1.0883989e-06
1.58368e-05    	1.0473664e-06
1.61578e-05    	1.0206349e-06
1.64787e-05    	9.9617695e-07
1.67993e-05    	9.6942043e-07
1.71197e-05    	9.4795215e-07
1.74399e-05    	9.4820322e-07
1.77599e-05    	9.4049760e-07
1.80798e-05    	9.5716712e-07
1.83994e-05    	9.6275666e-07
1.87189e-05    	9.8353632e-07
1.90381e-05    	1.0002370e-06
1.93572e-05    	1.0257643e-06
1.9676e-05     	1.0622714e-06
1.99946e-05    	1.0948787e-06
2.0313e-05     	1.1265716e-06
2.06311e-05    	1.1640604e-06
2.09489e-05    	1.1929446e-06
2.12665e-05    	1.2048032e-06
2.15838e-05    	1.2318913e-06
2.19008e-05    	1.2508908e-06
2.22176e-05    	1.2573268e-06
2.2534e-05     	1.2651268e-06
2.28501e-05    	1.2925214e-06
2.31659e-05    	1.3164814e-06
2.34813e-05    	1.3512116e-06
2.37964e-05    	1.4149083e-06
2.41112e-05    	1.4756406e-06
2.44256e-05    	1.5362456e-06
2.47398e-05    	1.5847441e-06
2.50535e-05    	1.6272678e-06
2.5367e-05     	1.6606978e-06
2.56801e-05    	1.7000288e-06
2.5993e-05     	1.7441149e-06
2.63055e-05    	1.7881376e-06
2.66177e-05    	1.8419522e-06
2.69297e-05    	1.9019301e-06
2.72414e-05    	1.9556222e-06
2.75529e-05    	2.0109523e-06
2.78641e-05    	2.0652127e-06
2.81751e-05    	2.1244209e-06
2.84858e-05    	2.1792229e-06
2.87963e-05    	2.2329343e-06
2.91067e-05    	2.2774088e-06
2.94168e-05    	2.3185255e-06
2.97267e-05    	2.3524638e-06
3.00365e-05    	2.3917882e-06
3.0346e-05     	2.4120976e-06
3.06554e-05    	2.4317665e-06
3.09646e-05    	2.4538468e-06
3.12736e-05    	2.4760513e-06
3.15825e-05    	2.4882594e-06
3.18911e-05    	2.5052381e-06
3.21996e-05    	2.5127997e-06
3.2508e-05     	2.5271875e-06
3.28161e-05    	2.5282538e-06
3.31241e-05    	2.5241260e-06
3.34319e-05    	2.5326440e-06
3.37396e-05    	2.5338260e-06
3.40471e-05    	2.5350364e-06
3.43545e-05    	2.5310777e-06
3.46617e-05    	2.5280980e-06
3.49689e-05    	2.5352539e-06
3.52759e-05    	2.5384134e-06
3.55828e-05    	2.5291979e-06
3.58896e-05    	2.5197176e-06
3.61963e-05    	2.5118315e-06
3.6503e-05     	2.5100274e-06
3.68097e-05    	2.5016145e-06
3.71163e-05    	2.4932857e-06
3.7423e-05     	2.4884602e-06
3.77297e-05    	2.4778840e-06
3.80364e-05    	2.4709834e-06
3.83432e-05    	2.4604268e-06
3.865e-05      	2.4446675e-06
3.89569e-05    	2.4367162e-06
3.92639e-05    	2.4236075e-06
3.9571e-05     	2.4148600e-06
3.98783e-05    	2.3914699e-06
4.01856e-05    	2.3702683e-06
4.04931e-05    	2.3554509e-06
4.08006e-05    	2.3519492e-06
4.11083e-05    	2.3327641e-06
4.1416e-05     	2.3178824e-06
4.17238e-05    	2.3044800e-06
4.20317e-05    	2.2963529e-06
4.23396e-05    	2.2865287e-06
4.26476e-05    	2.2651866e-06
4.29556e-05    	2.2557904e-06
4.32637e-05    	2.2597288e-06
4.35718e-05    	2.2629287e-06
4.38799e-05    	2.2594610e-06
4.41879e-05    	2.2561376e-06
4.4496e-05     	2.2609642e-06
4.48041e-05    	2.2684972e-06
4.51121e-05    	2.2697354e-06
4.54201e-05    	2.2777140e-06
4.57281e-05    	2.2825631e-06
4.60361e-05    	2.2947308e-06
4.6344e-05     	2.3104778e-06
4.66519e-05    	2.3219998e-06
4.69597e-05    	2.3413229e-06
4.72674e-05    	2.3572859e-06
4.75751e-05    	2.3845770e-06
4.78828e-05    	2.4026775e-06
4.81903e-05    	2.4195131e-06
4.84978e-05    	2.4417101e-06
4.88053e-05    	2.4599755e-06
4.91126e-05    	2.4884243e-06
4.94199e-05    	2.5022173e-06
4.9727e-05     	2.5259003e-06
5.00341e-05    	2.5415358e-06
5.03411e-05    	2.5685737e-06
5.0648e-05     	2.5871053e-06
5.09548e-05    	2.5898540e-06
5.12615e-05    	2.6101291e-06
5.15681e-05    	2.6246470e-06
5.18746e-05    	2.6462621e-06
5.2181e-05     	2.6534408e-06
5.24874e-05    	2.6696435e-06
5.27936e-05    	2.6860770e-06
5.30998e-05    	2.6979382e-06
5.34059e-05    	2.7160581e-06
5.37119e-05    	2.7299037e-06
5.40178e-05    	2.7497203e-06
5.43236e-05    	2.7569108e-06
5.46294e-05    	2.7768214e-06
5.4935e-05     	2.7941364e-06
5.52407e-05    	2.8221474e-06
5.55462e-05    	2.8467808e-06
5.58517e-05    	2.8715837e-06
5.61571e-05    	2.9029953e-06
5.64625e-05    	2.9354545e-06
5.67678e-05    	2.9685011e-06
5.7073e-05     	2.9984314e-06
5.73782e-05    	3.0383070e-06
5.76833e-05    	3.0764450e-06
5.79884e-05    	3.1155630e-06
5.82934e-05    	3.1547225e-06
5.85983e-05    	3.1876080e-06
5.89032e-05    	3.2354423e-06
5.9208e-05     	3.2744644e-06
5.95127e-05    	3.3206026e-06
5.98174e-05    	3.3513018e-06
6.01219e-05    	3.3888546e-06
6.04265e-05    	3.4343809e-06
6.07309e-05    	3.4679512e-06
6.10353e-05    	3.5074653e-06
6.13396e-05    	3.5423822e-06
6.16438e-05    	3.5745499e-06
6.1948e-05     	3.6155521e-06
6.22521e-05    	3.6484387e-06
6.25561e-05    	3.6868614e-06
6.28601e-05    	3.7114226e-06
6.3164e-05     	3.7431838e-06
6.34678e-05    	3.7733569e-06
6.37716e-05    	3.8113189e-06
6.40753e-05    	3.8485618e-06
6.4379e-05     	3.8695651e-06
6.46826e-05    	3.9122295e-06
6.49862e-05    	3.9456722e-06
6.52898e-05    	3.9823496e-06
6.55933e-05    	4.0223642e-06
6.58968e-05    	4.0594971e-06
6.62003e-05    	4.1003929e-06
6.65037e-05    	4.1439710e-06
6.68072e-05    	4.1852813e-06
6.71107e-05    	4.2292007e-06
6.74142e-05    	4.2716277e-06
6.77177e-05    	4.3227030e-06
6.80212e-05    	4.3659376e-06
6.83247e-05    	4.4112283e-06
6.86283e-05    	4.4646989e-06
6.89319e-05    	4.5124766e-06
6.92356e-05    	4.5652904e-06
6.95393e-05    	4.6111169e-06
6.9843e-05     	4.6602426e-06
7.01468e-05    	4.7072724e-06
7.04506e-05    	4.7627419e-06
7.07545e-05    	4.8188573e-06
7.10585e-05    	4.8696139e-06
7.13625e-05    	4.9174880e-06
7.16666e-05    	4.9698817e-06
7.19707e-05    	5.0125326e-06
7.22749e-05    	5.0562870e-06
7.25791e-05    	5.1058642e-06
7.28834e-05    	5.1432268e-06
7.31878e-05    	5.1891341e-06
7.34921e-05    	5.2321676e-06
7.37966e-05    	5.2875294e-06
7.4101e-05     	5.3291583e-06
7.44055e-05    	5.3698504e-06
7.471e-05      	5.4204133e-06
7.50145e-05    	5.4547614e-06
7.5319e-05     	5.4982236e-06
7.56236e-05    	5.5403950e-06
7.59281e-05    	5.5805503e-06
7.62326e-05    	5.6183619e-06
7.65371e-05    	5.6573565e-06
7.68416e-05    	5.7061447e-06
7.71461e-05    	5.7396709e-06
7.74506e-05    	5.7839772e-06
7.7755e-05     	5.8218273e-06
7.80594e-05    	5.8568482e-06
7.83638e-05    	5.8946634e-06
7.86681e-05    	5.9281056e-06
7.89724e-05    	5.9645482e-06
7.92766e-05    	5.9970461e-06
7.95808e-05    	6.0227323e-06
7.9885e-05     	6.0590081e-06
8.01891e-05    	6.0888156e-06
8.04932e-05    	6.1263637e-06
8.07973e-05    	6.1559022e-06
8.11012e-05    	6.1763900e-06
8.14052e-05    	6.2033393e-06
8.17091e-05    	6.2337068e-06
8.2013e-05     	6.2681174e-06
8.23168e-05    	6.2936897e-06
8.26206e-05    	6.3158353e-06
8.29243e-05    	6.3530370e-06
8.32281e-05    	6.3864751e-06
8.35317e-05    	6.4214454e-06
8.38354e-05    	6.4580975e-06
8.4139e-05     	6.5018228e-06
8.44426e-05    	6.5415946e-06
8.47462e-05    	6.5854933e-06
8.50497e-05    	6.6240066e-06
8.53532e-05    	6.6856152e-06
8.56567e-05    	6.7319474e-06
8.59601e-05    	6.7925711e-06
8.62635e-05    	6.8538958e-06
8.65669e-05    	6.9297029e-06
8.68703e-05    	7.0042401e-06
8.71737e-05    	7.0825214e-06
8.7477e-05     	7.1663325e-06
8.77803e-05    	7.2468809e-06
8.80836e-05    	7.3354199e-06
8.83869e-05    	7.4326419e-06
8.86901e-05    	7.5197103e-06
8.89933e-05    	7.6153128e-06
8.92965e-05    	7.7114527e-06
8.95997e-05    	7.8223515e-06
8.99029e-05    	7.9191899e-06
9.0206e-05     	8.0203469e-06
9.05091e-05    	8.1318764e-06
9.08122e-05    	8.2365290e-06
9.11153e-05    	8.3412159e-06
9.14183e-05    	8.4507896e-06
9.17213e-05    	8.5502647e-06
9.20243e-05    	8.6504500e-06
9.23273e-05    	8.7439159e-06
9.26303e-05    	8.8361672e-06
9.29332e-05    	8.9328853e-06
9.32361e-05    	9.0304091e-06
