# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.01965e-07    	(-2.3160296e-08 4.7444353e-04 7.8839319e-10)	1.0000081e+05	2.9400001e+02
7.27512e-07    	(2.4730443e-08 6.2982592e-04 5.5481769e-08)	1.0000093e+05	2.9399997e+02
1.05663e-06    	(7.0605260e-08 5.7974845e-04 2.0581035e-07)	1.0000092e+05	2.9399992e+02
1.38681e-06    	(7.7822085e-08 4.9747608e-04 3.5816599e-07)	1.0000087e+05	2.9399988e+02
1.71576e-06    	(9.1542288e-08 4.3936321e-04 4.0562488e-07)	1.0000084e+05	2.9399986e+02
2.04805e-06    	(1.3057391e-07 3.9143179e-04 2.7887113e-07)	1.0000081e+05	2.9399983e+02
2.37928e-06    	(1.5062464e-06 3.3476893e-04 1.5966996e-06)	1.0000069e+05	2.9399668e+02
2.71099e-06    	(5.9480228e-05 9.0336232e-04 -1.4566617e-05)	9.9998947e+04	2.9398860e+02
3.04407e-06    	(3.4110861e-05 2.5494609e-03 -3.2712252e-05)	9.9997922e+04	2.9398772e+02
3.37601e-06    	(4.2174954e-05 3.4194287e-03 -1.3221219e-05)	9.9995224e+04	2.9394121e+02
3.70902e-06    	(1.0756027e-05 4.6529079e-03 4.2650437e-05)	9.9975002e+04	2.9379855e+02
4.04262e-06    	(4.9776607e-06 1.2147786e-02 1.0306144e-04)	9.9948481e+04	2.9371935e+02
4.375e-06      	(4.8763940e-06 3.3188583e-02 2.0066143e-04)	9.9926491e+04	2.9365695e+02
4.70918e-06    	(-2.7269276e-04 6.4517185e-02 5.5676356e-04)	9.9914381e+04	2.9362870e+02
5.0423e-06     	(-6.3045910e-04 9.6788220e-02 1.0457220e-03)	9.9909352e+04	2.9361030e+02
5.37532e-06    	(-8.2234532e-04 1.2275360e-01 1.2851219e-03)	9.9906003e+04	2.9360300e+02
5.70948e-06    	(-8.0699829e-04 1.3710893e-01 1.2390308e-03)	9.9902916e+04	2.9361689e+02
6.04158e-06    	(-6.2293009e-04 1.3734216e-01 8.2021198e-04)	9.9900574e+04	2.9363036e+02
6.37547e-06    	(4.1843020e-05 1.2382789e-01 -3.6923469e-04)	9.9891428e+04	2.9361694e+02
6.7081e-06     	(7.3238707e-04 9.8709901e-02 -1.6025025e-03)	9.9878989e+04	2.9357061e+02
7.04004e-06    	(1.4072056e-03 6.8133128e-02 -3.0729527e-03)	9.9857123e+04	2.9351365e+02
7.37319e-06    	(2.4617979e-03 4.3432375e-02 -5.5269408e-03)	9.9834410e+04	2.9345653e+02
7.70365e-06    	(3.6676203e-03 3.3296099e-02 -7.6243388e-03)	9.9811560e+04	2.9337293e+02
8.03561e-06    	(4.2918923e-03 3.7417276e-02 -8.6331597e-03)	9.9791163e+04	2.9332397e+02
8.36612e-06    	(4.3254806e-03 5.3630126e-02 -8.7617935e-03)	9.9778960e+04	2.9329307e+02
8.69569e-06    	(4.0192181e-03 7.4635955e-02 -8.7039578e-03)	9.9777327e+04	2.9331822e+02
9.02641e-06    	(3.7267109e-03 9.3156374e-02 -8.7895612e-03)	9.9785789e+04	2.9336135e+02
9.35429e-06    	(3.5938120e-03 1.0101872e-01 -9.0254917e-03)	9.9794188e+04	2.9338687e+02
9.68346e-06    	(3.6093877e-03 9.3303282e-02 -9.6011177e-03)	9.9795465e+04	2.9339150e+02
1.00115e-05    	(3.8873166e-03 7.2592748e-02 -1.0795168e-02)	9.9789212e+04	2.9336926e+02
1.03379e-05    	(4.0864295e-03 4.7318306e-02 -1.1928840e-02)	9.9772665e+04	2.9330121e+02
1.06658e-05    	(4.1311208e-03 2.6512873e-02 -1.2767150e-02)	9.9751430e+04	2.9323825e+02
1.0991e-05     	(4.1382997e-03 1.9111323e-02 -1.3282490e-02)	9.9732634e+04	2.9319346e+02
1.13169e-05    	(4.1477051e-03 2.3970698e-02 -1.4190306e-02)	9.9725495e+04	2.9318953e+02
