# Region type : patch cOutlet
# Faces  :     1484
# Area   :     4.0504348e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.83925e-07    	(3.6613755e-08 -6.3143124e-04 3.1196375e-07)	1.0000094e+05	2.9400001e+02
8.8826e-07     	(-5.7970086e-08 -4.8771839e-04 2.5634503e-09)	1.0000038e+05	2.9399451e+02
1.29259e-06    	(1.8343317e-04 -4.0191117e-03 1.3513429e-04)	9.9998335e+04	2.9398015e+02
1.69693e-06    	(1.2165727e-03 -7.1041273e-03 9.5419572e-04)	9.9973196e+04	2.9383351e+02
2.10126e-06    	(8.7804086e-04 -3.6519032e-02 5.3589785e-04)	9.9948651e+04	2.9378375e+02
2.5056e-06     	(-3.1003694e-04 -7.5286876e-02 1.6441467e-04)	9.9952107e+04	2.9382915e+02
2.90993e-06    	(-4.0025521e-04 -8.6146486e-02 -1.8805641e-04)	9.9958694e+04	2.9384162e+02
3.31427e-06    	(-1.7373910e-03 -7.8349265e-02 -5.8904752e-04)	9.9951868e+04	2.9380290e+02
3.7186e-06     	(-1.8004471e-03 -7.4010851e-02 -1.9294368e-04)	9.9958375e+04	2.9383633e+02
4.12294e-06    	(-1.2487920e-03 -6.8807877e-02 -2.5164531e-04)	9.9966414e+04	2.9385700e+02
4.52728e-06    	(-8.3989286e-04 -6.1717701e-02 -2.3480184e-04)	9.9969477e+04	2.9386363e+02
4.9316e-06     	(-2.2844381e-04 -5.6709292e-02 -2.4357291e-05)	9.9964882e+04	2.9385031e+02
5.33592e-06    	(8.2957705e-05 -4.9930086e-02 -7.5562934e-04)	9.9958695e+04	2.9384203e+02
5.74025e-06    	(-1.1822216e-03 -4.3887696e-02 -5.5448523e-04)	9.9953863e+04	2.9383760e+02
6.1446e-06     	(-1.0312961e-03 -3.9252245e-02 1.3878705e-04)	9.9949690e+04	2.9383303e+02
6.54898e-06    	(-3.1658246e-04 -3.2817255e-02 -5.4075799e-04)	9.9946379e+04	2.9383362e+02
6.95339e-06    	(-6.8086294e-04 -2.7602894e-02 -1.8701843e-04)	9.9940243e+04	2.9380801e+02
7.35798e-06    	(-2.5091921e-03 -2.7701573e-02 1.1962504e-04)	9.9937445e+04	2.9381110e+02
7.76253e-06    	(-8.7280392e-04 -2.6172595e-02 1.1132051e-03)	9.9938092e+04	2.9381449e+02
8.16708e-06    	(1.6005980e-04 -2.6415833e-02 -7.9388695e-04)	9.9938985e+04	2.9381314e+02
8.57163e-06    	(-1.3671645e-05 -2.5963789e-02 -5.9445361e-04)	9.9941191e+04	2.9382363e+02
8.97618e-06    	(1.0269125e-03 -2.6355358e-02 8.8693981e-04)	9.9943412e+04	2.9382295e+02
9.38073e-06    	(6.6282875e-04 -2.5630644e-02 8.1073959e-04)	9.9944091e+04	2.9382636e+02
9.78526e-06    	(-2.5614894e-04 -2.4902206e-02 1.1062553e-03)	9.9945351e+04	2.9382728e+02
1.01898e-05    	(2.5362131e-04 -2.4857687e-02 1.1182595e-03)	9.9946265e+04	2.9382615e+02
1.05943e-05    	(-9.8981135e-04 -2.4850312e-02 -7.2486238e-04)	9.9946880e+04	2.9382473e+02
1.09989e-05    	(-2.1012775e-03 -2.4961833e-02 -6.8583545e-04)	9.9948171e+04	2.9382909e+02
1.14035e-05    	(-9.1258470e-05 -2.3884611e-02 -8.0527620e-06)	9.9949219e+04	2.9382879e+02
1.1808e-05     	(5.0963958e-04 -2.3643330e-02 2.5924322e-04)	9.9950182e+04	2.9383237e+02
1.22126e-05    	(6.8537110e-04 -2.2428645e-02 -1.1072755e-03)	9.9951165e+04	2.9383205e+02
1.26172e-05    	(7.6359873e-04 -2.1758976e-02 1.0621902e-03)	9.9952035e+04	2.9383269e+02
1.30218e-05    	(-2.8549744e-04 -2.1340572e-02 -7.2268622e-06)	9.9953097e+04	2.9383542e+02
1.34266e-05    	(-6.2407618e-05 -2.0019084e-02 2.1613831e-04)	9.9954150e+04	2.9383492e+02
1.38313e-05    	(-1.3448008e-03 -2.0413380e-02 1.6293142e-04)	9.9953777e+04	2.9383210e+02
1.42361e-05    	(-1.5151315e-03 -2.0092781e-02 -9.0814094e-04)	9.9953815e+04	2.9383096e+02
1.4641e-05     	(-1.4855970e-03 -2.0121220e-02 -1.5404250e-03)	9.9954858e+04	2.9383153e+02
1.50458e-05    	(-1.3752453e-03 -1.9870727e-02 -1.3058296e-03)	9.9955068e+04	2.9383170e+02
1.54506e-05    	(-4.9385424e-05 -1.9239018e-02 5.6852049e-04)	9.9955518e+04	2.9383004e+02
1.58553e-05    	(-3.0291674e-04 -1.8880803e-02 9.1190101e-04)	9.9954985e+04	2.9382812e+02
1.62601e-05    	(1.3544914e-03 -1.8065060e-02 4.3302901e-04)	9.9955852e+04	2.9382754e+02
1.66649e-05    	(4.1394627e-04 -1.7669254e-02 8.2529089e-04)	9.9955089e+04	2.9382462e+02
1.70696e-05    	(-1.1166904e-03 -1.7343704e-02 6.0322018e-05)	9.9954986e+04	2.9382459e+02
1.74743e-05    	(-1.3712127e-03 -1.7061572e-02 -2.5573627e-04)	9.9954208e+04	2.9382063e+02
1.78791e-05    	(-5.3060598e-04 -1.7167764e-02 8.9743411e-04)	9.9954045e+04	2.9382060e+02
1.82838e-05    	(1.2083784e-03 -1.6573450e-02 6.1752274e-04)	9.9954624e+04	2.9382029e+02
1.86885e-05    	(1.0602597e-03 -1.6311818e-02 7.5728527e-04)	9.9953366e+04	2.9381517e+02
1.90933e-05    	(5.3643160e-04 -1.5657674e-02 6.1244307e-04)	9.9954595e+04	2.9381936e+02
1.9498e-05     	(8.4055004e-05 -1.4924328e-02 2.0687685e-04)	9.9953463e+04	2.9381268e+02
1.99027e-05    	(-1.6353829e-03 -1.4981505e-02 3.2856428e-04)	9.9953260e+04	2.9381334e+02
2.03075e-05    	(-1.5062438e-03 -1.4716564e-02 -3.2129473e-04)	9.9952348e+04	2.9380958e+02
2.07124e-05    	(4.8692652e-04 -1.4820014e-02 -4.2362740e-04)	9.9952272e+04	2.9380985e+02
2.11172e-05    	(1.6779571e-03 -1.4496314e-02 -7.2681822e-04)	9.9952555e+04	2.9380962e+02
2.1522e-05     	(9.7435730e-04 -1.4689654e-02 4.1179687e-04)	9.9951900e+04	2.9380417e+02
2.19269e-05    	(1.0992584e-04 -1.4705465e-02 2.5258162e-03)	9.9951178e+04	2.9380003e+02
2.23317e-05    	(-9.3742784e-04 -1.6324492e-02 8.8547751e-04)	9.9948688e+04	2.9379089e+02
2.27365e-05    	(-4.7530271e-04 -1.8835150e-02 3.0495603e-04)	9.9949166e+04	2.9379454e+02
2.31414e-05    	(1.5749288e-04 -2.0637476e-02 -9.9889124e-04)	9.9949511e+04	2.9379336e+02
2.35462e-05    	(-4.6228401e-04 -2.1603366e-02 -9.9785109e-04)	9.9950839e+04	2.9379654e+02
2.3951e-05     	(-1.1057164e-04 -2.0879552e-02 -3.7914990e-04)	9.9951980e+04	2.9379819e+02
2.43559e-05    	(-2.6074138e-04 -2.0796595e-02 6.6193067e-04)	9.9953266e+04	2.9379916e+02
2.47607e-05    	(-8.0525362e-05 -2.1487501e-02 8.7165886e-04)	9.9954249e+04	2.9380077e+02
2.51655e-05    	(2.0614685e-04 -2.1462109e-02 7.4141893e-04)	9.9955405e+04	2.9379945e+02
2.55703e-05    	(-7.1204969e-04 -2.2699062e-02 -7.9956843e-05)	9.9957009e+04	2.9380528e+02
2.59751e-05    	(-1.3101904e-03 -2.2729084e-02 -8.1332449e-04)	9.9958563e+04	2.9380397e+02
2.63799e-05    	(-9.2651475e-04 -2.3509908e-02 -5.2969485e-04)	9.9959675e+04	2.9380577e+02
2.67847e-05    	(-1.3854575e-04 -2.4098469e-02 -3.0227525e-04)	9.9961223e+04	2.9381026e+02
2.71895e-05    	(2.7987774e-04 -2.4195542e-02 3.1593531e-04)	9.9962592e+04	2.9380927e+02
2.75943e-05    	(2.5244698e-04 -2.5472240e-02 9.4660076e-04)	9.9963753e+04	2.9381177e+02
2.79992e-05    	(1.9196109e-05 -2.4919551e-02 5.6826471e-04)	9.9964767e+04	2.9381166e+02
2.84041e-05    	(-2.3416889e-04 -2.5689055e-02 5.6844747e-04)	9.9965478e+04	2.9381157e+02
