# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
4.83925e-07    	(1.7379166e+01 -7.3124658e-03 -1.4940744e+01)	1.0957480e+05	2.9367142e+02	1.2969163e+00
8.8826e-07     	(1.7361083e+01 -4.9012142e-02 -1.4851550e+01)	1.0960361e+05	2.9369078e+02	1.2971725e+00
1.29259e-06    	(1.7059477e+01 -3.1259396e-02 -1.4558552e+01)	1.0962461e+05	2.9370409e+02	1.2973623e+00
1.69693e-06    	(1.6544828e+01 -2.6430602e-02 -1.4120459e+01)	1.0965044e+05	2.9372108e+02	1.2975928e+00
2.10126e-06    	(1.6093474e+01 -3.4486492e-03 -1.3719067e+01)	1.0967295e+05	2.9373552e+02	1.2977953e+00
2.5056e-06     	(1.5844025e+01 1.4867345e-02 -1.3469895e+01)	1.0968673e+05	2.9374329e+02	1.2979241e+00
2.90993e-06    	(1.5705762e+01 1.2882507e-02 -1.3335029e+01)	1.0969596e+05	2.9374758e+02	1.2980144e+00
3.31427e-06    	(1.5549133e+01 1.4376605e-02 -1.3205231e+01)	1.0970591e+05	2.9375242e+02	1.2981108e+00
3.7186e-06     	(1.5446454e+01 1.4865663e-02 -1.3137521e+01)	1.0971342e+05	2.9375538e+02	1.2981864e+00
4.12294e-06    	(1.5400830e+01 2.0195476e-02 -1.3121355e+01)	1.0971843e+05	2.9375644e+02	1.2982411e+00
4.52728e-06    	(1.5393982e+01 2.2791540e-02 -1.3127359e+01)	1.0972200e+05	2.9375640e+02	1.2982836e+00
4.9316e-06     	(1.5451064e+01 3.1236803e-02 -1.3175476e+01)	1.0972339e+05	2.9375469e+02	1.2983076e+00
5.33592e-06    	(1.5525419e+01 2.8286491e-02 -1.3235450e+01)	1.0972416e+05	2.9375249e+02	1.2983263e+00
5.74025e-06    	(1.5660910e+01 2.5304975e-02 -1.3349992e+01)	1.0972250e+05	2.9374845e+02	1.2983245e+00
6.1446e-06     	(1.5873180e+01 2.6357491e-02 -1.3531474e+01)	1.0971761e+05	2.9374194e+02	1.2982955e+00
6.54898e-06    	(1.6152531e+01 1.9378658e-02 -1.3773042e+01)	1.0970962e+05	2.9373305e+02	1.2982402e+00
6.95339e-06    	(1.6535999e+01 1.5650615e-02 -1.4100055e+01)	1.0969689e+05	2.9372053e+02	1.2981449e+00
7.35798e-06    	(1.7008168e+01 1.5664045e-02 -1.4498890e+01)	1.0967960e+05	2.9370453e+02	1.2980110e+00
7.76253e-06    	(1.7559737e+01 1.6098602e-02 -1.4965390e+01)	1.0965775e+05	2.9368502e+02	1.2978385e+00
8.16708e-06    	(1.8175134e+01 1.9677129e-02 -1.5486456e+01)	1.0963177e+05	2.9366236e+02	1.2976311e+00
8.57163e-06    	(1.8843533e+01 2.2912145e-02 -1.6054413e+01)	1.0960196e+05	2.9363675e+02	1.2973912e+00
8.97618e-06    	(1.9544902e+01 2.3494688e-02 -1.6651490e+01)	1.0956914e+05	2.9360884e+02	1.2971259e+00
