# Region type : patch cOutlet
# Faces  :     1484
# Area   :     4.0504348e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.83925e-07    	1.7524353e-08
8.8826e-07     	1.7320021e-08
1.29259e-06    	7.0618348e-08
1.69693e-06    	7.5474242e-08
2.10126e-06    	4.4995585e-07
2.5056e-06     	1.0608163e-06
2.90993e-06    	1.3060918e-06
3.31427e-06    	1.4107664e-06
3.7186e-06     	2.4012891e-06
4.12294e-06    	3.0708366e-06
4.52728e-06    	3.2798292e-06
4.9316e-06     	3.3975605e-06
5.33592e-06    	3.4131011e-06
5.74025e-06    	3.3548599e-06
6.1446e-06     	3.2759509e-06
6.54898e-06    	3.1425315e-06
6.95339e-06    	2.9818978e-06
7.35798e-06    	2.8546344e-06
7.76253e-06    	2.6873536e-06
8.16708e-06    	2.5638141e-06
8.57163e-06    	2.4349589e-06
8.97618e-06    	2.3329218e-06
9.38073e-06    	2.2265360e-06
9.78526e-06    	2.1216408e-06
1.01898e-05    	2.0284175e-06
1.05943e-05    	1.9448301e-06
1.09989e-05    	1.8713812e-06
1.14035e-05    	1.7765739e-06
1.1808e-05     	1.7015179e-06
1.22126e-05    	1.6183707e-06
1.26172e-05    	1.5466467e-06
1.30218e-05    	1.4806893e-06
1.34266e-05    	1.4060022e-06
1.38313e-05    	1.3596831e-06
1.42361e-05    	1.3033518e-06
1.4641e-05     	1.2558206e-06
1.50458e-05    	1.2112218e-06
1.54506e-05    	1.1721331e-06
1.58553e-05    	1.1365680e-06
1.62601e-05    	1.1042073e-06
1.66649e-05    	1.0839656e-06
1.70696e-05    	1.0745016e-06
1.74743e-05    	1.0718734e-06
1.78791e-05    	1.0846260e-06
1.82838e-05    	1.0923411e-06
1.86885e-05    	1.1051553e-06
1.90933e-05    	1.1252619e-06
1.9498e-05     	1.1394305e-06
1.99027e-05    	1.1650295e-06
2.03075e-05    	1.1869702e-06
2.07124e-05    	1.2177100e-06
2.11172e-05    	1.2393564e-06
2.1522e-05     	1.2700005e-06
2.19269e-05    	1.2954637e-06
2.23317e-05    	1.3476021e-06
2.27365e-05    	1.4169535e-06
2.31414e-05    	1.4736810e-06
2.35462e-05    	1.5246499e-06
2.3951e-05     	1.5530618e-06
2.43559e-05    	1.5937272e-06
2.47607e-05    	1.6472311e-06
2.51655e-05    	1.6962916e-06
2.55703e-05    	1.7643115e-06
2.59751e-05    	1.8166348e-06
2.63799e-05    	1.8847617e-06
2.67847e-05    	1.9528852e-06
2.71895e-05    	2.0136598e-06
2.75943e-05    	2.0915695e-06
2.79992e-05    	2.1378516e-06
2.84041e-05    	2.2055315e-06
2.8809e-05     	2.2643595e-06
2.92139e-05    	2.3217164e-06
