# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.83925e-07    	-5.0175085e-04
8.8826e-07     	-5.0751227e-04
1.29259e-06    	-5.1257506e-04
1.69693e-06    	-5.0207882e-04
2.10126e-06    	-4.8480759e-04
2.5056e-06     	-4.7492803e-04
2.90993e-06    	-4.7060865e-04
3.31427e-06    	-4.6634142e-04
3.7186e-06     	-4.6429761e-04
4.12294e-06    	-4.6379502e-04
4.52728e-06    	-4.6277310e-04
4.9316e-06     	-4.6402605e-04
5.33592e-06    	-4.6591449e-04
5.74025e-06    	-4.6978701e-04
6.1446e-06     	-4.7711781e-04
6.54898e-06    	-4.8615036e-04
6.95339e-06    	-4.9817419e-04
7.35798e-06    	-5.1266972e-04
7.76253e-06    	-5.2932101e-04
8.16708e-06    	-5.4788649e-04
8.57163e-06    	-5.6800507e-04
8.97618e-06    	-5.8871631e-04
9.38073e-06    	-6.0993762e-04
9.78526e-06    	-6.3098802e-04
1.01898e-05    	-6.5116959e-04
1.05943e-05    	-6.7114043e-04
1.09989e-05    	-6.8972635e-04
1.14035e-05    	-7.0746420e-04
1.1808e-05     	-7.2438058e-04
1.22126e-05    	-7.3963589e-04
1.26172e-05    	-7.5360024e-04
1.30218e-05    	-7.6688448e-04
1.34266e-05    	-7.7830659e-04
1.38313e-05    	-7.8857992e-04
1.42361e-05    	-7.9882606e-04
1.4641e-05     	-8.0800084e-04
1.50458e-05    	-8.1716288e-04
1.54506e-05    	-8.2603212e-04
1.58553e-05    	-8.3471574e-04
1.62601e-05    	-8.4361755e-04
1.66649e-05    	-8.5260985e-04
1.70696e-05    	-8.6172466e-04
1.74743e-05    	-8.7102059e-04
1.78791e-05    	-8.8042485e-04
1.82838e-05    	-8.8994886e-04
1.86885e-05    	-8.9947922e-04
1.90933e-05    	-9.0890082e-04
1.9498e-05     	-9.1822964e-04
1.99027e-05    	-9.2737910e-04
2.03075e-05    	-9.3606578e-04
2.07124e-05    	-9.4468844e-04
2.11172e-05    	-9.5340637e-04
2.1522e-05     	-9.6198554e-04
2.19269e-05    	-9.7065055e-04
2.23317e-05    	-9.7954119e-04
2.27365e-05    	-9.8861804e-04
2.31414e-05    	-9.9794802e-04
2.35462e-05    	-1.0075491e-03
2.3951e-05     	-1.0173890e-03
2.43559e-05    	-1.0274527e-03
2.47607e-05    	-1.0376746e-03
2.51655e-05    	-1.0479773e-03
2.55703e-05    	-1.0582711e-03
2.59751e-05    	-1.0684775e-03
2.63799e-05    	-1.0785126e-03
2.67847e-05    	-1.0882907e-03
2.71895e-05    	-1.0977654e-03
2.75943e-05    	-1.1068593e-03
2.79992e-05    	-1.1155310e-03
2.84041e-05    	-1.1237651e-03
2.8809e-05     	-1.1315534e-03
2.92139e-05    	-1.1389350e-03
2.96187e-05    	-1.1459445e-03
3.00236e-05    	-1.1526320e-03
3.04285e-05    	-1.1590411e-03
3.08334e-05    	-1.1652237e-03
3.12383e-05    	-1.1712617e-03
3.16432e-05    	-1.1771910e-03
3.20481e-05    	-1.1830424e-03
3.2453e-05     	-1.1888220e-03
3.2858e-05     	-1.1945115e-03
3.32629e-05    	-1.2000795e-03
3.36678e-05    	-1.2054637e-03
3.40728e-05    	-1.2105784e-03
3.44777e-05    	-1.2153173e-03
3.48827e-05    	-1.2195626e-03
3.52876e-05    	-1.2231767e-03
3.56926e-05    	-1.2260573e-03
3.60976e-05    	-1.2281047e-03
3.65026e-05    	-1.2292172e-03
3.69075e-05    	-1.2293400e-03
3.73125e-05    	-1.2284916e-03
3.77175e-05    	-1.2267467e-03
3.81225e-05    	-1.2242390e-03
3.85274e-05    	-1.2211220e-03
3.89324e-05    	-1.2175753e-03
3.93374e-05    	-1.2137896e-03
3.97423e-05    	-1.2099454e-03
4.01473e-05    	-1.2062162e-03
4.05523e-05    	-1.2027534e-03
4.09572e-05    	-1.1996700e-03
4.13622e-05    	-1.1970398e-03
4.17672e-05    	-1.1949026e-03
4.21722e-05    	-1.1932611e-03
4.25771e-05    	-1.1920749e-03
4.29821e-05    	-1.1912866e-03
4.33871e-05    	-1.1908273e-03
4.37921e-05    	-1.1906307e-03
4.41971e-05    	-1.1906305e-03
4.4602e-05     	-1.1907705e-03
4.5007e-05     	-1.1909987e-03
4.5412e-05     	-1.1912879e-03
4.5817e-05     	-1.1916299e-03
4.6222e-05     	-1.1920367e-03
4.6627e-05     	-1.1925310e-03
4.70319e-05    	-1.1931428e-03
4.74369e-05    	-1.1939064e-03
4.78419e-05    	-1.1948544e-03
4.82469e-05    	-1.1960217e-03
4.86519e-05    	-1.1974369e-03
4.90569e-05    	-1.1991181e-03
4.94618e-05    	-1.2010693e-03
4.98668e-05    	-1.2032686e-03
5.02718e-05    	-1.2056962e-03
5.06768e-05    	-1.2083244e-03
5.10818e-05    	-1.2111254e-03
5.14868e-05    	-1.2140641e-03
5.18918e-05    	-1.2171067e-03
5.22967e-05    	-1.2202169e-03
5.27017e-05    	-1.2233542e-03
5.31067e-05    	-1.2264786e-03
5.35117e-05    	-1.2295598e-03
5.39167e-05    	-1.2325717e-03
5.43217e-05    	-1.2354900e-03
5.47266e-05    	-1.2382969e-03
5.51316e-05    	-1.2409787e-03
5.55366e-05    	-1.2435287e-03
5.59416e-05    	-1.2459533e-03
5.63466e-05    	-1.2482638e-03
5.67516e-05    	-1.2504764e-03
5.71566e-05    	-1.2526118e-03
5.75615e-05    	-1.2546930e-03
5.79665e-05    	-1.2567462e-03
5.83715e-05    	-1.2587977e-03
5.87765e-05    	-1.2608701e-03
5.91815e-05    	-1.2629828e-03
5.95865e-05    	-1.2651508e-03
5.99914e-05    	-1.2673833e-03
6.03964e-05    	-1.2696817e-03
6.08014e-05    	-1.2720384e-03
6.12064e-05    	-1.2744429e-03
6.16114e-05    	-1.2768803e-03
6.20164e-05    	-1.2793284e-03
6.24214e-05    	-1.2817593e-03
6.28263e-05    	-1.2841424e-03
6.32313e-05    	-1.2864415e-03
6.36363e-05    	-1.2886270e-03
6.40413e-05    	-1.2906618e-03
6.44463e-05    	-1.2925183e-03
6.48513e-05    	-1.2941724e-03
6.52563e-05    	-1.2956058e-03
6.56613e-05    	-1.2967998e-03
