# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.83925e-07    	4.3885531e-08
8.8826e-07     	5.2995909e-08
1.29259e-06    	4.5796530e-08
1.69693e-06    	3.9325108e-08
2.10126e-06    	3.4416047e-08
2.5056e-06     	3.1642056e-08
2.90993e-06    	1.6129369e-07
3.31427e-06    	3.0121252e-07
3.7186e-06     	3.7724328e-07
4.12294e-06    	9.4112137e-07
4.52728e-06    	2.9318462e-06
4.9316e-06     	5.8319646e-06
5.33592e-06    	8.3701551e-06
5.74025e-06    	9.8110327e-06
6.1446e-06     	9.9188464e-06
6.54898e-06    	8.8737312e-06
6.95339e-06    	6.9697527e-06
7.35798e-06    	4.9635008e-06
7.76253e-06    	3.9355845e-06
8.16708e-06    	4.1852274e-06
8.57163e-06    	5.7473453e-06
8.97618e-06    	7.6437473e-06
9.38073e-06    	8.9600481e-06
9.78526e-06    	8.6735887e-06
1.01898e-05    	6.8907324e-06
1.05943e-05    	4.5935817e-06
1.09989e-05    	3.1088012e-06
1.14035e-05    	3.1693763e-06
1.1808e-05     	4.2719058e-06
1.22126e-05    	5.4939624e-06
1.26172e-05    	5.9520719e-06
1.30218e-05    	5.2849099e-06
1.34266e-05    	4.1389276e-06
1.38313e-05    	3.3609051e-06
1.42361e-05    	3.3528804e-06
1.4641e-05     	4.0804819e-06
1.50458e-05    	5.0220384e-06
1.54506e-05    	5.6031880e-06
1.58553e-05    	5.5822987e-06
1.62601e-05    	5.1328686e-06
1.66649e-05    	4.8290509e-06
1.70696e-05    	5.0217784e-06
1.74743e-05    	5.5711791e-06
1.78791e-05    	6.1824634e-06
1.82838e-05    	6.4949550e-06
1.86885e-05    	6.5053872e-06
1.90933e-05    	6.4528547e-06
1.9498e-05     	6.5455887e-06
1.99027e-05    	6.8612252e-06
2.03075e-05    	7.3683967e-06
2.07124e-05    	7.8375503e-06
2.11172e-05    	8.0163169e-06
2.1522e-05     	7.9549349e-06
2.19269e-05    	7.9521175e-06
2.23317e-05    	8.1553142e-06
2.27365e-05    	8.5328316e-06
2.31414e-05    	8.9747451e-06
2.35462e-05    	9.3381061e-06
2.3951e-05     	9.5962879e-06
2.43559e-05    	9.7376418e-06
2.47607e-05    	9.9052830e-06
2.51655e-05    	1.0123098e-05
2.55703e-05    	1.0359690e-05
2.59751e-05    	1.0586966e-05
2.63799e-05    	1.0812633e-05
2.67847e-05    	1.1030207e-05
2.71895e-05    	1.1233442e-05
2.75943e-05    	1.1384121e-05
2.79992e-05    	1.1479139e-05
2.84041e-05    	1.1498098e-05
2.8809e-05     	1.1501223e-05
2.92139e-05    	1.1506539e-05
2.96187e-05    	1.1491247e-05
3.00236e-05    	1.1450956e-05
3.04285e-05    	1.1338322e-05
3.08334e-05    	1.1171062e-05
3.12383e-05    	1.0978873e-05
3.16432e-05    	1.0767825e-05
3.20481e-05    	1.0558240e-05
3.2453e-05     	1.0324485e-05
3.2858e-05     	1.0096893e-05
3.32629e-05    	9.8649101e-06
3.36678e-05    	9.6087038e-06
3.40728e-05    	9.3379042e-06
3.44777e-05    	9.0831529e-06
3.48827e-05    	8.8381368e-06
3.52876e-05    	8.6346178e-06
3.56926e-05    	8.4107682e-06
3.60976e-05    	8.1853659e-06
3.65026e-05    	7.9854435e-06
3.69075e-05    	7.7992326e-06
3.73125e-05    	7.6167989e-06
3.77175e-05    	7.4539227e-06
3.81225e-05    	7.2721382e-06
3.85274e-05    	7.0940289e-06
3.89324e-05    	6.9227849e-06
3.93374e-05    	6.7452682e-06
3.97423e-05    	6.5705559e-06
4.01473e-05    	6.3987990e-06
4.05523e-05    	6.2141208e-06
4.09572e-05    	6.0286671e-06
4.13622e-05    	5.8399636e-06
4.17672e-05    	5.6579631e-06
4.21722e-05    	5.4689044e-06
4.25771e-05    	5.2758551e-06
4.29821e-05    	5.0797763e-06
