# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.83925e-07    	(-3.3281188e-10 5.5235845e-04 2.8597565e-08)	1.0000086e+05	2.9400001e+02
8.8826e-07     	(5.6228819e-08 6.2977358e-04 1.2875943e-07)	1.0000093e+05	2.9399995e+02
1.29259e-06    	(7.0173641e-08 5.2977178e-04 3.3618088e-07)	1.0000088e+05	2.9399989e+02
1.69693e-06    	(7.7601811e-08 4.5101253e-04 4.3168164e-07)	1.0000084e+05	2.9399985e+02
2.10126e-06    	(1.2972231e-07 3.9085333e-04 2.6641063e-07)	1.0000081e+05	2.9399982e+02
2.5056e-06     	(2.0802086e-05 3.8488095e-04 -2.0771793e-05)	1.0000011e+05	2.9399427e+02
2.90993e-06    	(6.8245126e-05 2.0026729e-03 -8.4742193e-06)	9.9997698e+04	2.9398833e+02
3.31427e-06    	(3.9674494e-05 3.4891346e-03 -2.2265620e-05)	9.9996770e+04	2.9396475e+02
3.7186e-06     	(-5.4507530e-06 4.8267572e-03 3.5634373e-05)	9.9977098e+04	2.9381310e+02
4.12294e-06    	(1.1893426e-04 1.4522335e-02 -1.5227431e-05)	9.9947608e+04	2.9372309e+02
4.52728e-06    	(1.4959299e-04 4.2450575e-02 3.3725249e-05)	9.9925186e+04	2.9365709e+02
4.9316e-06     	(-5.7058564e-04 8.0100987e-02 5.0213512e-04)	9.9915802e+04	2.9363448e+02
5.33592e-06    	(-1.0746072e-03 1.1291864e-01 7.5900180e-04)	9.9911543e+04	2.9361951e+02
5.74025e-06    	(-1.1534399e-03 1.3085372e-01 6.7380399e-04)	9.9905990e+04	2.9361831e+02
6.1446e-06     	(-5.4399277e-04 1.3005717e-01 2.8044878e-04)	9.9900253e+04	2.9363158e+02
6.54898e-06    	(4.1356778e-04 1.1259305e-01 -9.9700295e-04)	9.9889130e+04	2.9361494e+02
6.95339e-06    	(8.9508966e-04 8.1773125e-02 -2.2736074e-03)	9.9870609e+04	2.9354936e+02
7.35798e-06    	(1.5179975e-03 5.0539455e-02 -4.7459255e-03)	9.9843344e+04	2.9347838e+02
7.76253e-06    	(2.9465776e-03 3.5554475e-02 -7.8902222e-03)	9.9815857e+04	2.9339043e+02
8.16708e-06    	(3.7346906e-03 4.0674061e-02 -9.2461153e-03)	9.9792518e+04	2.9333164e+02
8.57163e-06    	(3.5565901e-03 6.2240411e-02 -9.2599178e-03)	9.9779904e+04	2.9330663e+02
8.97618e-06    	(3.2051985e-03 8.6670916e-02 -9.1196476e-03)	9.9783154e+04	2.9334926e+02
9.38073e-06    	(3.2162587e-03 1.0147277e-01 -9.3334981e-03)	9.9793770e+04	2.9338449e+02
9.78526e-06    	(3.1269263e-03 9.4423467e-02 -1.0025120e-02)	9.9796244e+04	2.9339609e+02
1.01898e-05    	(3.0700559e-03 6.8490197e-02 -1.1261871e-02)	9.9787895e+04	2.9336183e+02
1.05943e-05    	(3.0878419e-03 3.8035142e-02 -1.2251018e-02)	9.9764687e+04	2.9328109e+02
1.09989e-05    	(2.8259751e-03 2.0384652e-02 -1.3006703e-02)	9.9738818e+04	2.9320517e+02
1.14035e-05    	(2.8792871e-03 2.3077571e-02 -1.4094720e-02)	9.9726282e+04	2.9319137e+02
1.1808e-05     	(3.3420521e-03 3.8241019e-02 -1.5938245e-02)	9.9730563e+04	2.9321076e+02
1.22126e-05    	(4.0431227e-03 5.3133886e-02 -1.8103369e-02)	9.9741206e+04	2.9324044e+02
1.26172e-05    	(4.8710339e-03 5.5926603e-02 -2.0418496e-02)	9.9747794e+04	2.9325127e+02
1.30218e-05    	(5.8112154e-03 4.3705655e-02 -2.3246281e-02)	9.9744487e+04	2.9323053e+02
1.34266e-05    	(6.5268757e-03 2.6536783e-02 -2.5328557e-02)	9.9731099e+04	2.9318849e+02
1.38313e-05    	(6.9912631e-03 1.5756723e-02 -2.7078286e-02)	9.9718132e+04	2.9315026e+02
1.42361e-05    	(7.2737149e-03 1.5850899e-02 -2.8565272e-02)	9.9711612e+04	2.9313042e+02
1.4641e-05     	(7.3221276e-03 2.5017357e-02 -2.9601966e-02)	9.9713248e+04	2.9313885e+02
1.50458e-05    	(7.6773062e-03 3.5673144e-02 -3.0411898e-02)	9.9721356e+04	2.9315961e+02
1.54506e-05    	(8.5276126e-03 4.0754581e-02 -3.1183462e-02)	9.9729184e+04	2.9317688e+02
1.58553e-05    	(9.5720714e-03 3.7358010e-02 -3.2130980e-02)	9.9732387e+04	2.9317788e+02
1.62601e-05    	(1.0390200e-02 2.9303155e-02 -3.2845766e-02)	9.9728197e+04	2.9315198e+02
1.66649e-05    	(1.0888972e-02 2.3603573e-02 -3.3562184e-02)	9.9722067e+04	2.9313229e+02
1.70696e-05    	(1.1515416e-02 2.4422109e-02 -3.4601716e-02)	9.9720595e+04	2.9312631e+02
1.74743e-05    	(1.2263540e-02 2.9905812e-02 -3.5644564e-02)	9.9724581e+04	2.9313551e+02
1.78791e-05    	(1.2916335e-02 3.5443786e-02 -3.6429073e-02)	9.9731678e+04	2.9314968e+02
1.82838e-05    	(1.3367812e-02 3.6654450e-02 -3.6917019e-02)	9.9737857e+04	2.9315762e+02
1.86885e-05    	(1.3594954e-02 3.3862479e-02 -3.6866388e-02)	9.9739560e+04	2.9314761e+02
1.90933e-05    	(1.3392739e-02 3.0521818e-02 -3.6145862e-02)	9.9737752e+04	2.9313237e+02
1.9498e-05     	(1.2738769e-02 2.9392700e-02 -3.5134574e-02)	9.9736471e+04	2.9312557e+02
1.99027e-05    	(1.2192402e-02 3.1412510e-02 -3.4164857e-02)	9.9738173e+04	2.9312519e+02
2.03075e-05    	(1.1948706e-02 3.5625149e-02 -3.3619066e-02)	9.9742775e+04	2.9313247e+02
2.07124e-05    	(1.1986320e-02 3.8766379e-02 -3.3035912e-02)	9.9748744e+04	2.9314315e+02
2.11172e-05    	(1.1964772e-02 3.8038915e-02 -3.1973667e-02)	9.9752838e+04	2.9314512e+02
2.1522e-05     	(1.1974839e-02 3.4635321e-02 -3.0856826e-02)	9.9754049e+04	2.9313936e+02
2.19269e-05    	(1.1965662e-02 3.2224980e-02 -3.0296146e-02)	9.9754002e+04	2.9313103e+02
2.23317e-05    	(1.1945387e-02 3.2608521e-02 -2.9828769e-02)	9.9754864e+04	2.9312617e+02
2.27365e-05    	(1.1933642e-02 3.5288510e-02 -2.9143605e-02)	9.9757716e+04	2.9312817e+02
2.31414e-05    	(1.1897158e-02 3.8681652e-02 -2.8303117e-02)	9.9761986e+04	2.9313047e+02
2.35462e-05    	(1.1662227e-02 4.0876731e-02 -2.7347070e-02)	9.9765364e+04	2.9312963e+02
2.3951e-05     	(1.1348932e-02 4.1347389e-02 -2.6477636e-02)	9.9767944e+04	2.9312761e+02
2.43559e-05    	(1.1016089e-02 4.0742527e-02 -2.5579094e-02)	9.9769550e+04	2.9312580e+02
2.47607e-05    	(1.0596182e-02 4.0405207e-02 -2.4147955e-02)	9.9771435e+04	2.9312375e+02
2.51655e-05    	(1.0193078e-02 4.0862448e-02 -2.2287502e-02)	9.9773471e+04	2.9312264e+02
2.55703e-05    	(9.8395394e-03 4.1639875e-02 -2.0233311e-02)	9.9775140e+04	2.9311984e+02
2.59751e-05    	(9.4042724e-03 4.2300245e-02 -1.8341246e-02)	9.9776246e+04	2.9311412e+02
2.63799e-05    	(9.1480582e-03 4.2874120e-02 -1.6966638e-02)	9.9776504e+04	2.9310780e+02
2.67847e-05    	(8.7049780e-03 4.3485356e-02 -1.5881745e-02)	9.9777258e+04	2.9310542e+02
2.71895e-05    	(8.1989087e-03 4.3824807e-02 -1.4839753e-02)	9.9778384e+04	2.9310416e+02
2.75943e-05    	(7.7430153e-03 4.3651883e-02 -1.3657322e-02)	9.9779707e+04	2.9310268e+02
2.79992e-05    	(7.3094418e-03 4.2899568e-02 -1.2592188e-02)	9.9780624e+04	2.9309987e+02
2.84041e-05    	(6.9722996e-03 4.1420656e-02 -1.1637613e-02)	9.9780740e+04	2.9309479e+02
2.8809e-05     	(6.4384619e-03 3.9992049e-02 -1.1010168e-02)	9.9779810e+04	2.9308521e+02
2.92139e-05    	(5.7869981e-03 3.8945383e-02 -1.0417827e-02)	9.9779323e+04	2.9308399e+02
2.96187e-05    	(5.3190629e-03 3.7964523e-02 -9.6070639e-03)	9.9780004e+04	2.9308327e+02
3.00236e-05    	(4.9750418e-03 3.6763008e-02 -8.6382998e-03)	9.9781002e+04	2.9308307e+02
3.04285e-05    	(4.6736249e-03 3.5056267e-02 -7.5884775e-03)	9.9781574e+04	2.9308198e+02
3.08334e-05    	(4.3309639e-03 3.2666658e-02 -6.5973147e-03)	9.9781387e+04	2.9307881e+02
3.12383e-05    	(4.1144701e-03 3.0035968e-02 -5.8049783e-03)	9.9780854e+04	2.9307488e+02
3.16432e-05    	(3.8915129e-03 2.7763527e-02 -5.1175953e-03)	9.9780306e+04	2.9307280e+02
3.20481e-05    	(3.7201563e-03 2.5719076e-02 -4.5320980e-03)	9.9780302e+04	2.9307192e+02
3.2453e-05     	(3.4658165e-03 2.3579947e-02 -3.9126903e-03)	9.9780311e+04	2.9307038e+02
3.2858e-05     	(3.1258095e-03 2.1504023e-02 -3.2066468e-03)	9.9780379e+04	2.9306939e+02
3.32629e-05    	(2.8816377e-03 1.9375430e-02 -2.4759531e-03)	9.9780501e+04	2.9306859e+02
3.36678e-05    	(2.6621102e-03 1.7030009e-02 -1.8137038e-03)	9.9780460e+04	2.9306708e+02
3.40728e-05    	(2.4985766e-03 1.4689918e-02 -1.3245126e-03)	9.9780279e+04	2.9306549e+02
3.44777e-05    	(2.3099320e-03 1.2622462e-02 -9.6103440e-04)	9.9780253e+04	2.9306492e+02
3.48827e-05    	(2.0840715e-03 1.0655208e-02 -6.0108581e-04)	9.9780339e+04	2.9306397e+02
3.52876e-05    	(1.8040182e-03 8.9034848e-03 -7.4512387e-05)	9.9780557e+04	2.9306347e+02
3.56926e-05    	(1.5266173e-03 7.0878907e-03 6.4680462e-04)	9.9780738e+04	2.9306278e+02
3.60976e-05    	(1.2829248e-03 5.3148663e-03 1.3261937e-03)	9.9781053e+04	2.9306236e+02
3.65026e-05    	(1.0378507e-03 3.7810483e-03 1.8809812e-03)	9.9781239e+04	2.9306141e+02
3.69075e-05    	(7.7841948e-04 2.4077341e-03 2.3625542e-03)	9.9781564e+04	2.9306095e+02
3.73125e-05    	(5.0960242e-04 1.1095922e-03 2.8725875e-03)	9.9781967e+04	2.9306060e+02
3.77175e-05    	(2.4425244e-04 -1.1540506e-04 3.5018064e-03)	9.9782432e+04	2.9306017e+02
3.81225e-05    	(-5.0473289e-05 -1.3758539e-03 4.2271489e-03)	9.9782867e+04	2.9305989e+02
3.85274e-05    	(-3.6110419e-04 -2.5299595e-03 4.9342757e-03)	9.9783331e+04	2.9305964e+02
3.89324e-05    	(-6.7452674e-04 -3.6077782e-03 5.5726815e-03)	9.9783868e+04	2.9305971e+02
3.93374e-05    	(-9.6401524e-04 -4.7167209e-03 6.2019736e-03)	9.9784392e+04	2.9305955e+02
3.97423e-05    	(-1.2754005e-03 -5.8394257e-03 6.8719073e-03)	9.9784897e+04	2.9305945e+02
4.01473e-05    	(-1.5954621e-03 -6.9247575e-03 7.5546216e-03)	9.9785388e+04	2.9305904e+02
4.05523e-05    	(-1.9079040e-03 -8.0335935e-03 8.2906809e-03)	9.9785853e+04	2.9305904e+02
4.09572e-05    	(-2.2180915e-03 -9.0834852e-03 9.0465749e-03)	9.9786354e+04	2.9305888e+02
4.13622e-05    	(-2.5273332e-03 -1.0103739e-02 9.7682085e-03)	9.9786923e+04	2.9305898e+02
4.17672e-05    	(-2.8249390e-03 -1.1083467e-02 1.0467879e-02)	9.9787580e+04	2.9305913e+02
4.21722e-05    	(-3.1178876e-03 -1.2111041e-02 1.1169574e-02)	9.9788132e+04	2.9305880e+02
4.25771e-05    	(-3.4267981e-03 -1.3153853e-02 1.1852654e-02)	9.9788638e+04	2.9305876e+02
4.29821e-05    	(-3.7341229e-03 -1.4153602e-02 1.2539688e-02)	9.9789188e+04	2.9305851e+02
4.33871e-05    	(-4.0291196e-03 -1.5010505e-02 1.3258240e-02)	9.9789842e+04	2.9305860e+02
4.37921e-05    	(-4.2952845e-03 -1.5776548e-02 1.3966184e-02)	9.9790562e+04	2.9305876e+02
4.41971e-05    	(-4.5645469e-03 -1.6505915e-02 1.4635567e-02)	9.9791285e+04	2.9305887e+02
4.4602e-05     	(-4.8725775e-03 -1.7200157e-02 1.5299917e-02)	9.9792099e+04	2.9305921e+02
4.5007e-05     	(-5.1881258e-03 -1.7921839e-02 1.5950706e-02)	9.9792855e+04	2.9305901e+02
4.5412e-05     	(-5.5070911e-03 -1.8557266e-02 1.6606384e-02)	9.9793594e+04	2.9305921e+02
4.5817e-05     	(-5.7979589e-03 -1.9038786e-02 1.7279626e-02)	9.9794411e+04	2.9305920e+02
4.6222e-05     	(-6.0570299e-03 -1.9412936e-02 1.8008392e-02)	9.9795356e+04	2.9305974e+02
4.6627e-05     	(-6.3408990e-03 -1.9752063e-02 1.8681573e-02)	9.9796323e+04	2.9305993e+02
4.70319e-05    	(-6.6488065e-03 -2.0110505e-02 1.9287487e-02)	9.9797187e+04	2.9305973e+02
4.74369e-05    	(-6.9520339e-03 -2.0445897e-02 1.9877129e-02)	9.9798044e+04	2.9305926e+02
4.78419e-05    	(-7.2237092e-03 -2.0620866e-02 2.0460418e-02)	9.9798971e+04	2.9305995e+02
4.82469e-05    	(-7.4484172e-03 -2.0684676e-02 2.1061724e-02)	9.9800106e+04	2.9306055e+02
4.86519e-05    	(-7.6608280e-03 -2.0759801e-02 2.1644119e-02)	9.9801217e+04	2.9306078e+02
4.90569e-05    	(-7.9091659e-03 -2.0985401e-02 2.2160299e-02)	9.9802107e+04	2.9306040e+02
4.94618e-05    	(-8.1749535e-03 -2.1136937e-02 2.2633342e-02)	9.9802982e+04	2.9306004e+02
4.98668e-05    	(-8.4119951e-03 -2.1051441e-02 2.3074334e-02)	9.9803976e+04	2.9306062e+02
5.02718e-05    	(-8.6009155e-03 -2.0790416e-02 2.3517072e-02)	9.9805311e+04	2.9306173e+02
5.06768e-05    	(-8.7586804e-03 -2.0564024e-02 2.3935736e-02)	9.9806690e+04	2.9306235e+02
5.10818e-05    	(-8.9257075e-03 -2.0550726e-02 2.4320454e-02)	9.9807712e+04	2.9306180e+02
5.14868e-05    	(-9.0973012e-03 -2.0548047e-02 2.4644829e-02)	9.9808636e+04	2.9306127e+02
5.18918e-05    	(-9.2857203e-03 -2.0249483e-02 2.4941257e-02)	9.9809768e+04	2.9306173e+02
5.22967e-05    	(-9.4540730e-03 -1.9664636e-02 2.5223176e-02)	9.9811176e+04	2.9306289e+02
5.27017e-05    	(-9.5810094e-03 -1.9071846e-02 2.5475671e-02)	9.9812800e+04	2.9306398e+02
5.31067e-05    	(-9.6959306e-03 -1.8690584e-02 2.5696295e-02)	9.9814235e+04	2.9306408e+02
5.35117e-05    	(-9.8029290e-03 -1.8548533e-02 2.5883151e-02)	9.9815369e+04	2.9306359e+02
5.39167e-05    	(-9.9206228e-03 -1.8320070e-02 2.6025284e-02)	9.9816553e+04	2.9306366e+02
5.43217e-05    	(-1.0036132e-02 -1.7740579e-02 2.6153760e-02)	9.9817908e+04	2.9306423e+02
5.47266e-05    	(-1.0111302e-02 -1.6991611e-02 2.6300098e-02)	9.9819510e+04	2.9306515e+02
5.51316e-05    	(-1.0181746e-02 -1.6361994e-02 2.6421455e-02)	9.9821117e+04	2.9306563e+02
5.55366e-05    	(-1.0242569e-02 -1.5930670e-02 2.6480308e-02)	9.9822507e+04	2.9306542e+02
5.59416e-05    	(-1.0311834e-02 -1.5553407e-02 2.6486887e-02)	9.9823745e+04	2.9306452e+02
5.63466e-05    	(-1.0370765e-02 -1.5012175e-02 2.6454365e-02)	9.9824924e+04	2.9306423e+02
5.67516e-05    	(-1.0404877e-02 -1.4232315e-02 2.6423252e-02)	9.9826378e+04	2.9306433e+02
5.71566e-05    	(-1.0438673e-02 -1.3315755e-02 2.6406062e-02)	9.9828003e+04	2.9306480e+02
5.75615e-05    	(-1.0436584e-02 -1.2510346e-02 2.6436933e-02)	9.9829573e+04	2.9306491e+02
5.79665e-05    	(-1.0444584e-02 -1.1917883e-02 2.6392376e-02)	9.9831038e+04	2.9306441e+02
5.83715e-05    	(-1.0447143e-02 -1.1355934e-02 2.6232284e-02)	9.9832317e+04	2.9306342e+02
5.87765e-05    	(-1.0402709e-02 -1.0706779e-02 2.6000738e-02)	9.9833651e+04	2.9306306e+02
5.91815e-05    	(-1.0374771e-02 -9.8834977e-03 2.5843382e-02)	9.9835187e+04	2.9306302e+02
5.95865e-05    	(-1.0372158e-02 -9.0150307e-03 2.5691756e-02)	9.9836731e+04	2.9306274e+02
5.99914e-05    	(-1.0367787e-02 -8.2425356e-03 2.5552684e-02)	9.9838275e+04	2.9306267e+02
6.03964e-05    	(-1.0348831e-02 -7.5516875e-03 2.5336607e-02)	9.9839640e+04	2.9306136e+02
6.08014e-05    	(-1.0257813e-02 -6.8753403e-03 2.5027833e-02)	9.9840885e+04	2.9306075e+02
6.12064e-05    	(-1.0166571e-02 -6.0920164e-03 2.4708756e-02)	9.9842277e+04	2.9306044e+02
6.16114e-05    	(-1.0123304e-02 -5.1848055e-03 2.4453570e-02)	9.9843802e+04	2.9306020e+02
6.20164e-05    	(-1.0090904e-02 -4.3148839e-03 2.4216682e-02)	9.9845204e+04	2.9305928e+02
6.24214e-05    	(-1.0031634e-02 -3.5904528e-03 2.4004293e-02)	9.9846475e+04	2.9305865e+02
6.28263e-05    	(-9.9043639e-03 -2.8554180e-03 2.3726157e-02)	9.9847760e+04	2.9305776e+02
6.32313e-05    	(-9.7231822e-03 -2.0171877e-03 2.3353781e-02)	9.9849023e+04	2.9305698e+02
