# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
5.01139e-07    	gradP          	0.0000000e+00	(8.3358082e-03 4.4180153e-03 9.8950861e-03)	0	2.4633693e+08	(-1.1517101e-02 4.9424038e-03 8.1813832e-03)	3
9.24638e-07    	gradP          	0.0000000e+00	(7.5747007e-03 7.5240618e-03 8.5078791e-03)	0	1.8069168e+08	(-1.3111489e-02 5.8523630e-03 5.3998992e-03)	3
1.34814e-06    	gradP          	0.0000000e+00	(7.2720060e-03 3.2225902e-03 9.6129720e-03)	0	1.4067761e+08	(-1.3111489e-02 5.8523630e-03 5.3998992e-03)	3
1.77163e-06    	gradP          	0.0000000e+00	(8.3459614e-03 6.4527692e-03 9.9081788e-03)	0	1.3721507e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
2.19513e-06    	gradP          	0.0000000e+00	(5.4699233e-03 7.4610624e-03 8.2772051e-03)	0	1.3935903e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
2.61863e-06    	gradP          	0.0000000e+00	(8.8404378e-03 4.0993611e-03 9.4671163e-03)	0	1.3325067e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
3.04213e-06    	gradP          	0.0000000e+00	(6.8041813e-03 3.2143870e-03 9.9315789e-03)	0	1.3173042e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
3.46563e-06    	gradP          	0.0000000e+00	(6.4956909e-03 3.2427530e-03 8.8291723e-03)	0	1.3133405e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
3.88913e-06    	gradP          	0.0000000e+00	(8.8404589e-03 6.4527856e-03 9.4671385e-03)	0	1.3070789e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
4.31263e-06    	gradP          	0.0000000e+00	(6.6374811e-03 3.4094823e-03 9.2991959e-03)	0	1.2801361e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
4.73612e-06    	gradP          	0.0000000e+00	(8.3459283e-03 6.7665709e-03 9.9081394e-03)	0	1.2479704e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
5.15962e-06    	gradP          	0.0000000e+00	(8.3459283e-03 6.7665709e-03 9.9081394e-03)	0	1.2301698e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
5.58312e-06    	gradP          	0.0000000e+00	(8.3459477e-03 5.9820939e-03 9.9081632e-03)	0	1.2140387e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
6.00662e-06    	gradP          	0.0000000e+00	(8.3459477e-03 5.9820939e-03 9.9081632e-03)	0	1.1972619e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
6.43012e-06    	gradP          	0.0000000e+00	(7.2660596e-03 3.1130804e-03 9.1402609e-03)	0	1.1954546e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
6.85362e-06    	gradP          	0.0000000e+00	(8.8142284e-03 7.6701709e-03 9.4402714e-03)	0	1.2147451e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
7.27712e-06    	gradP          	0.0000000e+00	(8.5124213e-03 4.7269092e-03 9.7637193e-03)	0	1.2569308e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
7.70061e-06    	gradP          	0.0000000e+00	(8.8404378e-03 4.0993611e-03 9.4671163e-03)	0	1.3302220e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
8.12411e-06    	gradP          	0.0000000e+00	(8.3459283e-03 6.7665709e-03 9.9081394e-03)	0	1.4187980e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
8.54761e-06    	gradP          	0.0000000e+00	(8.8404589e-03 6.4527856e-03 9.4671385e-03)	0	1.5056870e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
8.97111e-06    	gradP          	0.0000000e+00	(8.1835462e-03 4.7269025e-03 1.0054530e-02)	0	1.5853816e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
9.39461e-06    	gradP          	0.0000000e+00	(8.5124213e-03 4.7269092e-03 9.7637193e-03)	0	1.6572093e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
9.81811e-06    	gradP          	0.0000000e+00	(8.5124851e-03 6.7665698e-03 9.7637869e-03)	0	1.7212337e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.02416e-05    	gradP          	0.0000000e+00	(8.1835462e-03 4.7269025e-03 1.0054530e-02)	0	1.7796691e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.06651e-05    	gradP          	0.0000000e+00	(6.3247559e-03 3.4783578e-03 8.8249258e-03)	0	1.8363444e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.10886e-05    	gradP          	0.0000000e+00	(8.5124851e-03 6.7665698e-03 9.7637869e-03)	0	1.8864157e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.15121e-05    	gradP          	0.0000000e+00	(8.8404378e-03 4.0993611e-03 9.4671163e-03)	0	1.9303529e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.19356e-05    	gradP          	0.0000000e+00	(7.2584664e-03 7.4705869e-03 8.6667514e-03)	0	1.9700763e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.23591e-05    	gradP          	0.0000000e+00	(7.8930826e-03 7.5989633e-03 7.8906699e-03)	0	2.0066209e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.27826e-05    	gradP          	0.0000000e+00	(6.4870942e-03 3.2408877e-03 8.5129589e-03)	0	2.0379041e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.32061e-05    	gradP          	0.0000000e+00	(8.8142284e-03 7.6701709e-03 9.4402714e-03)	0	2.0611061e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.36296e-05    	gradP          	0.0000000e+00	(7.1058056e-03 7.5948273e-03 8.6717668e-03)	0	2.0757984e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.40531e-05    	gradP          	0.0000000e+00	(8.3459477e-03 5.9820939e-03 9.9081632e-03)	0	2.0785203e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.44766e-05    	gradP          	0.0000000e+00	(7.5781155e-03 7.3828347e-03 8.8359899e-03)	0	2.0757398e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.49001e-05    	gradP          	0.0000000e+00	(8.1834552e-03 7.2371743e-03 1.0054413e-02)	0	2.0712602e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.53236e-05    	gradP          	0.0000000e+00	(8.8404702e-03 5.9820899e-03 9.4671507e-03)	0	2.0671519e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.57471e-05    	gradP          	0.0000000e+00	(8.3459462e-03 6.1389894e-03 9.9081614e-03)	0	2.0650301e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.61706e-05    	gradP          	0.0000000e+00	(8.1834552e-03 7.2371743e-03 1.0054413e-02)	0	2.0687690e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.65941e-05    	gradP          	0.0000000e+00	(8.8142284e-03 7.6701709e-03 9.4402714e-03)	0	2.0789098e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.70176e-05    	gradP          	0.0000000e+00	(8.8142284e-03 7.6701709e-03 9.4402714e-03)	0	2.0952307e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.74411e-05    	gradP          	0.0000000e+00	(8.9728160e-03 7.6700781e-03 9.2858949e-03)	0	2.1177198e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.78646e-05    	gradP          	0.0000000e+00	(8.8142284e-03 7.6701709e-03 9.4402714e-03)	0	2.1445178e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.82881e-05    	gradP          	0.0000000e+00	(8.6963270e-03 7.7207574e-03 8.1786730e-03)	0	2.1735767e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.87116e-05    	gradP          	0.0000000e+00	(9.6642692e-03 5.0388069e-03 8.4260687e-03)	0	2.2054645e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.91351e-05    	gradP          	0.0000000e+00	(1.0054530e-02 5.8251930e-03 8.1835465e-03)	0	2.2398344e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
