# Region type : patch cOutlet
# Faces  :     1874
# Area   :     4.0516941e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.01139e-07    	1.7312544e-08
9.24638e-07    	1.9021700e-08
1.34814e-06    	7.1224458e-08
1.77163e-06    	8.7599396e-08
2.19513e-06    	7.4625860e-07
2.61863e-06    	1.4340030e-06
3.04213e-06    	1.6629619e-06
3.46563e-06    	1.6261724e-06
3.88913e-06    	1.6293469e-06
4.31263e-06    	1.9413206e-06
4.73612e-06    	2.5077418e-06
5.15962e-06    	3.1329577e-06
5.58312e-06    	3.7068593e-06
6.00662e-06    	3.9920914e-06
6.43012e-06    	4.0444779e-06
6.85362e-06    	3.9066033e-06
7.27712e-06    	3.7700465e-06
7.70061e-06    	3.5909920e-06
8.12411e-06    	3.4180435e-06
8.54761e-06    	3.2305132e-06
8.97111e-06    	3.0639896e-06
9.39461e-06    	2.8945212e-06
9.81811e-06    	2.7447006e-06
1.02416e-05    	2.6179366e-06
1.06651e-05    	2.4904400e-06
1.10886e-05    	2.3618499e-06
1.15121e-05    	2.2566113e-06
1.19356e-05    	2.1534961e-06
1.23591e-05    	2.0295449e-06
1.27826e-05    	1.9242866e-06
1.32061e-05    	1.8196570e-06
1.36296e-05    	1.7135942e-06
1.40531e-05    	1.6034626e-06
1.44766e-05    	1.5109728e-06
1.49001e-05    	1.4218417e-06
1.53236e-05    	1.3329941e-06
1.57471e-05    	1.2414904e-06
1.61706e-05    	1.1695766e-06
1.65941e-05    	1.1143879e-06
1.70176e-05    	1.0555874e-06
1.74411e-05    	1.0221012e-06
1.78646e-05    	1.0232433e-06
1.82881e-05    	1.0145435e-06
1.87116e-05    	1.0121778e-06
1.91351e-05    	1.0550347e-06
1.95586e-05    	1.1059321e-06
1.99821e-05    	1.1438375e-06
2.04056e-05    	1.2113975e-06
2.08291e-05    	1.2603661e-06
2.12526e-05    	1.2986878e-06
2.16761e-05    	1.3569098e-06
2.20996e-05    	1.3938098e-06
2.25231e-05    	1.4285669e-06
2.29466e-05    	1.4966044e-06
2.33701e-05    	1.5886941e-06
2.37936e-05    	1.6475769e-06
2.42171e-05    	1.6501481e-06
2.46406e-05    	1.6971309e-06
2.50641e-05    	1.7592185e-06
2.54876e-05    	1.8322929e-06
2.59111e-05    	1.9043514e-06
2.63345e-05    	1.9947510e-06
2.6758e-05     	2.0948884e-06
2.71815e-05    	2.2035585e-06
2.7605e-05     	2.3022486e-06
2.80285e-05    	2.4005958e-06
2.8452e-05     	2.4989618e-06
2.88755e-05    	2.5832431e-06
2.9299e-05     	2.6608534e-06
2.97225e-05    	2.7290229e-06
3.0146e-05     	2.7660279e-06
3.05695e-05    	2.8187989e-06
3.0993e-05     	2.8653401e-06
3.14165e-05    	2.8803484e-06
3.184e-05      	2.8982538e-06
3.22635e-05    	2.8967810e-06
3.2687e-05     	2.9065128e-06
3.31105e-05    	2.9139448e-06
3.3534e-05     	2.9090915e-06
3.39575e-05    	2.9166155e-06
3.43811e-05    	2.9035990e-06
3.48046e-05    	2.8940263e-06
3.52281e-05    	2.8777519e-06
3.56516e-05    	2.8710465e-06
3.60751e-05    	2.8564953e-06
3.64986e-05    	2.8333219e-06
3.69221e-05    	2.8240246e-06
3.73457e-05    	2.7995551e-06
3.77692e-05    	2.7785706e-06
3.81927e-05    	2.7413626e-06
3.86163e-05    	2.7193771e-06
3.90398e-05    	2.6881990e-06
3.94633e-05    	2.6553703e-06
3.98868e-05    	2.6230795e-06
4.03104e-05    	2.5756623e-06
4.07339e-05    	2.5335908e-06
4.11575e-05    	2.4945990e-06
4.1581e-05     	2.4628995e-06
4.20046e-05    	2.4249541e-06
4.24281e-05    	2.3957151e-06
4.26956e-05    	2.3724199e-06
4.29634e-05    	2.3577439e-06
4.32314e-05    	2.3396606e-06
4.34994e-05    	2.3222627e-06
4.37675e-05    	2.3054700e-06
4.40357e-05    	2.2953708e-06
4.43039e-05    	2.2922027e-06
4.4572e-05     	2.2976270e-06
4.48402e-05    	2.3035677e-06
4.51083e-05    	2.2948996e-06
4.53764e-05    	2.2922642e-06
4.56445e-05    	2.2964097e-06
4.59126e-05    	2.3046131e-06
4.61806e-05    	2.3180101e-06
4.64487e-05    	2.3218029e-06
4.67168e-05    	2.3309794e-06
4.69851e-05    	2.3492369e-06
4.72536e-05    	2.3661961e-06
4.75222e-05    	2.3802498e-06
4.77909e-05    	2.3951779e-06
4.80597e-05    	2.4038991e-06
4.83284e-05    	2.4233088e-06
4.85971e-05    	2.4432599e-06
4.88658e-05    	2.4576609e-06
4.91345e-05    	2.4676826e-06
4.94032e-05    	2.4794793e-06
4.96718e-05    	2.4951684e-06
4.99405e-05    	2.5103130e-06
5.02091e-05    	2.5312537e-06
5.04776e-05    	2.5493541e-06
5.07462e-05    	2.5515172e-06
5.10147e-05    	2.5584111e-06
5.12833e-05    	2.5710844e-06
5.15518e-05    	2.5894436e-06
5.18203e-05    	2.6028227e-06
5.20888e-05    	2.6073747e-06
5.23574e-05    	2.6089556e-06
5.26259e-05    	2.6191744e-06
5.28944e-05    	2.6297653e-06
5.31629e-05    	2.6346150e-06
5.34314e-05    	2.6446178e-06
5.36999e-05    	2.6561529e-06
5.39684e-05    	2.6668360e-06
5.4237e-05     	2.6766491e-06
5.45055e-05    	2.6952000e-06
5.47741e-05    	2.7122693e-06
5.50427e-05    	2.7261363e-06
5.53112e-05    	2.7414504e-06
5.55798e-05    	2.7535013e-06
5.58484e-05    	2.7743327e-06
5.59184e-05    	2.7820485e-06
5.59884e-05    	2.7884355e-06
5.60585e-05    	2.7949953e-06
5.61286e-05    	2.8012965e-06
5.61988e-05    	2.8067609e-06
5.62689e-05    	2.8119207e-06
5.63391e-05    	2.8179142e-06
5.64093e-05    	2.8254111e-06
5.64794e-05    	2.8336780e-06
5.65496e-05    	2.8414924e-06
5.66197e-05    	2.8491599e-06
5.66899e-05    	2.8568039e-06
5.67601e-05    	2.8636859e-06
5.68303e-05    	2.8698149e-06
