# Region type : patch cOutlet
# Faces  :     1484
# Area   :     4.0504348e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.82697e-07    	(-1.2286773e-08 -6.3247296e-04 1.1127887e-08)	1.0000094e+05	2.9400001e+02
8.85764e-07    	(-2.6406219e-08 -4.8967760e-04 6.3798515e-08)	1.0000031e+05	2.9399384e+02
1.28883e-06    	(2.8328095e-04 -3.9941367e-03 -2.8916416e-04)	9.9998134e+04	2.9398034e+02
1.6919e-06     	(1.4541025e-03 -7.3154029e-03 -1.4707353e-03)	9.9973532e+04	2.9383584e+02
2.09497e-06    	(2.4717217e-04 -3.5770799e-02 -5.4070234e-04)	9.9947496e+04	2.9378614e+02
2.28068e-06    	(-2.8268695e-04 -5.7772642e-02 5.9248936e-04)	9.9947188e+04	2.9378861e+02
2.4664e-06     	(1.4757465e-04 -7.3197801e-02 8.0256845e-05)	9.9950140e+04	2.9381173e+02
2.65212e-06    	(3.9108252e-04 -8.3408933e-02 -2.8119655e-04)	9.9953052e+04	2.9381455e+02
2.83785e-06    	(-6.9028731e-05 -8.9075234e-02 2.5419675e-04)	9.9954166e+04	2.9381763e+02
3.02358e-06    	(-4.6422530e-04 -8.8881818e-02 6.4271584e-04)	9.9949518e+04	2.9378439e+02
3.20931e-06    	(-8.2329127e-04 -8.5790410e-02 9.6966136e-04)	9.9946554e+04	2.9379234e+02
3.39504e-06    	(-1.1190496e-03 -8.3188931e-02 1.2138947e-03)	9.9950459e+04	2.9381515e+02
3.58079e-06    	(-1.2958450e-03 -8.0241093e-02 1.3342255e-03)	9.9955333e+04	2.9383169e+02
3.76653e-06    	(-1.3972301e-03 -7.7041892e-02 1.4031449e-03)	9.9959369e+04	2.9384213e+02
3.95227e-06    	(-1.4630544e-03 -7.3829068e-02 1.4330484e-03)	9.9962318e+04	2.9384942e+02
4.13801e-06    	(-1.4565400e-03 -7.0412154e-02 1.4190240e-03)	9.9964196e+04	2.9385342e+02
4.32376e-06    	(-1.1462215e-03 -6.6962481e-02 1.1041863e-03)	9.9964986e+04	2.9385638e+02
4.5095e-06     	(-4.5464730e-04 -6.3480014e-02 6.0076641e-04)	9.9963831e+04	2.9385066e+02
4.69524e-06    	(-8.6048838e-05 -6.0970004e-02 2.2952105e-04)	9.9961692e+04	2.9384364e+02
4.881e-06      	(6.3279790e-05 -5.8642152e-02 -5.1977514e-05)	9.9960554e+04	2.9385045e+02
5.06679e-06    	(-1.9510327e-04 -5.4268152e-02 -6.8176218e-05)	9.9957817e+04	2.9384141e+02
5.25257e-06    	(-5.9144050e-04 -5.0234889e-02 1.8857260e-04)	9.9954413e+04	2.9383391e+02
5.43835e-06    	(-5.2046100e-04 -4.7814490e-02 2.1542331e-04)	9.9952395e+04	2.9383741e+02
5.62413e-06    	(-5.3487014e-04 -4.5180774e-02 4.1929774e-04)	9.9949153e+04	2.9383097e+02
5.80991e-06    	(-9.0009729e-04 -4.2699239e-02 6.6558305e-04)	9.9947848e+04	2.9383421e+02
5.99569e-06    	(-4.2883020e-04 -3.8804174e-02 2.5288533e-04)	9.9946952e+04	2.9383636e+02
6.18147e-06    	(-4.8102249e-04 -3.4585264e-02 2.1575495e-04)	9.9944754e+04	2.9382968e+02
6.36725e-06    	(1.7633991e-04 -3.2258933e-02 -6.8442126e-07)	9.9941815e+04	2.9381878e+02
6.55304e-06    	(-1.5435325e-04 -3.0640211e-02 2.9248649e-04)	9.9937808e+04	2.9379312e+02
6.73885e-06    	(-9.9746338e-04 -3.0975586e-02 1.0491545e-03)	9.9930911e+04	2.9378978e+02
6.92463e-06    	(-1.8116260e-03 -3.2996391e-02 1.8227022e-03)	9.9930624e+04	2.9379150e+02
7.11041e-06    	(-1.0546996e-03 -3.3289026e-02 1.1005522e-03)	9.9931440e+04	2.9379748e+02
7.29619e-06    	(3.8684460e-05 -3.3280485e-02 -1.1844252e-04)	9.9932868e+04	2.9380516e+02
7.48197e-06    	(1.1241812e-03 -3.2783236e-02 -1.1957459e-03)	9.9934295e+04	2.9381057e+02
7.66775e-06    	(1.6088013e-03 -3.1936296e-02 -1.8744234e-03)	9.9935290e+04	2.9381083e+02
7.85352e-06    	(1.8664245e-03 -3.1732893e-02 -1.6210460e-03)	9.9935891e+04	2.9381334e+02
8.0393e-06     	(1.8904825e-03 -3.0896098e-02 -1.6147253e-03)	9.9937364e+04	2.9381779e+02
8.22508e-06    	(1.9447649e-03 -2.9696933e-02 -1.6415591e-03)	9.9937807e+04	2.9381408e+02
8.41086e-06    	(1.8394026e-03 -2.9446514e-02 -1.5581977e-03)	9.9938449e+04	2.9381885e+02
8.59664e-06    	(1.7017500e-03 -2.8912331e-02 -1.6896533e-03)	9.9939563e+04	2.9382195e+02
8.69667e-06    	(1.7275689e-03 -2.8511963e-02 -1.5813483e-03)	9.9940310e+04	2.9382322e+02
8.79669e-06    	(1.6788160e-03 -2.7939803e-02 -1.8052341e-03)	9.9940681e+04	2.9382476e+02
8.89672e-06    	(1.7058441e-03 -2.7545560e-02 -1.9882294e-03)	9.9941316e+04	2.9382664e+02
8.99674e-06    	(1.6856535e-03 -2.7181312e-02 -2.0515551e-03)	9.9941921e+04	2.9382779e+02
9.09677e-06    	(1.5320746e-03 -2.6825352e-02 -1.9763356e-03)	9.9942576e+04	2.9382949e+02
9.19679e-06    	(1.3547007e-03 -2.6461551e-02 -1.8713965e-03)	9.9943212e+04	2.9382901e+02
9.29682e-06    	(1.1788786e-03 -2.6088732e-02 -1.7190454e-03)	9.9943709e+04	2.9383152e+02
9.39685e-06    	(1.0523574e-03 -2.5721038e-02 -1.5726238e-03)	9.9943900e+04	2.9382979e+02
9.49687e-06    	(1.1207249e-03 -2.5541105e-02 -1.6536775e-03)	9.9944041e+04	2.9383116e+02
9.5969e-06     	(1.2238744e-03 -2.5500642e-02 -1.5134933e-03)	9.9944407e+04	2.9383167e+02
9.69692e-06    	(1.3318454e-03 -2.5433917e-02 -1.4387769e-03)	9.9944573e+04	2.9382943e+02
9.79695e-06    	(1.1356752e-03 -2.5381387e-02 -1.2111203e-03)	9.9944862e+04	2.9383075e+02
9.89697e-06    	(1.1067072e-03 -2.5163155e-02 -9.3535231e-04)	9.9945072e+04	2.9382925e+02
9.997e-06      	(1.1319133e-03 -2.4963076e-02 -7.5825393e-04)	9.9945095e+04	2.9383141e+02
1.0097e-05     	(1.1494316e-03 -2.4777875e-02 -8.2948030e-04)	9.9945536e+04	2.9383339e+02
1.01971e-05    	(1.0633237e-03 -2.4432629e-02 -9.7991237e-04)	9.9946104e+04	2.9383500e+02
1.02971e-05    	(9.9193659e-04 -2.3935566e-02 -1.0720500e-03)	9.9946636e+04	2.9383639e+02
1.03971e-05    	(9.6142475e-04 -2.3412564e-02 -1.1075612e-03)	9.9946896e+04	2.9383500e+02
1.04971e-05    	(9.8536784e-04 -2.3055955e-02 -1.2213039e-03)	9.9947091e+04	2.9383511e+02
1.05972e-05    	(9.7061594e-04 -2.2837821e-02 -1.3324119e-03)	9.9947099e+04	2.9383528e+02
1.06972e-05    	(1.1742585e-03 -2.2797687e-02 -1.2859864e-03)	9.9947646e+04	2.9383720e+02
1.07972e-05    	(1.0244974e-03 -2.2560823e-02 -1.3728577e-03)	9.9948079e+04	2.9383752e+02
1.08972e-05    	(8.3002621e-04 -2.2219963e-02 -1.2484181e-03)	9.9948036e+04	2.9383578e+02
1.09973e-05    	(7.1357353e-04 -2.2128943e-02 -8.6283505e-04)	9.9948195e+04	2.9383668e+02
1.10973e-05    	(6.5927635e-04 -2.2094427e-02 -5.4571328e-04)	9.9948293e+04	2.9383565e+02
1.11973e-05    	(7.4194227e-04 -2.2054691e-02 -3.7881691e-05)	9.9948366e+04	2.9383609e+02
1.12973e-05    	(6.4020322e-04 -2.1958630e-02 1.4490243e-04)	9.9948495e+04	2.9383402e+02
1.13974e-05    	(4.8101293e-04 -2.1740064e-02 1.3002560e-04)	9.9948525e+04	2.9383476e+02
1.14974e-05    	(3.7262905e-04 -2.1603093e-02 -2.8136055e-06)	9.9948664e+04	2.9383634e+02
1.15974e-05    	(2.9690404e-04 -2.1347017e-02 -4.7353203e-04)	9.9949061e+04	2.9383825e+02
