# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.82697e-07    	4.3857520e-08
8.85764e-07    	5.3071759e-08
1.28883e-06    	4.5917014e-08
1.6919e-06     	3.9428842e-08
2.09497e-06    	3.4530087e-08
2.28068e-06    	3.1639959e-08
2.4664e-06     	3.3177615e-08
2.65212e-06    	5.9300901e-08
2.83785e-06    	1.1785319e-07
3.02358e-06    	1.8423596e-07
3.20931e-06    	2.2153795e-07
3.39504e-06    	2.4775460e-07
3.58079e-06    	2.7967850e-07
3.76653e-06    	3.9304650e-07
3.95227e-06    	7.7659743e-07
4.13801e-06    	1.6215720e-06
4.32376e-06    	2.8957111e-06
4.5095e-06     	4.5324469e-06
4.69524e-06    	6.2618260e-06
4.881e-06      	7.9079489e-06
5.06679e-06    	9.3931738e-06
5.25257e-06    	1.0639804e-05
5.43835e-06    	1.1555154e-05
5.62413e-06    	1.2055978e-05
5.80991e-06    	1.2082703e-05
5.99569e-06    	1.1630259e-05
6.18147e-06    	1.0803971e-05
6.36725e-06    	9.6649731e-06
6.55304e-06    	8.3016161e-06
6.73885e-06    	6.8036881e-06
6.92463e-06    	5.3397978e-06
7.11041e-06    	4.0994933e-06
7.29619e-06    	3.2571613e-06
7.48197e-06    	2.8845373e-06
7.66775e-06    	3.0275785e-06
7.85352e-06    	3.6096997e-06
8.0393e-06     	4.5163550e-06
8.22508e-06    	5.6568486e-06
8.41086e-06    	6.8839945e-06
8.59664e-06    	8.0495998e-06
8.69667e-06    	8.6308264e-06
8.79669e-06    	9.0525590e-06
8.89672e-06    	9.3391085e-06
8.99674e-06    	9.4755893e-06
9.09677e-06    	9.4633970e-06
9.19679e-06    	9.3132311e-06
9.29682e-06    	9.0264060e-06
9.39685e-06    	8.6272454e-06
9.49687e-06    	8.1281388e-06
9.5969e-06     	7.5430000e-06
9.69692e-06    	6.8924371e-06
9.79695e-06    	6.2028939e-06
9.89697e-06    	5.5093693e-06
9.997e-06      	4.8361656e-06
1.0097e-05     	4.2094755e-06
1.01971e-05    	3.6619560e-06
1.02971e-05    	3.2204641e-06
1.03971e-05    	2.9018341e-06
1.04971e-05    	2.6938634e-06
1.05972e-05    	2.5875399e-06
1.06972e-05    	2.5742579e-06
1.07972e-05    	2.6414553e-06
1.08972e-05    	2.7768913e-06
1.09973e-05    	2.9657952e-06
1.10973e-05    	3.1912320e-06
1.11973e-05    	3.4365851e-06
1.12973e-05    	3.6928511e-06
1.13974e-05    	3.9562039e-06
1.14974e-05    	4.2229117e-06
1.15974e-05    	4.4722331e-06
1.16974e-05    	4.6886191e-06
1.17975e-05    	4.8620186e-06
1.18975e-05    	4.9845842e-06
1.19975e-05    	5.0508782e-06
1.20975e-05    	5.0643248e-06
1.21976e-05    	5.0200010e-06
1.22976e-05    	4.9108613e-06
1.23976e-05    	4.7650443e-06
1.24976e-05    	4.5732605e-06
1.25977e-05    	4.3527179e-06
1.26977e-05    	4.1311690e-06
1.27977e-05    	3.9266886e-06
1.28977e-05    	3.7300442e-06
1.29978e-05    	3.5492702e-06
1.30978e-05    	3.3960995e-06
1.31978e-05    	3.2735805e-06
1.32978e-05    	3.1865175e-06
1.33978e-05    	3.1392530e-06
1.34979e-05    	3.1413686e-06
1.35979e-05    	3.1987345e-06
1.36979e-05    	3.3006278e-06
1.37979e-05    	3.4379443e-06
1.38979e-05    	3.6083297e-06
1.39979e-05    	3.8010702e-06
1.40979e-05    	4.0015083e-06
1.4198e-05     	4.2004285e-06
1.4298e-05     	4.3913153e-06
1.4398e-05     	4.5699877e-06
1.4498e-05     	4.7325923e-06
1.4598e-05     	4.8768746e-06
1.4698e-05     	4.9929557e-06
1.4798e-05     	5.0756105e-06
1.48981e-05    	5.1249178e-06
1.49981e-05    	5.1411239e-06
1.50981e-05    	5.1292848e-06
1.51981e-05    	5.0960720e-06
1.52981e-05    	5.0440192e-06
1.53981e-05    	4.9755365e-06
1.54982e-05    	4.8948329e-06
1.55982e-05    	4.8187044e-06
1.56962e-05    	4.7477656e-06
1.57943e-05    	4.6850517e-06
1.58923e-05    	4.6488576e-06
1.59904e-05    	4.6425264e-06
1.60884e-05    	4.6729527e-06
1.61865e-05    	4.7359113e-06
1.62845e-05    	4.8250843e-06
1.63826e-05    	4.9357520e-06
1.64806e-05    	5.0611462e-06
1.65787e-05    	5.1949420e-06
1.66767e-05    	5.3331806e-06
1.67748e-05    	5.4724218e-06
1.68728e-05    	5.6087447e-06
1.69709e-05    	5.7396066e-06
1.70689e-05    	5.8636002e-06
1.7167e-05     	5.9847828e-06
1.7265e-05     	6.0933047e-06
1.73631e-05    	6.1818221e-06
1.74611e-05    	6.2493138e-06
1.75592e-05    	6.2965524e-06
1.76572e-05    	6.3271961e-06
1.77553e-05    	6.3465987e-06
1.78533e-05    	6.3549585e-06
1.79514e-05    	6.3503744e-06
1.80494e-05    	6.3385429e-06
1.81475e-05    	6.3244185e-06
1.82455e-05    	6.3137172e-06
1.83436e-05    	6.3125231e-06
1.84416e-05    	6.3249905e-06
1.85396e-05    	6.3542411e-06
1.86377e-05    	6.4005370e-06
1.87357e-05    	6.4649327e-06
1.88337e-05    	6.5450057e-06
1.89318e-05    	6.6387118e-06
1.90298e-05    	6.7424057e-06
1.91279e-05    	6.8534019e-06
1.92259e-05    	6.9687620e-06
1.93239e-05    	7.0857382e-06
1.9422e-05     	7.2008877e-06
1.952e-05      	7.3120901e-06
1.96181e-05    	7.4189231e-06
1.97161e-05    	7.5189896e-06
1.98141e-05    	7.6072075e-06
1.99122e-05    	7.6815001e-06
2.00102e-05    	7.7412522e-06
2.01083e-05    	7.7859137e-06
2.02063e-05    	7.8163702e-06
2.03043e-05    	7.8373779e-06
2.04024e-05    	7.8460194e-06
2.05004e-05    	7.8502343e-06
2.05984e-05    	7.8617824e-06
2.06963e-05    	7.8779057e-06
2.07943e-05    	7.9017842e-06
2.08922e-05    	7.9344282e-06
2.09902e-05    	7.9834904e-06
2.10881e-05    	8.0453412e-06
2.11861e-05    	8.1137491e-06
2.1284e-05     	8.1895515e-06
2.1382e-05     	8.2723162e-06
2.148e-05      	8.3608295e-06
2.15772e-05    	8.4523052e-06
2.16745e-05    	8.5459646e-06
2.17717e-05    	8.6403475e-06
2.1869e-05     	8.7331291e-06
2.19662e-05    	8.8219856e-06
2.20635e-05    	8.9059072e-06
2.21607e-05    	8.9849418e-06
2.2258e-05     	9.0658016e-06
2.23552e-05    	9.1464354e-06
2.24525e-05    	9.2230854e-06
2.25497e-05    	9.2884918e-06
2.2647e-05     	9.3422327e-06
2.27442e-05    	9.3876827e-06
2.28415e-05    	9.4274710e-06
2.29387e-05    	9.4666350e-06
2.3036e-05     	9.5082832e-06
2.31332e-05    	9.5471721e-06
2.32305e-05    	9.5871086e-06
2.33277e-05    	9.6316949e-06
2.3425e-05     	9.6859194e-06
2.35222e-05    	9.7444226e-06
2.36195e-05    	9.8056222e-06
2.37167e-05    	9.8736662e-06
2.3814e-05     	9.9469659e-06
2.39112e-05    	1.0023409e-05
2.40085e-05    	1.0100660e-05
2.41057e-05    	1.0177752e-05
2.4203e-05     	1.0253857e-05
2.43002e-05    	1.0329430e-05
2.43975e-05    	1.0403196e-05
2.44947e-05    	1.0477094e-05
2.4592e-05     	1.0548263e-05
2.46892e-05    	1.0618578e-05
2.47865e-05    	1.0684784e-05
2.48837e-05    	1.0744412e-05
2.4981e-05     	1.0797506e-05
2.50782e-05    	1.0843661e-05
2.51755e-05    	1.0883177e-05
2.52727e-05    	1.0915921e-05
2.537e-05      	1.0944023e-05
2.54672e-05    	1.0970975e-05
2.55645e-05    	1.0996118e-05
2.56617e-05    	1.1020626e-05
2.5759e-05     	1.1046664e-05
2.58562e-05    	1.1074630e-05
2.59535e-05    	1.1103375e-05
2.60507e-05    	1.1136710e-05
2.6148e-05     	1.1176454e-05
2.62452e-05    	1.1220068e-05
2.63425e-05    	1.1263931e-05
2.64397e-05    	1.1308111e-05
2.6537e-05     	1.1353930e-05
2.66342e-05    	1.1400665e-05
2.67315e-05    	1.1446004e-05
2.68287e-05    	1.1489454e-05
2.6926e-05     	1.1528917e-05
2.70232e-05    	1.1562244e-05
2.71205e-05    	1.1589041e-05
2.72177e-05    	1.1608734e-05
2.7315e-05     	1.1623681e-05
2.74122e-05    	1.1637682e-05
2.75095e-05    	1.1653857e-05
2.76067e-05    	1.1659304e-05
2.7704e-05     	1.1652638e-05
2.78012e-05    	1.1637185e-05
2.78985e-05    	1.1613596e-05
2.79957e-05    	1.1584228e-05
2.8093e-05     	1.1552246e-05
2.81902e-05    	1.1520010e-05
2.82875e-05    	1.1489370e-05
2.83847e-05    	1.1459637e-05
2.8482e-05     	1.1428070e-05
2.85792e-05    	1.1398186e-05
2.86765e-05    	1.1370331e-05
2.87737e-05    	1.1346296e-05
2.8871e-05     	1.1324399e-05
2.89682e-05    	1.1304144e-05
2.90655e-05    	1.1289150e-05
2.91627e-05    	1.1275687e-05
2.92599e-05    	1.1264865e-05
2.93572e-05    	1.1258007e-05
2.94544e-05    	1.1253722e-05
2.95517e-05    	1.1244507e-05
2.96489e-05    	1.1230636e-05
2.97462e-05    	1.1210864e-05
2.98434e-05    	1.1184305e-05
2.99407e-05    	1.1153062e-05
3.00379e-05    	1.1117766e-05
3.01352e-05    	1.1081824e-05
3.02324e-05    	1.1043532e-05
3.03297e-05    	1.1001236e-05
3.04269e-05    	1.0949558e-05
3.05241e-05    	1.0889560e-05
3.06214e-05    	1.0823597e-05
3.07186e-05    	1.0754379e-05
3.08159e-05    	1.0684334e-05
3.09131e-05    	1.0614563e-05
3.10103e-05    	1.0550317e-05
3.11076e-05    	1.0486689e-05
3.12048e-05    	1.0424510e-05
3.1302e-05     	1.0367587e-05
3.13993e-05    	1.0312493e-05
3.14965e-05    	1.0262163e-05
3.15937e-05    	1.0212234e-05
3.1691e-05     	1.0165744e-05
3.17882e-05    	1.0121035e-05
3.18855e-05    	1.0077381e-05
3.19827e-05    	1.0032915e-05
3.20799e-05    	9.9849020e-06
3.21772e-05    	9.9333654e-06
3.22744e-05    	9.8812782e-06
3.23716e-05    	9.8301141e-06
3.24689e-05    	9.7793263e-06
3.25661e-05    	9.7247441e-06
3.26634e-05    	9.6645157e-06
3.27606e-05    	9.6001070e-06
3.28578e-05    	9.5350074e-06
3.29551e-05    	9.4702275e-06
3.30523e-05    	9.4048521e-06
3.31495e-05    	9.3373640e-06
3.3244e-05     	9.2714559e-06
3.33384e-05    	9.2051499e-06
3.34329e-05    	9.1395058e-06
3.35274e-05    	9.0776001e-06
3.36219e-05    	9.0168268e-06
3.37163e-05    	8.9609486e-06
3.38108e-05    	8.9100297e-06
3.39053e-05    	8.8624677e-06
3.39999e-05    	8.8185096e-06
3.40944e-05    	8.7781789e-06
3.4184e-05     	8.7402323e-06
3.42739e-05    	8.7000805e-06
3.43637e-05    	8.6572448e-06
3.44535e-05    	8.6134052e-06
3.45434e-05    	8.5662538e-06
3.46321e-05    	8.5183992e-06
3.47209e-05    	8.4693773e-06
3.48098e-05    	8.4189944e-06
3.48987e-05    	8.3678148e-06
3.49876e-05    	8.3154484e-06
