# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
4.82697e-07    	(-1.5264012e-08 5.5215859e-04 1.9700801e-08)	1.0000086e+05	2.9400001e+02
8.85764e-07    	(4.8660888e-08 6.3087365e-04 1.3777405e-07)	1.0000093e+05	2.9399995e+02
1.28883e-06    	(6.3526411e-08 5.3123892e-04 3.5243301e-07)	1.0000088e+05	2.9399989e+02
1.6919e-06     	(7.4418194e-08 4.5215103e-04 4.4901583e-07)	1.0000084e+05	2.9399986e+02
2.09497e-06    	(1.3017819e-07 3.9213624e-04 2.6978196e-07)	1.0000081e+05	2.9399983e+02
2.28068e-06    	(1.5980039e-07 3.5959913e-04 8.8767477e-08)	1.0000079e+05	2.9399981e+02
2.4664e-06     	(1.0391225e-05 3.7146728e-04 -1.1185621e-05)	1.0000046e+05	2.9399580e+02
2.65212e-06    	(2.0546512e-05 6.7272504e-04 1.8098971e-06)	9.9999516e+04	2.9399097e+02
2.83785e-06    	(2.5449387e-05 1.3202599e-03 -9.9793043e-06)	9.9998477e+04	2.9399110e+02
3.02358e-06    	(3.0253651e-05 2.0523018e-03 -3.2836051e-05)	9.9998431e+04	2.9398803e+02
3.20931e-06    	(3.4037874e-05 2.5033449e-03 -3.6763615e-05)	9.9997453e+04	2.9397236e+02
3.39504e-06    	(1.5178735e-05 2.8270992e-03 -2.4349307e-05)	9.9991794e+04	2.9388625e+02
3.58079e-06    	(-5.2315629e-05 3.3719967e-03 5.9451086e-05)	9.9977161e+04	2.9379766e+02
3.76653e-06    	(-1.1980364e-04 5.4549126e-03 1.8968229e-04)	9.9958334e+04	2.9373654e+02
3.95227e-06    	(-1.4241919e-04 1.1394392e-02 2.8086785e-04)	9.9940138e+04	2.9368001e+02
4.13801e-06    	(-1.3707282e-04 2.2959687e-02 3.2462317e-04)	9.9922870e+04	2.9362223e+02
4.32376e-06    	(-2.3900267e-04 3.9818957e-02 4.4264152e-04)	9.9908267e+04	2.9358745e+02
4.5095e-06     	(-4.3845630e-04 6.0595441e-02 6.5900544e-04)	9.9899632e+04	2.9356860e+02
4.69524e-06    	(-6.7347356e-04 8.2940803e-02 9.0101216e-04)	9.9894991e+04	2.9356091e+02
4.881e-06      	(-8.9485381e-04 1.0491498e-01 1.1281012e-03)	9.9893120e+04	2.9355398e+02
5.06679e-06    	(-1.0591584e-03 1.2491171e-01 1.2738445e-03)	9.9892785e+04	2.9355981e+02
5.25257e-06    	(-1.1461860e-03 1.4155850e-01 1.3163674e-03)	9.9893859e+04	2.9357569e+02
5.43835e-06    	(-1.1653185e-03 1.5351181e-01 1.3027512e-03)	9.9896877e+04	2.9360381e+02
5.62413e-06    	(-1.1084467e-03 1.5958041e-01 1.2217004e-03)	9.9900564e+04	2.9362284e+02
5.80991e-06    	(-9.4388440e-04 1.5867674e-01 1.0061416e-03)	9.9900948e+04	2.9362182e+02
5.99569e-06    	(-6.7110654e-04 1.5056407e-01 6.6865390e-04)	9.9898220e+04	2.9361369e+02
6.18147e-06    	(-2.3554283e-04 1.3625286e-01 7.7215828e-05)	9.9893129e+04	2.9361087e+02
6.36725e-06    	(2.7416144e-04 1.1721961e-01 -7.0227033e-04)	9.9885850e+04	2.9359424e+02
6.55304e-06    	(6.9860555e-04 9.5420622e-02 -1.6012774e-03)	9.9875208e+04	2.9356513e+02
6.73885e-06    	(1.0089631e-03 7.3018085e-02 -2.5774447e-03)	9.9861139e+04	2.9351079e+02
6.92463e-06    	(1.3566535e-03 5.2350367e-02 -3.7784345e-03)	9.9844305e+04	2.9346904e+02
7.11041e-06    	(1.8767084e-03 3.5754777e-02 -5.2464080e-03)	9.9827778e+04	2.9341818e+02
7.29619e-06    	(2.6038297e-03 2.5063304e-02 -6.5344074e-03)	9.9810680e+04	2.9336645e+02
