# Region type : patch inlet
# Faces  :     460
# Area   :     7.5346137e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9400000e+02	1.1822680e+00
4.57971e-07    	(2.5406900e-03 3.7298519e-08 -1.9773150e-03)	1.0000916e+05	2.9400000e+02	1.1823763e+00
8.33602e-07    	(8.5213175e-03 1.0429400e-06 -6.6610386e-03)	1.0001667e+05	2.9400000e+02	1.1824651e+00
1.20923e-06    	(1.6449309e-02 2.3332329e-06 -1.2904073e-02)	1.0002418e+05	2.9400000e+02	1.1825539e+00
1.58486e-06    	(2.5668271e-02 3.1444390e-06 -2.0188620e-02)	1.0003170e+05	2.9400000e+02	1.1826427e+00
1.96049e-06    	(3.5685706e-02 3.4021224e-06 -2.8107199e-02)	1.0003921e+05	2.9400000e+02	1.1827316e+00
2.33612e-06    	(4.6207586e-02 3.1968109e-06 -3.6411567e-02)	1.0004672e+05	2.9400000e+02	1.1828204e+00
2.71175e-06    	(5.7048590e-02 2.7173511e-06 -4.4945030e-02)	1.0005423e+05	2.9399999e+02	1.1829092e+00
3.08738e-06    	(6.8100655e-02 2.1086942e-06 -5.3614118e-02)	1.0006174e+05	2.9399999e+02	1.1829979e+00
3.46301e-06    	(7.9292097e-02 1.4960749e-06 -6.2359182e-02)	1.0006925e+05	2.9399999e+02	1.1830867e+00
3.83864e-06    	(9.0583851e-02 9.8217763e-07 -7.1155128e-02)	1.0007676e+05	2.9399999e+02	1.1831755e+00
4.21427e-06    	(1.0194499e-01 5.3240318e-07 -7.9983386e-02)	1.0008426e+05	2.9399998e+02	1.1832643e+00
4.5899e-06     	(1.1334895e-01 1.8096462e-07 -8.8826230e-02)	1.0009177e+05	2.9399998e+02	1.1833531e+00
4.96553e-06    	(1.2478446e-01 -1.2559842e-07 -9.7679490e-02)	1.0009928e+05	2.9399997e+02	1.1834419e+00
5.34117e-06    	(1.3623880e-01 -3.6152876e-07 -1.0653709e-01)	1.0010678e+05	2.9399997e+02	1.1835306e+00
5.7168e-06     	(1.4771982e-01 -7.5084385e-08 -1.1540356e-01)	1.0011429e+05	2.9399996e+02	1.1836194e+00
6.09243e-06    	(1.5924030e-01 3.8417713e-07 -1.2429090e-01)	1.0012179e+05	2.9399995e+02	1.1837081e+00
6.46806e-06    	(1.7081224e-01 8.6238825e-07 -1.3320842e-01)	1.0012930e+05	2.9399995e+02	1.1837969e+00
6.84369e-06    	(1.8246487e-01 1.3295800e-06 -1.4217870e-01)	1.0013680e+05	2.9399994e+02	1.1838856e+00
7.21932e-06    	(1.9421804e-01 1.7648179e-06 -1.5121888e-01)	1.0014431e+05	2.9399993e+02	1.1839744e+00
7.59495e-06    	(2.0608856e-01 2.1868915e-06 -1.6034362e-01)	1.0015181e+05	2.9399992e+02	1.1840631e+00
7.97058e-06    	(2.1809566e-01 2.5997568e-06 -1.6956935e-01)	1.0015931e+05	2.9399991e+02	1.1841518e+00
8.34621e-06    	(2.3025726e-01 3.0188751e-06 -1.7891179e-01)	1.0016681e+05	2.9399990e+02	1.1842405e+00
8.72184e-06    	(2.4258809e-01 3.4295770e-06 -1.8838467e-01)	1.0017431e+05	2.9399989e+02	1.1843292e+00
