# Region type : patch inlet
# Faces  :     460
# Area   :     7.5346137e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.57971e-07    	-3.4886161e-07
8.33602e-07    	-1.2745884e-06
1.20923e-06    	-2.5097747e-06
1.58486e-06    	-3.9577052e-06
1.96049e-06    	-5.5408812e-06
2.33612e-06    	-7.2254426e-06
2.71175e-06    	-8.9911286e-06
3.08738e-06    	-1.0820828e-05
3.46301e-06    	-1.2698636e-05
3.83864e-06    	-1.4610673e-05
4.21427e-06    	-1.6542559e-05
4.5899e-06     	-1.8479420e-05
4.96553e-06    	-2.0409677e-05
5.34117e-06    	-2.2325288e-05
5.7168e-06     	-2.4222930e-05
6.09243e-06    	-2.6103683e-05
6.46806e-06    	-2.7970944e-05
6.84369e-06    	-2.9830860e-05
7.21932e-06    	-3.1689977e-05
7.59495e-06    	-3.3554512e-05
7.97058e-06    	-3.5430688e-05
8.34621e-06    	-3.7323960e-05
8.72184e-06    	-3.9238861e-05
9.09747e-06    	-4.1178780e-05
9.4731e-06     	-4.3146394e-05
9.84873e-06    	-4.5143664e-05
1.02244e-05    	-4.7171523e-05
1.06e-05       	-4.9230784e-05
1.09756e-05    	-5.1321963e-05
1.13512e-05    	-5.3445052e-05
1.17269e-05    	-5.5599961e-05
1.21025e-05    	-5.7786146e-05
1.24781e-05    	-6.0003563e-05
1.28538e-05    	-6.2251468e-05
1.32294e-05    	-6.4529463e-05
1.3605e-05     	-6.6838295e-05
1.39807e-05    	-6.9178777e-05
1.43563e-05    	-7.1551043e-05
1.47319e-05    	-7.3955031e-05
1.51076e-05    	-7.6390881e-05
1.54832e-05    	-7.8858926e-05
1.58588e-05    	-8.1358747e-05
1.62344e-05    	-8.3890573e-05
1.66101e-05    	-8.6454908e-05
1.69857e-05    	-8.9052189e-05
1.73613e-05    	-9.1682796e-05
1.7737e-05     	-9.4346412e-05
1.81126e-05    	-9.7042843e-05
1.84882e-05    	-9.9772703e-05
1.88639e-05    	-1.0253626e-04
1.92395e-05    	-1.0533313e-04
1.96151e-05    	-1.0816304e-04
1.99907e-05    	-1.1102618e-04
2.03664e-05    	-1.1392202e-04
2.0742e-05     	-1.1684978e-04
2.11176e-05    	-1.1980886e-04
2.14933e-05    	-1.2279909e-04
2.18689e-05    	-1.2582018e-04
2.22445e-05    	-1.2887126e-04
2.26202e-05    	-1.3195098e-04
2.29958e-05    	-1.3505908e-04
2.33714e-05    	-1.3819503e-04
2.3747e-05     	-1.4135887e-04
2.41227e-05    	-1.4454911e-04
2.44983e-05    	-1.4776452e-04
2.48739e-05    	-1.5100353e-04
2.52496e-05    	-1.5426433e-04
2.56252e-05    	-1.5754521e-04
2.60008e-05    	-1.6084476e-04
2.63765e-05    	-1.6416200e-04
2.67521e-05    	-1.6749569e-04
2.71277e-05    	-1.7084465e-04
2.75034e-05    	-1.7420711e-04
2.7879e-05     	-1.7758139e-04
2.82546e-05    	-1.8096635e-04
2.86302e-05    	-1.8436130e-04
2.90059e-05    	-1.8776557e-04
2.93815e-05    	-1.9117862e-04
2.97571e-05    	-1.9459970e-04
3.01328e-05    	-1.9802754e-04
3.05084e-05    	-2.0146124e-04
3.0884e-05     	-2.0490013e-04
3.12597e-05    	-2.0834436e-04
3.16353e-05    	-2.1179495e-04
3.20109e-05    	-2.1525118e-04
3.23865e-05    	-2.1871171e-04
3.27622e-05    	-2.2217710e-04
3.31378e-05    	-2.2564722e-04
3.35134e-05    	-2.2912241e-04
3.38891e-05    	-2.3260356e-04
3.42647e-05    	-2.3609231e-04
3.46403e-05    	-2.3958957e-04
3.5016e-05     	-2.4309619e-04
3.53916e-05    	-2.4661312e-04
3.57672e-05    	-2.5014055e-04
3.61428e-05    	-2.5367896e-04
3.65185e-05    	-2.5722851e-04
3.68941e-05    	-2.6078910e-04
3.72697e-05    	-2.6436217e-04
3.76454e-05    	-2.6794991e-04
3.8021e-05     	-2.7155332e-04
3.83966e-05    	-2.7517233e-04
3.87723e-05    	-2.7880688e-04
3.91479e-05    	-2.8245704e-04
3.95235e-05    	-2.8612329e-04
3.98992e-05    	-2.8980510e-04
4.02748e-05    	-2.9350236e-04
4.06504e-05    	-2.9721513e-04
4.1026e-05     	-3.0094282e-04
4.14017e-05    	-3.0468622e-04
4.17773e-05    	-3.0844719e-04
4.21529e-05    	-3.1222591e-04
4.25286e-05    	-3.1602172e-04
4.29042e-05    	-3.1983362e-04
4.32798e-05    	-3.2366132e-04
4.36555e-05    	-3.2750358e-04
4.40311e-05    	-3.3135952e-04
4.44067e-05    	-3.3522676e-04
4.47823e-05    	-3.3910424e-04
4.5158e-05     	-3.4299287e-04
4.55336e-05    	-3.4689504e-04
4.59092e-05    	-3.5081010e-04
4.62849e-05    	-3.5473546e-04
4.66605e-05    	-3.5867015e-04
4.70361e-05    	-3.6261265e-04
4.74118e-05    	-3.6656240e-04
4.77874e-05    	-3.7052127e-04
4.8163e-05     	-3.7449282e-04
