# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0              	T              	2.9300000e+02	(-2.0034457e-03 1.1910000e-01 -4.4969990e-03)	0	2.9400000e+02	(-4.7136236e-04 9.8319982e-02 -1.4084477e-03)	0
1.19904e-07    	T              	2.9400000e+02	(-1.1587062e-02 2.2587120e-02 5.8564509e-03)	11	2.9400000e+02	(-3.1080214e-03 7.3841650e-02 -6.3111480e-04)	5
1.57467e-07    	T              	2.9399997e+02	(-4.6252022e-04 1.3040197e-04 -3.6086318e-03)	15	2.9400006e+02	(-4.2510013e-04 2.2587547e-21 -3.6039587e-03)	15
1.9503e-07     	T              	2.9399995e+02	(-4.6252022e-04 1.3040197e-04 -3.6086318e-03)	15	2.9400010e+02	(-4.2510013e-04 2.2587547e-21 -3.6039587e-03)	15
2.32593e-07    	T              	2.9399994e+02	(-4.6252022e-04 1.3040197e-04 -3.6086318e-03)	15	2.9400021e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
2.70156e-07    	T              	2.9399993e+02	(-4.6252022e-04 1.3040197e-04 -3.6086318e-03)	15	2.9400046e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
3.07719e-07    	T              	2.9399986e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400076e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
3.45282e-07    	T              	2.9399975e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400110e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
3.82845e-07    	T              	2.9399964e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400146e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
4.20408e-07    	T              	2.9399951e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400183e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
4.57971e-07    	T              	2.9399937e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400221e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
4.95534e-07    	T              	2.9399923e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400259e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
5.33097e-07    	T              	2.9399908e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400296e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
5.7066e-07     	T              	2.9399893e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400333e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
6.08223e-07    	T              	2.9399877e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400369e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
6.45786e-07    	T              	2.9399861e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400405e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
6.8335e-07     	T              	2.9399844e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400440e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
7.20913e-07    	T              	2.9399827e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400476e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
7.58476e-07    	T              	2.9399809e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400512e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
7.96039e-07    	T              	2.9399791e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400548e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
8.33602e-07    	T              	2.9399772e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400584e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
8.71165e-07    	T              	2.9399753e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400619e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
9.08728e-07    	T              	2.9399733e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400654e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
9.46291e-07    	T              	2.9399713e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400688e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
9.83854e-07    	T              	2.9399693e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400722e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
1.02142e-06    	T              	2.9399672e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400755e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
1.05898e-06    	T              	2.9399651e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400788e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
1.09654e-06    	T              	2.9399630e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400821e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
1.13411e-06    	T              	2.9399608e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400853e+02	(5.3766621e-03 1.2393086e-02 -1.1811650e-02)	8
1.17167e-06    	T              	2.9399587e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400894e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.20923e-06    	T              	2.9399565e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400936e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.24679e-06    	T              	2.9399542e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9400977e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.28436e-06    	T              	2.9399520e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401018e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.32192e-06    	T              	2.9399497e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401058e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.35948e-06    	T              	2.9399474e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401098e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.39705e-06    	T              	2.9399450e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401138e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.43461e-06    	T              	2.9399427e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401177e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.47217e-06    	T              	2.9399403e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401216e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.50974e-06    	T              	2.9399379e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401254e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.5473e-06     	T              	2.9399355e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401293e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
